word,level
contemporary,B2
understanding,A2
technology,A2
usually,A1
refer,A2
advance,B2
highly,B1
technical,B1
industry,A2
relate,B1
computer,A1
telecommunication,BEYOND
internet,A1
modern,A1
constantly,B2
evolve,B2
new,A1
make,B2
old,A1
version,B1
outmoded,BEYOND
eventually,B1
obsolete,BEYOND
understand,A1
ancient,A2
world,A1
discuss,A1
book,A2
word,A1
think,A1
somewhat,B2
differently,A2
core,B2
application,B1
knowledge,A2
manipulate,C1
environment,A2
achieve,A2
specific,A2
practical,B1
purpose,A2
work,A1
definition,B1
basic,B1
tool,A2
people,A1
grant,B2
today,A1
revolutionary,C1
early,A1
develop,A2
human,A2
being,B2
realize,A2
sharpen,BEYOND
rock,C1
bone,A2
improve,A1
usability,BEYOND
lead,B1
creation,B2
simple,A2
stone,A2
axis,BEYOND
arrow,B2
tip,B1
hunting,B2
easy,A1
meat,A1
abundant,BEYOND
naturally,B1
need,B1
preserve,B2
game,A1
cook,A2
meet,A1
learn,A1
harness,BEYOND
fire,B1
provide,A2
food,A1
follow,A1
define,B1
life,A1
social,A2
structure,B2
refine,BEYOND
principle,B2
agriculture,B2
transform,B2
nomadic,BEYOND
hunter,BEYOND
farmer,A1
wheeled,BEYOND
cart,BEYOND
invent,A2
bce,BEYOND
yoke,BEYOND
allow,A2
draft,B2
animal,A1
pull,B1
plow,BEYOND
wagon,BEYOND
likewise,B2
reed,BEYOND
boat,A1
canoe,BEYOND
wooden,A2
raft,BEYOND
river,A1
coastal,C1
trade,B1
possible,A1
mesopotamian,BEYOND
form,A1
writing,A1
inscribe,BEYOND
mark,A2
soft,A2
clay,BEYOND
process,B2
call,A1
cuneiform,BEYOND
record,A2
quickly,A1
disseminate,BEYOND
caption,BEYOND
century,A1
harpoon,BEYOND
fishing,A2
technological,B2
effective,B1
farming,A2
transportation,B2
dense,C1
population,A2
city,A1
begin,A1
grow,A1
discover,A2
copper,C1
repeatedly,BEYOND
hammer,BEYOND
crack,B2
precede,B2
discovery,A2
alloy,BEYOND
tin,B1
produce,B2
strong,A1
malleable,BEYOND
bronze,BEYOND
sword,C1
sickle,BEYOND
mining,C1
metalworking,BEYOND
bring,A1
wealth,B2
newly,B2
change,A1
army,A2
defend,B2
conquer,C1
home,A2
territory,B2
construction,B2
fortification,BEYOND
public,A2
waterwork,BEYOND
dam,C1
beginning,A1
engineering,B1
examine,B1
foundational,BEYOND
hominid,BEYOND
mastery,BEYOND
iron,B1
aqueduct,BEYOND
study,A1
military,B2
defense,BEYOND
supremacy,BEYOND
production,B1
indian,BEYOND
subcontinent,BEYOND
consider,A2
leap,C1
innovation,B2
accompany,B2
widespread,B2
tightly,BEYOND
settle,B2
urban,B2
center,BEYOND
introduction,A2
ultimately,B2
long,A1
history,A1
show,A1
way,B2
ingenuity,BEYOND
triumph,C1
continue,A2
build,A1
past,A2
success,A1
complex,B1
machine,A1
forever,B1
breakthrough,C1
livelihood,BEYOND
chapter,B1
identification,C1
humanlike,BEYOND
specie,BEYOND
help,A1
fix,B2
precise,B2
point,B1
origin,B2
estimate,B2
prehistorian,BEYOND
anthropologist,BEYOND
concern,B2
emergence,C1
vary,B2
widely,B2
occasionally,B2
use,A2
natural,A1
stick,B1
ancestor,B2
doubtless,BEYOND
hundred,A1
millennium,BEYOND
giant,B1
step,B2
fashion,A2
interminable,BEYOND
time,B2
toolmaking,BEYOND
regular,A2
basis,B1
aeon,BEYOND
pass,B1
arrive,A1
successive,C1
stage,B2
standardize,BEYOND
chopper,BEYOND
pounder,BEYOND
manufacture,B2
site,A2
assign,B2
specialist,B2
degree,A2
specialization,BEYOND
advanced,B1
require,B1
