word,level
cold,A1
dark,A2
road,A1
rain,A1
stop,A1
minute,C1
little,A2
living,B1
room,A1
number,A2
nice,A1
warm,B1
old,A1
son,A1
play,A1
chess,BEYOND
sit,A1
watch,A1
woman,A1
happy,A1
husband,A1
good,A2
friend,A1
like,B1
think,A1
wait,A2
long,A1
time,B2
nearly,A2
bear,B2
family,A1
smile,A2
true,A1
young,B1
laugh,A1
lot,A1
mother,A1
father,A1
get,A1
money,A1
man,A1
talk,A2
carefully,A2
quiet,A1
noise,A2
bad,A1
hear,A1
window,A1
suddenly,A2
look,A2
listen,A1
say,C1
yes,A1
night,A1
answer,A1
come,A1
tonight,A1
right,A1
seven,A1
finish,A2
door,A1
chair,B2
go,B1
open,A1
begin,A1
thing,A1
away,A1
wonderful,A1
coat,A1
live,B1
feel,B2
big,A1
red,A1
faced,BEYOND
tell,A1
wife,A1
work,A1
please,A2
meet,A1
thank,A1
let,A1
whisky,BEYOND
need,B1
bottle,A1
drink,A1
interest,A1
visitor,A1
far,B1
strange,A2
story,A1
soldier,A2
year,A1
country,A1
cry,B2
afraid,A1
want,A1
lose,A1
well,C1
quickly,A1
see,A1
day,A1
stay,A2
interesting,A1
monkey,A2
paw,BEYOND
important,A1
take,A1
hand,B1
slowly,A2
pocket,A2
dirty,A1
move,B1
ask,A1
carry,A1
magic,B1
boy,A1
remember,A1
give,A1
wish,A2
people,A1
bring,A1
happiness,B1
teach,A1
change,A1
quietly,A2
die,A1
know,A1
everybody,A1
fast,A1
car,A1
difficulty,B1
accident,A2
end,A1
late,A1
child,A1
dead,A2
unhappy,A2
face,B1
unhappiness,BEYOND
course,A1
careful,A2
stand,B2
dinner,A1
help,A1
difficult,A1
mouth,A1
white,A1
table,A1
forgot,BEYOND
question,A2
leave,B2
evening,A1
life,A1
exciting,A1
visit,A1
soon,A1
goodbye,A1
midnight,A1
kitchen,A1
happen,A1
angry,A1
rich,A1
pay,A2
house,B2
thirty,A1
thousand,A1
pound,A1
run,A2
matter,A2
floor,A1
bed,A1
tired,A1
smoke,A2
bag,A1
candle,B2
morning,A1
winter,A1
sun,A1
breakfast,A1
near,A1
shop,A1
read,A1
early,A1
clock,A1
postman,BEYOND
letter,A1
happily,A2
hungry,A1
walk,A1
arrive,A1
forget,A1
later,A2
eat,A1
angrily,BEYOND
stranger,B1
tall,A1
dress,A1
excited,A1
afternoon,A1
factory,A2
machinery,C1
sorry,A1
hospital,A1
arm,C1
round,B2
call,A1
love,A1
worker,A1
new,A1
cemetery,C1
mile,A1
week,A1
sleep,A2
downstairs,A2
mad,B1
body,A1
understand,A1
sadly,A2
touch,B1
bedroom,A1
quick,A1
upstairs,A2
close,B1
find,A1
