word,level
care,A2
bear,B2
father,A1
british,BEYOND
official,B1
busy,A1
work,A1
mother,A1
beautiful,A1
spend,A1
time,B2
go,B1
party,A1
indian,BEYOND
woman,A1
pay,A2
little,A2
girl,A1
pretty,A1
child,A1
thin,A2
angry,A1
face,B1
yellow,A1
hair,A1
give,A1
order,A1
obey,B2
think,A1
people,A1
fact,A1
selfish,BEYOND
disagreeable,BEYOND
bad,A1
tempered,BEYOND
hot,A1
morning,A1
year,A1
old,A1
wake,A1
see,A1
instead,A2
different,A1
servant,B1
bed,A1
ask,A1
crossly,BEYOND
away,A1
send,A1
look,A2
afraid,A1
sorry,A1
come,A1
strange,A2
happen,A1
day,A1
house,B2
miss,BEYOND
everybody,A1
frightened,B1
tell,A1
garden,A1
play,A1
tree,A1
pretend,B1
make,B2
flower,A1
pick,B2
large,A1
red,A1
push,B1
ground,A2
say,C1
hate,B1
hit,A2
young,B1
notice,A2
listen,A1
conversation,A1
man,A1
worried,A2
voice,A2
answer,A1
seriously,B1
die,A1
like,B1
fly,A2
dangerous,A1
stay,A2
town,A1
hill,A2
disease,A2
know,A1
cry,B2
leave,B2
soon,A1
suddenly,A2
hear,A1
loud,A2
room,A1
wildly,BEYOND
scream,B2
quick,A1
run,A2
understand,A1
wrong,B1
terrible,A1
kill,A2
later,A2
night,A1
shout,A2
hide,A2
bedroom,A1
frighten,B1
sound,C1
sleep,A2
silent,B1
wonder,B1
bring,A1
food,A1
quiet,A1
hall,A2
sad,A1
stand,B2
middle,A2
open,A1
door,A1
minute,C1
jump,A2
surprise,A2
asleep,A2
ill,A2
hungry,A1
forget,A1
angrily,BEYOND
sadly,A2
poor,A1
alive,A2
sudden,B1
way,B2
learn,A1
remember,A1
parent,A1
live,B1
hope,A2
let,A1
want,A1
take,A1
english,BEYOND
family,A1
untidy,BEYOND
noisy,A2
prefer,A1
favourite,A1
game,A1
offer,A2
help,A1
moment,A1
begin,A1
laugh,A1
dance,A1
round,B2
sing,A1
funny,A1
song,A1
stupid,A2
cross,A2
unkindly,BEYOND
home,A2
pleased,A2
reply,A2
course,A1
uncle,A1
coldly,BEYOND
talk,A2
big,A1
lonely,B1
friend,A1
get,A1
crooked,BEYOND
horrid,BEYOND
believe,A1
explain,A1
north,A1
bored,A1
long,A1
sea,A1
journey,A1
meet,A1
housekeeper,BEYOND
travel,A1
train,A2
bright,A2
black,A1
eye,A1
surprising,A2
usually,A1
bit,A2
aloud,BEYOND
nearly,A2
shut,A2
lock,A2
park,A1
kind,B1
matter,A2
hard,A1
rich,A1
happy,A1
marry,A2
