word,level
sound,C1
mean,A1
different,A1
thing,A1
people,A1
depend,A2
situation,A1
instance,B2
train,A2
whistle,BEYOND
let,A1
excited,A1
traveler,BEYOND
railway,A2
station,A1
know,A1
leave,B2
long,A1
await,C1
trip,B2
walk,A1
near,A1
track,B2
serve,A2
warning,B1
engine,A2
come,A1
person,A1
need,B1
path,B1
likewise,B2
dog,A1
bark,BEYOND
night,A1
pooch,BEYOND
owner,A2
feel,B2
safe,A2
burglar,BEYOND
simply,B1
annoy,B1
neighbor,BEYOND
try,B2
sleep,A2
regardless,C1
interpretation,B2
common,A1
mainly,B1
produce,B2
process,B2
hear,A1
book,A2
reveal,B2
physic,BEYOND
creation,B2
detail,B2
property,B1
fleshy,BEYOND
bit,A2
human,A2
ear,A1
visible,B2
head,B1
tip,B1
iceberg,BEYOND
form,A1
function,B1
reader,A1
take,A1
virtual,B2
journey,A1
explanation,A2
discuss,A1
field,A2
acoustic,BEYOND
wave,B1
cause,A2
vibration,BEYOND
movement,A2
push,B1
pull,B1
air,A1
molecule,BEYOND
crowd,A2
invisible,C1
ripple,BEYOND
call,A1
compression,BEYOND
travel,A1
source,A2
direction,A2
reach,B2
pair,A1
translate,B1
strength,B1
frequency,B2
quickly,A1
complete,A1
occur,B1
affect,A2
strong,A1
determine,B1
loud,A2
soft,A2
influence,B1
pitch,B2
high,B2
low,B2
solid,B1
object,B2
block,B1
easily,A2
reflect,B1
flat,A2
surface,B1
turn,A1
reflection,C1
explain,A1
echo,C1
shout,A2
canyon,BEYOND
smooth,B1
wall,A1
curved,B2
restrict,B2
focus,A2
shape,B2
outer,B2
external,B2
auditory,BEYOND
meatus,BEYOND
canal,B2
help,A1
receive,A2
membrane,BEYOND
eardrum,BEYOND
strike,B2
vibrate,BEYOND
middle,A2
pass,B1
series,A2
small,A1
bone,A2
ossicle,BEYOND
round,B2
window,A1
finally,A2
move,B1
inner,B2
shell,B1
like,B1
cochlea,BEYOND
house,B2
organ,B2
cover,B1
nerve,B2
ending,A2
look,A2
tiny,B1
hair,A1
send,A1
electrical,A2
impulse,BEYOND
brain,A2
identify,A2
kind,B1
way,B2
interpret,B2
pretty,A1
straightforward,C1
interesting,A1
violin,BEYOND
automobile,BEYOND
horn,C1
disturb,B2
expand,B1
balloonlike,BEYOND
fashion,A2
happen,A1
set,B1
perceive,B2
medium,B1
carry,A1
receiver,B2
detect,B2
vacuum,C1
age,B1
old,A1
question,A2
concern,B2
definition,B1
tree,A1
fall,A2
forest,A2
far,B1
detector,BEYOND
microphone,BEYOND
crash,B2
noise,A2
answer,A1
course,A1
define,B1
think,A1
yes,A1
subjectively,BEYOND
sensation,C1
example,A1
case,A2
exist,A2
present,A2
equally,B1
correct,A1
easy,A1
radio,A1
loudspeaker,BEYOND
strongly,B1
especially,A2
volume,B2
lightly,BEYOND
touch,B1
speaker,A2
cone,BEYOND
tickle,BEYOND
fingertip,BEYOND
throat,B1
singe,BEYOND
note,B1
vocal,C1
cord,BEYOND
experiment,B1
physics,A2
class,A1
tuning,BEYOND
fork,A2
dip,C1
end,A1
water,B1
splash,BEYOND
little,A2
gong,BEYOND
initiate,C1
create,A1
outward,BEYOND
eventually,B1
fade,C1
away,A1
compare,A1
actually,A2
sort,B1
see,A1
consider,A2
suppose,A2
alternately,BEYOND
bend,B1
inward,BEYOND
rapidly,B2
metal,A2
billion,A2
cubic,BEYOND
inch,B2
centimeter,BEYOND
close,B1
motion,B2
weak,A2
die,A1
single,A2
continue,A2
bending,BEYOND
new,A1
area,A1
spread,B1
apart,B1
widely,B2
normal,B1
rarefaction,BEYOND
correspond,C1
moment,A1
instead,A2
light,A2
cliff,B2
well,C1
irregular,BEYOND
tend,B1
break,A1
useful,A1
fog,BEYOND
ship,B2
captain,B1
tell,A1
hilly,BEYOND
shoreline,BEYOND
listen,A1
underwater,BEYOND
sonar,BEYOND
equipment,A2
use,A2
supersonic,BEYOND
signal,B1
similarly,B1
submarine,BEYOND
device,A2
automatically,B2
time,B2
hull,BEYOND
compute,C1
distance,A2
depth,B2
finder,BEYOND
ocean,A2
measure,B1
firework,B2
explode,B1
band,A1
orchestra,B2
perform,A2
construction,B2
ampitheater,BEYOND
stage,B2
headlight,BEYOND
reflector,BEYOND
parabolic,BEYOND
curve,B2
spherical,BEYOND
beam,C1
concentrate,B1
audience,A2
prevent,A2
dissipate,BEYOND
inside,A2
building,A1
whisper,B2
gallery,A2
spot,B1
chamber,C1
clearly,A2
yard,B1
speak,A1
megaphone,BEYOND
intensify,C1
voice,A2
hold,B2
channel,B1
accord,BEYOND
greek,BEYOND
myth,B2
beautiful,A1
nymph,BEYOND
name,A1
hopelessly,BEYOND
love,A1
image,A2
word,A1
poetical,BEYOND
scientific,B1
rocky,BEYOND
shore,B2
spray,BEYOND
lose,A1
original,B1
cease,C1
stand,B2
foot,A1
final,A2
syllable,BEYOND
corridor,B2
speed,B2
start,A2
group,A1
stamp,A2
throw,A2
interval,B2
factor,A2
calculate,B2
second,A2
modern,A1
science,A1
large,A1
pipe,B1
closely,B2
tune,B2
subject,B2
interference,C1
cancel,B2
beat,B2
quiet,A1
pause,B2
stethoscope,BEYOND
side,A2
allow,A2
escape,B1
reverse,C1
funnel,BEYOND
relatively,B2
wide,A2
resemble,C1
phenomenon,B2
identical,B2
tone,B2
phase,B2
arrive,A1
listener,A2
formation,B2
throb,BEYOND
difference,A1
equal,B1
number,A2
comparative,B2
silence,B2
reinforce,B2
increase,A2
intensity,C1
barely,B2
audible,BEYOND
pleasant,B1
harsh,C1
basic,B1
pure,B2
quality,A2
rate,B2
usually,A1
express,A2
hertz,BEYOND
cycle,A2
forth,C1
saxophone,BEYOND
reed,BEYOND
mouthpiece,BEYOND
twice,A1
give,A1
octave,BEYOND
half,A2
lower,B2
wavelength,BEYOND
particular,A2
velocity,BEYOND
divide,B1
roughly,B2
meter,BEYOND
shorten,BEYOND
lengthen,BEYOND
opposite,A1
shortening,BEYOND
lengthening,BEYOND
change,A1
effect,A2
austrian,BEYOND
physicist,BEYOND
locomotive,BEYOND
go,B1
evenly,BEYOND
space,A1
observer,B2
bunch,B2
ahead,B1
rise,B1
suddenly,A2
drop,B1
representation,C1
vary,B2
length,B1
amplitude,BEYOND
piano,A1
string,B1
gently,BEYOND
key,B1
softly,BEYOND
swing,C1
narrow,B2
arc,BEYOND
forcefully,BEYOND
great,A1
compress,BEYOND
energy,A2
enter,A2
loudness,BEYOND
decibel,BEYOND
scale,B2
indicate,B1
rustle,BEYOND
average,B1
street,A1
nearby,B2
thunder,BEYOND
level,B1
begin,A1
painful,B1
prolonged,BEYOND
exposure,B2
damage,B1
hearing,B2
term,B2
refer,A2
apparent,B2
relative,B1
astronomical,BEYOND
measurement,B2
radar,C1
navigation,B2
describe,A1
approach,B2
mention,B1
section,A1
star,A2
observe,B2
shift,B1
red,A1
spectrum,C1
recede,BEYOND
violet,BEYOND
short,A1
study,A1
integral,C1
theory,B1
universe,B2
timbre,BEYOND
complicated,B2
flute,BEYOND
screech,BEYOND
bluejay,BEYOND
unpleasant,B1
simple,A2
addition,B1
overtone,BEYOND
main,A1
harmonize,BEYOND
principal,C1
fundamental,B2
account,B1
sweet,A2
show,A1
hammer,BEYOND
press,B1
associate,B2
hit,A2
result,B1
instrument,A2
combination,B2
special,A1
stringed,BEYOND
rich,A1
musical,B1
wind,B2
percussion,BEYOND
electronic,A2
understand,A1
tension,B2
practically,BEYOND
constant,B2
violinist,BEYOND
raise,A2
finger,A2
hand,B1
bow,C1
pluck,BEYOND
part,A1
faintly,BEYOND
resonance,BEYOND
body,A1
construct,B2
sympathy,B2
transmit,B2
wood,A2
massive,B2
intense,B2
sounding,BEYOND
board,B1
raucous,BEYOND
analyze,BEYOND
find,A1
extremely,A2
discordant,BEYOND
miscellaneous,BEYOND
unrelated,BEYOND
softness,BEYOND
temperature,A2
room,A1
degree,A2
fahrenheit,BEYOND
celsius,BEYOND
pressure,B1
humidity,BEYOND
slight,B2
somewhat,B2
humid,BEYOND
dry,A2
fifth,A1
mile,A1
kilometer,BEYOND
lightning,BEYOND
count,B1
flash,B2
approximate,BEYOND
woman,A1
play,A1
design,A1
resonate,BEYOND
blue,A1
jay,BEYOND
perch,BEYOND
stump,BEYOND
bird,A1
blend,C1
fast,A1
accompany,B2
storm,A2
test,A1
padded,BEYOND
soundproof,BEYOND
certain,A2
material,B2
rubber,B2
foam,BEYOND
absorb,B2
ridge,BEYOND
absorption,BEYOND
substance,B1
conductor,BEYOND
gas,A2
poor,A1
liquid,B1
rigid,BEYOND
iron,B1
stone,A2
good,A2
freely,B2
cork,BEYOND
cotton,B1
felt,BEYOND
reason,A1
soundproofing,BEYOND
deaden,BEYOND
unwanted,BEYOND
message,A1
recognize,A2
complex,B1
important,A1
sense,B2
equilibrium,BEYOND
balance,B1
mechanism,B2
locate,B1
hollow,B2
skull,B2
temporal,BEYOND
separate,B1
specific,A2
relate,B1
auricle,BEYOND
pinna,BEYOND
tympanic,BEYOND
collect,A2
tube,B1
lead,B1
fill,A1
chainlike,BEYOND
link,A2
span,C1
illustration,B2
portion,B2
base,B1
structure,B2
mechanically,BEYOND
malleus,BEYOND
incus,BEYOND
anvil,BEYOND
stape,BEYOND
stirrup,BEYOND
relay,BEYOND
opening,B2
model,B2
direct,B1
fluid,C1
coiled,BEYOND
snail,BEYOND
straighten,BEYOND
slightly,B1
true,A1
contain,A2
hairlike,BEYOND
anchor,C1
basilar,BEYOND
extend,B2
unattached,BEYOND
contact,B1
overhang,BEYOND
roof,A2
tectorial,BEYOND
cochlear,BEYOND
receptor,BEYOND
cell,B2
highly,B1
sensitive,B2
specialized,C1
electrochemical,BEYOND
branch,B1
disease,A2
tissue,B2
skin,A2
cartilage,BEYOND
gland,BEYOND
follicle,BEYOND
tumor,BEYOND
earwax,BEYOND
infect,C1
condition,A2
frostbite,BEYOND
expose,B2
frozen,B1
numb,BEYOND
temporary,B2
loss,B1
injury,A2
bleeding,BEYOND
hematoma,BEYOND
rounded,BEYOND
non,BEYOND
tender,C1
purplish,BEYOND
swelling,BEYOND
otitis,BEYOND
infection,B2
mold,BEYOND
microorganism,BEYOND
warm,B1
climate,A2
swimmer,BEYOND
greenish,BEYOND
brownish,BEYOND
musty,BEYOND
foul,BEYOND
smell,A2
discharge,C1
develop,A2
thick,A2
usual,A2
colorized,BEYOND
micrograph,BEYOND
mark,A2
starting,BEYOND
point,B1
secretory,BEYOND
media,A2
cavity,BEYOND
clear,B1
pale,B1
yellowish,BEYOND
noninfected,BEYOND
eustachian,BEYOND
painless,BEYOND
impairment,BEYOND
cold,A1
allergic,BEYOND
reaction,B1
enlarged,BEYOND
adenoid,BEYOND
depict,C1
inflict,C1
congenital,BEYOND
deafness,BEYOND
defect,C1
birth,A2
soon,A1
similar,A1
severe,B2
generally,B1
ototoxic,BEYOND
poison,B1
drug,A2
permanent,B2
dose,C1
salicylate,BEYOND
aspirin,BEYOND
ringing,BEYOND
follow,A1
decrease,B2
stop,A1
return,A1
antibiotic,BEYOND
explosion,B1
repeat,B1
gradual,BEYOND
fiber,BEYOND
destroy,A2
rock,C1
music,A1
frequently,B1
law,A2
require,B1
worker,A1
wear,A1
protection,B2
earplug,BEYOND
earmuff,BEYOND
australian,BEYOND
rugby,B1
player,A1
