word,level
animal,A1
busy,A1
car,A1
concrete,B2
teem,BEYOND
life,A1
ant,BEYOND
march,C1
sidewalk,BEYOND
pigeon,BEYOND
peck,BEYOND
crumb,BEYOND
squirrel,BEYOND
search,A2
nut,A2
horse,A1
draw,A1
carriage,C1
trot,BEYOND
terrier,BEYOND
drag,B2
owner,A2
dog,A1
park,A1
gray,A1
rat,B2
skitter,BEYOND
subway,BEYOND
track,B2
cat,A1
stare,B2
skyscraper,BEYOND
tiny,B1
taxi,A1
people,A1
matter,A2
live,B1
surround,B2
include,A1
human,A2
being,B2
book,A2
help,A1
learn,A1
fellow,B2
member,A1
kingdom,C1
million,A1
kind,B1
world,A1
identify,A2
scientist,A1
form,A1
start,A2
place,B1
ocean,A2
billion,A2
year,A1
ago,A1
common,A1
ancestor,B2
simple,A2
single,A2
celled,BEYOND
organism,BEYOND
time,B2
thing,A1
complex,B1
adapt,B2
environment,A2
multicellular,BEYOND
begin,A1
separate,B1
different,A1
specie,BEYOND
move,B1
freshwater,BEYOND
land,A2
eukaryote,BEYOND
mean,A1
cell,B2
part,A1
nucleus,BEYOND
organelle,BEYOND
bacteria,B2
archaea,BEYOND
prokaryotic,BEYOND
unlike,B1
plant,A2
food,A1
process,B2
photosynthesis,BEYOND
rely,B2
eat,A1
vegetation,BEYOND
survive,B1
metazoan,BEYOND
prefix,BEYOND
like,B1
creature,B2
call,A1
protozoan,BEYOND
study,A1
classify,B2
base,B1
body,A1
decide,A1
relate,B1
important,A1
way,B2
invertebrate,BEYOND
lack,B1
backbone,BEYOND
vertebrate,BEYOND
percent,BEYOND
sponge,BEYOND
jellyfish,A1
arthropod,BEYOND
word,A1
jointed,BEYOND
foot,A1
exoskeleton,BEYOND
substance,B1
chitin,BEYOND
centipede,BEYOND
spider,A2
scorpion,BEYOND
lobster,BEYOND
significantly,B2
insect,A2
large,A1
group,A1
cygnet,BEYOND
baby,A1
swan,BEYOND
walk,A1
rain,A1
swannery,BEYOND
home,A2
herd,BEYOND
wild,A2
sea,A1
fish,A2
bird,A1
air,A1
complexity,C1
let,A1
big,A1
brain,A2
advanced,B1
mammal,BEYOND
exist,A2
blue,A1
whale,BEYOND
grow,A1
meter,BEYOND
long,A1
weight,A2
pound,A1
kilogram,BEYOND
solitary,BEYOND
social,A2
bee,B1
hive,BEYOND
wolf,BEYOND
pack,B1
build,A1
groundhog,BEYOND
underground,A2
burrow,BEYOND
connect,A2
tunnel,B2
close,B1
companion,C1
doubt,B1
small,A1
volume,B2
understand,A1
bustle,BEYOND
city,A1
quiet,A1
suburb,B2
country,A1
populate,BEYOND
planet,A2
divide,B1
main,A1
domain,C1
constitute,C1
algae,BEYOND
range,B1
highly,B1
monkey,A2
display,B2
key,B1
difference,A1
distinguish,B2
example,A1
grass,A2
pasture,BEYOND
offer,A2
lump,BEYOND
sugar,A1
react,A2
favorably,BEYOND
stroke,B2
head,B1
rooted,BEYOND
respond,A2
behaviorally,BEYOND
importantly,BEYOND
use,A2
nutrient,BEYOND
soil,B1
chemical,B1
reaction,B1
sun,A1
estimate,B2
today,A1
date,B2
new,A1
continually,C1
discover,A2
surface,B1
black,A1
depth,B2
ray,C1
light,A2
penetrate,BEYOND
mountaintop,BEYOND
desert,B2
mud,B1
hot,A1
pool,A1
find,A1
extremely,A2
varied,C1
size,A2
habit,A2
crustacean,BEYOND
copepod,BEYOND
barely,B2
see,A1
microscope,BEYOND
weigh,B1
familiar,B1
frog,A2
central,B1
nervous,A2
system,A2
spinal,BEYOND
column,A2
worm,B2
mollusk,BEYOND
sense,B2
organ,B2
concentrated,BEYOND
leg,A1
wing,B1
fin,BEYOND
locomotion,BEYOND
bilateral,BEYOND
sided,BEYOND
symmetry,BEYOND
mirror,A2
image,A2
side,A2
right,A1
left,A1
distinct,B2
upper,B2
lower,B2
rear,C1
anemone,BEYOND
star,A2
starfish,BEYOND
radial,BEYOND
similar,A1
wheel,A2
arrange,A2
axis,BEYOND
marine,C1
aquatic,BEYOND
drift,C1
current,B1
unable,B1
swim,B1
definite,B1
direction,A2
attach,B1
solid,B1
object,B2
end,A1
float,B2
mouth,A1
upright,BEYOND
tentacle,BEYOND
circle,A2
sweep,B2
particle,BEYOND
ward,C1
enemy,B1
soft,A2
enclose,BEYOND
hard,A1
hinge,BEYOND
shell,B1
snail,BEYOND
fleshy,BEYOND
extend,B2
outside,A2
oyster,BEYOND
clam,BEYOND
mussel,BEYOND
scallop,BEYOND
muscular,BEYOND
sand,B1
efficiently,B2
fasten,B1
settle,B2
zigzag,BEYOND
motion,B2
clap,A1
octopus,BEYOND
squid,BEYOND
respectively,C1
act,B1
arm,C1
jet,B2
water,B1
propel,BEYOND
grasshopper,BEYOND
rest,A2
roof,A2
joint,B2
legged,BEYOND
segment,C1
specialized,C1
function,B1
cover,B1
skeleton,BEYOND
horny,BEYOND
material,B2
muscle,B1
housefly,BEYOND
ladybug,BEYOND
crab,BEYOND
arachnid,BEYOND
tick,A1
millipede,BEYOND
run,A2
jump,A2
crawl,C1
fly,A2
ground,A2
great,A1
speed,B2
skill,A1
feathered,BEYOND
good,A2
flier,BEYOND
swimmer,BEYOND
bat,C1
skinlike,BEYOND
membrane,BEYOND
glide,BEYOND
broad,B2
lie,B1
soar,C1
far,B1
kangaroo,BEYOND
show,A1
ability,A2
flee,C1
bushfire,BEYOND
number,A2
spend,A1
entire,B2
seal,C1
turtle,BEYOND
paddlelike,BEYOND
underwater,BEYOND
mudskipper,BEYOND
catfish,BEYOND
pull,B1
superior,C1
jumper,BEYOND
able,A2
salmon,BEYOND
leap,C1
waterfall,BEYOND
travel,A1
stream,B2
lay,B1
egg,A1
tarpon,BEYOND
swordfish,BEYOND
sailfish,BEYOND
pursue,B2
prey,C1
try,B2
escape,B1
oxygen,B2
order,A1
change,A1
absorb,B2
directly,B1
pore,BEYOND
bear,B2
dissolve,C1
minute,C1
flow,B1
discharge,C1
opening,B2
tadpole,BEYOND
amphibian,BEYOND
larva,BEYOND
breathe,B1
gill,BEYOND
caterpillar,BEYOND
adult,A2
breathing,B1
spiracle,BEYOND
reptile,BEYOND
obtain,B2
lung,B2
pass,B1
red,A1
blood,A2
bloodstream,BEYOND
carry,A1
thin,A2
moist,BEYOND
skin,A2
reproduce,C1
create,A1
offspring,C1
asexually,BEYOND
mating,BEYOND
partner,A1
need,B1
squirt,BEYOND
bud,BEYOND
appear,A2
branchlike,BEYOND
develop,A2
young,B1
coral,BEYOND
remain,B1
colony,B2
hydra,BEYOND
go,B1
sexual,B1
reproduction,C1
male,A2
female,A2
contribute,B2
fertilize,BEYOND
sperm,BEYOND
deposit,C1
nest,C1
manner,A2
hatch,BEYOND
alive,A2
type,B1
reproductive,BEYOND
behavior,BEYOND
attention,A2
contrast,B1
worker,A1
provide,A2
care,A2
nourishment,BEYOND
king,A2
cobra,BEYOND
tailed,BEYOND
skink,BEYOND
marble,BEYOND
salamander,BEYOND
stay,A2
clutch,BEYOND
protection,B2
guard,B1
crocodilian,BEYOND
protect,A2
month,A1
feed,B2
milk,A1
produce,B2
mother,A1
german,BEYOND
cockroach,BEYOND
mate,B2
temporary,B2
permanent,B2
occupy,B2
incubate,BEYOND
helpless,BEYOND
nestling,BEYOND
notable,C1
dwelling,BEYOND
lodge,BEYOND
beaver,BEYOND
remarkable,B2
dome,BEYOND
shaped,B2
winter,A1
muskrat,BEYOND
sleeping,BEYOND
room,A1
storage,C1
emergency,B1
exit,C1
construct,B2
prairie,BEYOND
european,BEYOND
rabbit,BEYOND
gopher,BEYOND
field,A2
mouse,A1
chimpanzee,BEYOND
gorilla,BEYOND
sleep,A2
platform,A2
stick,B1
tree,A1
quarter,A1
intricate,BEYOND
certain,A2
tropical,B2
cut,B1
palm,B2
frond,BEYOND
droop,BEYOND
leafy,BEYOND
shelter,B2
torrential,BEYOND
defend,B2
usually,A1
outrun,BEYOND
climb,B1
near,A1
corner,A2
scratch,B2
bite,B1
camouflage,BEYOND
tooth,A1
claw,BEYOND
intimidation,BEYOND
variety,A2
extensive,B2
porcupine,BEYOND
hedgehog,BEYOND
roll,B1
ball,A1
raise,A2
sharp,B1
quill,BEYOND
come,A1
nose,A1
paw,BEYOND
unwary,BEYOND
skunk,BEYOND
spray,BEYOND
foul,BEYOND
smell,A2
fluid,C1
gland,BEYOND
frightened,B1
deer,BEYOND
moose,BEYOND
antelope,BEYOND
fight,A2
antler,BEYOND
shoot,C1
cloud,A2
inky,BEYOND
electric,A2
deliver,B1
paralyzing,BEYOND
shock,B2
snake,A1
lizard,A1
venom,BEYOND
poisonous,B1
secretion,BEYOND
spot,B1
woodland,BEYOND
setting,B1
belong,A2
rodent,BEYOND
gnaw,BEYOND
recognize,A2
master,B2
engineer,A2
structure,B2
riverbank,BEYOND
pond,C1
dam,C1
distance,A2
resemble,C1
heap,BEYOND
branch,B1
consist,B1
carefully,A2
