word,level
world,A1
grassland,BEYOND
forest,A2
farm,A2
grazer,BEYOND
ardent,BEYOND
consumer,B1
plant,A2
animal,A1
roam,BEYOND
victim,B1
feed,B2
case,A2
kill,A2
hundred,A1
specie,BEYOND
categorize,BEYOND
number,A2
group,A1
specialized,C1
tooth,A1
design,A1
cut,B1
slice,B1
tear,B2
morsel,BEYOND
thick,A2
grind,C1
graze,BEYOND
spend,A1
life,A1
medium,B1
large,A1
call,A1
herd,BEYOND
serve,A2
purpose,A2
notable,C1
advantage,A2
protection,B2
predator,C1
highly,B1
visible,B2
target,B2
grouping,BEYOND
reduce,A2
risk,B1
attack,A2
individual,A2
member,A1
old,A1
lead,B1
young,B1
feeding,BEYOND
ground,A2
breeding,BEYOND
water,B1
source,A2
form,A1
prefer,A1
live,B1
small,A1
dominant,B2
male,A2
female,A2
gazelle,BEYOND
example,A1
typically,B1
type,B1
mix,B1
migration,C1
time,B2
govern,B2
solitary,BEYOND
come,A1
breed,C1
raise,A2
rhinocero,BEYOND
baby,A1
rhino,BEYOND
mother,A1
leave,B2
find,A1
territory,B2
reach,B2
half,A2
year,A1
mating,BEYOND
season,A2
white,A1
rhinoceros,BEYOND
include,A1
mammalian,BEYOND
order,A1
toed,BEYOND
ungulate,BEYOND
odd,B1
elephant,A1
rabbit,BEYOND
hare,BEYOND
pika,BEYOND
infraclass,BEYOND
know,A1
marsupial,BEYOND
artiodactyl,BEYOND
contain,A2
walk,A1
toe,B1
usually,A1
cover,B1
hard,A1
layer,B1
skin,A2
combine,B1
hoof,BEYOND
foot,A1
deer,BEYOND
pig,A1
camel,BEYOND
sheep,A1
antelope,BEYOND
goat,A1
cattle,C1
giraffe,A1
hippopotamus,BEYOND
mediumto,BEYOND
sized,BEYOND
ruminant,BEYOND
peccary,BEYOND
hippo,A1
support,A2
weight,A2
main,A1
clovenhoofed,BEYOND
middle,A2
bear,B2
refer,A2
fourth,A1
evolution,B2
second,A2
fifth,A1
size,A2
disappear,A2
altogether,B2
human,A2
have,A2
play,A1
important,A1
economic,B1
cultural,B1
role,A2
development,B1
maintenance,C1
civilization,B2
long,A1
milk,A1
meat,A1
wool,B1
hide,A2
domesticate,BEYOND
bce,BEYOND
likely,A2
extensively,B2
hunt,B1
mammal,BEYOND
hunting,B2
pressure,B1
extinction,BEYOND
near,A1
entire,B2
polar,BEYOND
region,A2
devoid,BEYOND
native,B1
area,A1
allow,A2
seasonal,BEYOND
bounty,BEYOND
food,A1
behaviour,A2
occur,B1
wild,A2
wildebeest,BEYOND
ten,A1
thousand,A1
social,A2
base,B1
hierarchy,C1
maternal,BEYOND
unit,A2
cohesive,BEYOND
care,A2
range,B1
vast,B2
open,A1
space,A1
section,A1
savanna,BEYOND
survival,B2
closely,B2
tie,A2
resource,B1
environment,A2
inhabit,BEYOND
abundance,C1
dictate,C1
eat,A1
generally,B1
easy,A1
matter,A2
difficult,A1
digest,BEYOND
result,B1
stomach,A2
intestine,BEYOND
addition,B1
ancestor,B2
omnivore,BEYOND
mainly,B1
advanced,B1
llama,BEYOND
