word,level
year,A1
people,A1
hungry,A1
rich,A1
course,A1
food,A1
warm,B1
clothe,BEYOND
beautiful,A1
house,B2
poor,A1
young,B1
man,A1
big,A1
strong,A1
good,A2
worker,A1
work,A1
find,A1
live,B1
sister,A1
village,A1
husband,A1
dead,A2
seven,A1
child,A1
cold,A1
hard,A1
winter,A1
bread,A1
thief,A2
sit,A1
cry,B2
night,A1
leave,B2
go,B1
street,A1
put,A1
hand,B1
window,A1
bakery,BEYOND
crash,B2
take,A1
loaf,BEYOND
run,A2
fast,A1
kind,B1
send,A1
prison,A2
escape,B1
bring,A1
day,A1
later,A2
nineteen,A1
different,A1
change,A1
misery,C1
break,A1
cruel,B1
guard,B1
thing,A1
love,A1
heart,A2
hate,B1
evening,A1
knock,B1
door,A1
come,A1
say,C1
bishop,C1
town,A1
know,A1
miserable,B2
look,A2
afraid,A1
whisper,B2
dangerous,A1
carry,A1
yellow,A1
card,A1
prisoner,B1
bad,A1
listen,A1
friend,A1
eat,A1
dinner,A1
sleep,A2
bed,A1
tonight,A1
stare,B2
shut,A2
face,B1
eye,A1
brother,A1
smile,A2
fire,B1
turn,A1
need,B1
silver,A2
plate,A2
special,A1
quickly,A1
yes,A1
candlestick,BEYOND
church,A2
visitor,A1
hungrily,BEYOND
meal,A1
week,A1
away,A1
watch,A1
see,A1
place,B1
remember,A1
think,A1
heavy,A2
sell,A1
month,A1
long,A1
time,B2
morning,A1
way,B2
hide,A2
begin,A1
like,B1
steal,A2
police,A1
hear,A1
afternoon,A1
surprise,A2
dear,A2
pleased,A2
forget,A1
give,A1
policeman,A1
mean,A1
free,B2
word,A1
tall,A1
life,A1
new,A1
buy,A1
soul,B2
suddenly,A2
understand,A1
happen,A1
shall,A2
road,A1
head,B1
sun,A1
changed,BEYOND
meet,A1
family,A1
money,A1
summer,A1
woman,A1
fun,A2
walk,A1
home,A2
little,A2
girl,A1
call,A1
close,B1
daughter,A1
dearly,BEYOND
near,A1
ask,A1
franc,BEYOND
pay,A2
hold,B2
arm,C1
tear,B2
factory,A2
important,A1
everybody,A1
help,A1
job,A1
townspeople,BEYOND
arrive,A1
end,A1
dirty,A1
unloved,BEYOND
clean,A1
water,B1
wash,A2
hour,A1
want,A1
lose,A1
make,B2
shirt,A1
ill,A2
small,A1
dry,A2
cough,BEYOND
write,A1
dress,A1
barber,BEYOND
hat,A1
golden,B2
hair,A1
fall,A2
cut,B1
wear,A1
soon,A1
letter,A1
outside,A2
restaurant,A1
centre,B1
snow,A1
ground,A2
flower,A1
name,A1
laugh,A1
shout,A2
hit,A2
pull,B1
law,A2
criminal,B1
office,A1
crime,A2
tell,A1
get,A1
floor,A1
moment,A1
voice,A2
stand,B2
great,A1
inspector,B2
true,A1
story,A1
fight,A2
wrong,B1
angrily,BEYOND
slowly,A2
noise,A2
gently,BEYOND
watchful,BEYOND
hospital,A1
lie,B1
sad,A1
thénardier,BEYOND
well,C1
doctor,A1
speak,A1
room,A1
open,A1
round,B2
arrest,B1
die,A1
loudly,A2
care,A2
quiet,A1
try,B2
talk,A2
death,A2
locked,BEYOND
old,A1
servant,B1
certain,A2
keep,A1
build,A1
boy,A1
stay,A2
god,A2
enemy,B1
mother,A1
world,A1
river,A1
wood,A2
minute,C1
bucket,BEYOND
tree,A1
frighten,B1
frightened,B1
dark,A2
noisy,A2
coat,A1
bit,A2
stop,A1
gentle,B1
wonderful,A1
surprised,A2
inside,A2
thin,A2
red,A1
kitchen,A1
shoe,A1
foot,A1
table,A1
feel,B2
father,A1
learn,A1
sing,A1
bird,A1
happy,A1
quietly,A2
move,B1
high,B2
wall,A1
school,A1
gardener,BEYOND
garden,A1
read,A1
book,A2
pass,B1
please,A2
brown,A1
slow,B1
sunlight,BEYOND
rain,A1
student,A1
idea,A1
grandfather,A1
political,B1
seventeen,A1
bag,A1
politic,BEYOND
government,A2
trouser,BEYOND
enjoy,A1
past,A2
seventh,BEYOND
bullet,B2
gun,A2
spend,A1
singe,BEYOND
friendly,A1
matter,A2
follow,A1
address,B2
busy,A1
rue,BEYOND
usually,A1
sorry,A1
kiss,B1
lover,BEYOND
interesting,A1
shoulder,A2
secretly,BEYOND
spring,B1
angry,A1
soldier,A2
ready,A1
unhappy,A2
passport,A1
moon,A2
moonlight,BEYOND
wait,A2
marry,A2
easily,A2
usual,A2
rebellion,C1
city,A1
barricade,BEYOND
troubled,C1
attack,A2
building,A1
metre,A1
stone,A2
rebel,C1
leader,A2
news,A1
midnight,A1
lot,A1
hey,A1
spy,C1
right,A1
jump,A2
tavern,BEYOND
tie,A2
shoot,C1
sound,C1
far,B1
nice,A1
ago,A1
hope,A2
quick,A1
goodbye,A1
paper,A1
pencil,A1
fighting,B1
shooting,B2
bedroom,A1
singing,A2
number,A2
pocket,A2
piece,A1
goodnight,BEYOND
yon,BEYOND
start,A2
poof,BEYOND
easy,A1
question,A2
daylight,BEYOND
ratatat,BEYOND
shouting,BEYOND
scream,B2
save,A2
body,A1
nearly,A2
louder,BEYOND
fifth,A1
smoke,A2
pick,B2
let,A1
use,A2
kill,A2
knife,A2
rope,B1
leg,A1
air,A1
second,A2
alive,A2
secret,A2
corner,A2
sky,A2
rest,A2
tired,A1
show,A1
carriage,C1
seat,B2
uncertain,BEYOND
downstairs,A2
bridge,A2
answer,A1
carefully,A2
splash,BEYOND
visit,A1
grandson,BEYOND
granddaughter,BEYOND
thousand,A1
interested,A1
fine,C1
bedside,BEYOND
real,A1
light,A2
