word,level
introduction,A2
century,A1
observer,B2
philosopher,C1
clerical,BEYOND
statesman,BEYOND
suggest,A2
age,B1
attain,C1
conclusion,B1
new,A1
era,B2
begin,A1
symbol,A2
spiritual,B2
unity,B2
lose,A1
prestige,BEYOND
great,A1
period,A1
later,A2
rival,B2
pope,BEYOND
lay,B1
ideal,B2
italian,BEYOND
peninsula,BEYOND
affect,A2
react,A2
worldliness,BEYOND
corruption,C1
roman,BEYOND
catholic,BEYOND
church,A2
respond,A2
turn,A1
revival,C1
piety,BEYOND
know,A1
force,B1
erupt,B2
protestant,BEYOND
movement,A2
gather,B1
strength,B1
narrow,B2
horizon,C1
widen,C1
expansion,B2
vigorous,BEYOND
economic,B1
play,A1
major,A2
role,A2
transformation,C1
social,A2
political,B1
cultural,B1
early,A1
modern,A1
population,A2
area,A1
increase,A2
decline,B2
stagnation,BEYOND
bond,B2
commerce,C1
tighten,C1
geographic,BEYOND
discovery,A2
process,B2
integrate,B2
world,A1
system,A2
commodity,C1
import,B1
recently,A2
discover,A2
land,A2
enrich,C1
material,B2
life,A1
trade,B1
production,B1
good,A2
result,B1
way,B2
organize,A2
merchant,C1
entrepreneur,B2
banker,BEYOND
accumulate,C1
manipulate,C1
capital,A1
unprecedented,C1
volume,B2
historian,B2
locate,B1
beginning,A1
maturing,BEYOND
western,B1
capitalism,C1
assume,B2
organization,A2
international,A2
relation,B1
culturally,BEYOND
value,B1
associate,B2
diffuse,BEYOND
change,A1
people,A1
act,B1
perspective,B2
view,B1
caption,BEYOND
take,A1
action,A1
end,A1
event,A1
contribute,B2
papacy,BEYOND
influence,B1
late,A1
hardly,B1
regard,B2
stable,B2
uniformly,BEYOND
prosperous,BEYOND
financial,B1
crash,B2
common,A1
spanish,BEYOND
crown,C1
heavy,A2
borrower,BEYOND
suffer,B1
repeat,B1
bankruptcy,BEYOND
poor,A1
destitute,BEYOND
society,A2
numerous,B2
visible,B2
advance,B2
free,B2
peasant,C1
central,B1
eastern,B1
slip,B2
serfdom,BEYOND
apparent,B2
prosperity,C1
give,A1
middle,A2
general,A2
crisis,B2
european,BEYOND
region,A2
politically,BEYOND
centralized,BEYOND
state,B1
insist,B2
level,B1
conformity,BEYOND
subject,B2
expel,BEYOND
refuse,A2
tolerate,C1
religious,B1
dissenter,BEYOND
spite,B2
ancient,A2
learning,A2
reform,C1
hysterical,BEYOND
fear,B1
witch,BEYOND
grasp,C1
large,A1
segment,C1
include,A1
learn,A1
understandably,BEYOND
difficulty,B1
define,B1
exact,A2
place,B1
complex,B1
course,A1
development,B1
nation,B1
emerge,B2
strong,A1
monarchical,BEYOND
government,A2
break,A1
local,B1
immunity,BEYOND
destroy,A2
christian,BEYOND
republic,C1
bureaucracy,C1
come,A1
replace,A2
medieval,C1
underlie,BEYOND
stability,C1
secular,C1
prevail,C1
politic,BEYOND
concept,B2
balance,B1
power,B2
dominate,B2
diplomacy,BEYOND
warfare,C1
conduct,B2
method,A2
sovereign,BEYOND
establish,B2
permanent,B2
embassy,C1
battlefield,C1
stand,B2
army,A2
professional,B2
mercenary,BEYOND
soldier,A2
feudal,BEYOND
array,C1
reflect,B1
structure,B2
past,A2
time,B2
scientific,B1
cast,B2
doubt,B1
traditional,A2
cosmology,BEYOND
long,A1
sanctify,BEYOND
approval,B2
undermine,C1
dynastic,BEYOND
territorial,BEYOND
commercial,B1
rivalry,BEYOND
lead,B1
series,A2
war,A2
destructive,C1
campaign,B1
battle,B1
occur,B1
map,B2
irrevocably,BEYOND
owe,B2
powerful,B1
comprise,B2
half,A2
possess,B2
infamous,C1
principally,BEYOND
account,B1
huge,A2
loss,B1
plague,BEYOND
recurrent,BEYOND
famine,BEYOND
frequent,B2
incessant,BEYOND
tension,B2
high,B2
disaster,A2
radically,BEYOND
transform,B2
produce,B2
food,A1
distribute,B2
income,B2
look,A2
human,A2
alter,B2
old,A1
classical,A2
factor,A2
labour,B2
fall,A2
wage,B2
town,A1
depress,BEYOND
rent,B1
countryside,B1
few,A1
worker,A1
remain,B1
command,B2
scarcity,BEYOND
contrast,B1
cost,A1
grow,A1
relatively,B2
abundant,BEYOND
cheap,B1
number,A2
shrink,C1
expensive,A1
encourage,B1
substitution,C1
replacement,C1
costly,C1
one,A1
see,A1
example,A1
widespread,B2
conversion,C1
arable,BEYOND
pasture,BEYOND
shepherd,BEYOND
supply,B1
sheep,A1
extensive,B2
generate,B2
return,A1
plowland,BEYOND
intensively,BEYOND
farm,A2
pay,A2
labourer,BEYOND
support,A2
technology,A2
require,B1
develop,A2
tool,A2
enable,B2
work,A1
productively,BEYOND
accordingly,C1
significant,B2
technological,B2
link,A2
investment,B2
save,A2
device,A2
print,B2
movable,BEYOND
metal,A2
type,B1
substitute,C1
machine,A1
press,B1
copyist,BEYOND
gunpowder,BEYOND
firearm,C1
small,A1
fighting,B1
shipbuilding,BEYOND
navigational,BEYOND
aid,B2
allow,A2
big,A1
ship,B2
sail,B1
crew,B2
distance,A2
achieve,A2
edge,B1
civilization,B2
equipped,BEYOND
worldwide,B1
pervasive,BEYOND
basic,B1
foodstuff,BEYOND
notably,C1
wheat,B2
city,A1
use,A2
earning,BEYOND
diversify,BEYOND
improve,A1
diet,A1
consume,B1
meat,A1
dairy,B2
product,A1
beverage,BEYOND
afford,B1
manufacture,B2
benefit,B1
urban,B2
economy,B1
cereal,BEYOND
continue,A2
firm,B2
price,B2
divert,C1
favor,BEYOND
artisan,BEYOND
landlord,C1
weight,A2
count,B1
inhabitant,B2
total,C1
drop,B1
leadership,B2
landholding,BEYOND
nobility,BEYOND
enhance,B2
bourgeois,BEYOND
effect,A2
attitude,B1
particular,A2
faith,B2
speculative,BEYOND
reason,A1
master,B2
secret,A2
universe,B2
ferocious,BEYOND
unpredictable,BEYOND
epidemic,C1
accidental,BEYOND
unexpected,B2
affair,B2
evident,B2
novel,C1
emphasis,B2
close,B1
observation,B2
need,B1
study,A1
situation,A1
arrive,A1
basis,B1
trend,B1
originate,C1
shape,B2
achievement,B1
money,A1
agriculture,B2
manufacturing,B2
banking,BEYOND
institution,B2
demographic,BEYOND
continent,A2
growth,B1
second,A2
decade,B1
estimate,B2
american,BEYOND
set,B1
exclude,B2
million,A1
lapse,BEYOND
distribution,B2
shift,B1
especially,A2
witness,B2
double,B1
probably,A1
largely,B2
escape,B1
downturn,BEYOND
pronounce,A2
country,A1
accord,BEYOND
different,A1
percent,BEYOND
slowly,A2
proportion,B2
live,B1
resident,B2
kind,B1
depression,B2
call,A1
decay,BEYOND
urbanization,BEYOND
accelerate,C1
reach,B2
remarkable,B2
slow,B1
formation,B2
size,A2
principal,C1
administrative,C1
centre,B1
testimony,C1
ability,A2
mobilize,C1
resource,B1
court,B1
engraving,BEYOND
port,B1
gain,B2
prominence,BEYOND
form,A1
chief,B2
north,A1
move,B1
trading,B2
station,A1
make,B2
northern,B1
market,B1
spice,B2
bourse,BEYOND
exchange,B1
simultaneously,C1
heyday,BEYOND
mid,BEYOND
revolt,BEYOND
rule,B1
ruin,B2
recession,B2
golden,B2
face,B1
challenge,B1
national,B2
rapidly,B2
rank,B2
concentration,B2
magnitude,C1
roughly,B2
novelty,BEYOND
appearance,A2
hierarchy,C1
function,B1
found,B2
