word,level
answer,A1
boy,A1
find,A1
go,B1
look,A2
bed,A1
open,A1
door,A1
garden,A1
hear,A1
small,A1
run,A2
past,A2
hand,B1
stop,A1
pocket,A2
apple,A1
listen,A1
quick,A1
house,B2
second,A2
laugh,A1
quietly,A2
learn,A1
love,A1
dead,A2
sister,A1
child,A1
easy,A1
old,A1
lady,A2
tomorrow,A1
school,A1
holiday,A1
work,A1
beautiful,A1
day,A1
summer,A1
sun,A1
hot,A1
flower,A1
everybody,A1
happy,A1
come,A1
brush,A2
big,A1
pot,B1
white,A1
paint,A1
fence,B1
metre,A1
high,B2
thirty,A1
long,A1
sit,A1
hour,A1
unhappy,A2
village,A1
minute,C1
idea,A1
wonderful,A1
take,A1
begin,A1
see,A1
friend,A1
street,A1
sorry,A1
say,C1
move,B1
aunt,A1
river,A1
course,A1
like,B1
watch,A1
slowly,A2
carefully,A2
smile,A2
interested,A1
little,A2
think,A1
want,A1
good,A2
brother,A1
painting,A1
hey,A1
give,A1
time,B2
eat,A1
soon,A1
afternoon,A1
ball,A1
knife,A2
cat,A1
eye,A1
blue,A1
bottle,A1
lot,A1
exciting,A1
thing,A1
rich,A1
play,A1
pleased,A2
home,A2
late,A1
quickly,A1
morning,A1
get,A1
near,A1
meet,A1
mother,A1
father,A1
drink,A1
whiskey,BEYOND
live,B1
dirty,A1
new,A1
shirt,A1
hello,A1
ask,A1
graveyard,BEYOND
tonight,A1
midnight,A1
ghost,B1
grave,BEYOND
true,A1
know,A1
tell,A1
afraid,A1
meow,BEYOND
window,A1
teacher,A1
angrily,BEYOND
speak,A1
girl,A1
schoolroom,BEYOND
yellow,A1
hair,A1
half,A2
room,A1
chair,B2
talk,A2
angry,A1
bad,A1
stick,B1
later,A2
trouser,BEYOND
arm,C1
tired,A1
walk,A1
book,A2
table,A1
stay,A2
draw,A1
picture,B2
nice,A1
man,A1
tall,A1
leg,A1
beautifully,BEYOND
teach,A1
feel,B2
head,B1
ear,A1
night,A1
wait,A2
climb,B1
bedroom,A1
hill,A2
mile,A1
tree,A1
dark,A2
quiet,A1
whisper,B2
die,A1
week,A1
let,A1
unhappily,BEYOND
graverobber,BEYOND
rob,B2
doctor,A1
body,A1
cut,B1
dig,B2
dollar,A1
money,A1
remember,A1
year,A1
ago,A1
suddenly,A2
hit,A2
fall,A2
ground,A2
cry,B2
jump,A2
fight,A2
happen,A1
mouth,A1
moment,A1
away,A1
stand,B2
kill,A2
face,B1
usually,A1
leave,B2
jail,B2
trial,B2
forget,A1
dangerous,A1
killer,BEYOND
yes,A1
right,A1
sleep,A2
boat,A1
fish,A2
south,A1
bread,A1
meat,A1
pipe,B1
carry,A1
island,A1
fire,B1
cook,A2
dinner,A1
world,A1
close,B1
wake,A1
swim,B1
breakfast,A1
hungry,A1
happily,A2
water,B1
drown,C1
famous,A1
story,A1
interesting,A1
funeral,C1
church,A2
smoke,A2
smoking,A2
colour,A1
minister,B2
family,A1
noise,A2
turn,A1
call,A1
sing,A1
people,A1
judge,B1
free,B2
excited,A1
question,A2
young,B1
seventeenth,BEYOND
crash,B2
badly,A2
slow,B1
life,A1
treasure,B2
put,A1
robber,BEYOND
pick,B2
shovel,BEYOND
arrive,A1
foot,A1
downstairs,A2
upstairs,A2
hole,A2
floor,A1
green,A1
hat,A1
bag,A1
spaniard,BEYOND
fireplace,BEYOND
stone,A2
excitedly,BEYOND
box,A1
thousand,A1
today,A1
cross,A2
birthday,A1
picnic,BEYOND
visit,A1
well,C1
noisy,A2
candle,B2
cave,B2
end,A1
hundred,A1
tunnel,B2
evening,A1
building,A1
rain,A1
cold,A1
woman,A1
ill,A2
lose,A1
alive,A2
mark,A2
wall,A1
bat,C1
fourth,A1
lost,A2
finish,A2
understand,A1
somebody,A1
string,B1
knee,A2
help,A1
different,A1
villager,C1
sudden,B1
sixth,BEYOND
daylight,BEYOND
nose,A1
need,B1
easily,A2
shoe,A1
