word,level
ship,B2
leave,B2
sail,B1
man,A1
want,A1
find,A1
new,A1
world,A1
west,A1
home,A2
exciting,A1
country,A1
sea,A1
month,A1
arrive,A1
long,A1
tired,A1
ill,A2
hungry,A1
beautiful,A1
sky,A2
blue,A1
river,A1
flower,A1
forest,A2
tall,A1
tree,A1
happy,A1
afraid,A1
englishman,BEYOND
say,C1
white,A1
fight,A2
wait,A2
interesting,A1
let,A1
friend,A1
learn,A1
try,B2
talk,A2
give,A1
food,A1
eat,A1
thing,A1
little,A2
knife,A2
picture,B2
bead,BEYOND
begin,A1
build,A1
town,A1
call,A1
leader,A2
take,A1
go,B1
small,A1
boat,A1
stay,A2
house,B2
garden,A1
field,A2
outside,A2
important,A1
work,A1
quickly,A1
nearly,A2
summer,A1
corn,BEYOND
vegetable,A1
winter,A1
easy,A1
weather,A1
hot,A1
hard,A1
sit,A1
sun,A1
watch,A1
kilometre,A1
visit,A1
indian,BEYOND
village,A1
lot,A1
friendly,A1
come,A1
please,A2
dead,A2
course,A1
matter,A2
kill,A2
yesterday,A1
ask,A1
gun,A2
hundred,A1
ready,A1
angrily,BEYOND
carry,A1
yes,A1
nice,A1
careful,A2
good,A2
wall,A1
round,B2
big,A1
move,B1
get,A1
bad,A1
water,B1
soon,A1
fever,B2
die,A1
stop,A1
bird,A1
fish,A2
animal,A1
time,B2
like,B1
love,A1
language,A1
understand,A1
alive,A2
need,B1
virginian,BEYOND
cold,A1
excited,A1
tell,A1
brother,A1
live,B1
people,A1
daughter,A1
hear,A1
thirteen,A1
year,A1
old,A1
father,A1
smile,A2
day,A1
seven,A1
run,A2
away,A1
noise,A2
see,A1
bow,C1
arrow,B2
hit,A2
leg,A1
body,A1
near,A1
look,A2
carefully,A2
hair,A1
face,B1
eye,A1
brown,A1
colour,A1
girl,A1
close,B1
second,A2
laugh,A1
angry,A1
land,A2
king,A2
grandfather,A1
think,A1
walk,A1
wonderful,A1
know,A1
help,A1
listen,A1
bring,A1
head,B1
stone,A2
foot,A1
stick,B1
suddenly,A2
feel,B2
warm,B1
arm,C1
open,A1
young,B1
dark,A2
cry,B2
slowly,A2
boy,A1
right,A1
gunpowder,BEYOND
hand,B1
ear,A1
bang,BEYOND
happen,A1
remember,A1
thank,A1
well,C1
week,A1
compass,BEYOND
finger,A2
point,B1
north,A1
glass,A1
way,B2
interested,A1
thirty,A1
spring,B1
sow,BEYOND
english,BEYOND
thousand,A1
later,A2
lock,A2
room,A1
teach,A1
evening,A1
red,A1
ball,A1
ago,A1
true,A1
fourteen,A1
wife,A1
husband,A1
finish,A2
marry,A2
somebody,A1
mouth,A1
woman,A1
surprise,A2
sorry,A1
child,A1
unhappy,A2
window,A1
tomorrow,A1
tonight,A1
night,A1
quietly,A2
morning,A1
quiet,A1
enemy,B1
fighting,B1
accident,A2
letter,A1
read,A1
hostage,C1
family,A1
nineteen,A1
englishwoman,BEYOND
play,A1
speak,A1
pepole,BEYOND
happily,A2
different,A1
forget,A1
church,A2
son,A1
noisy,A2
shop,A1
dress,A1
book,A2
rich,A1
dirty,A1
everybody,A1
meet,A1
dear,A2
sleep,A2
hello,A1
minute,C1
mother,A1
write,A1
beginning,A1
sadly,A2
wrong,B1
door,A1
goodbye,A1
rain,A1
bed,A1
famous,A1
american,BEYOND
sad,A1
