word,level
dear,A2
ask,A1
strange,A2
adventure,A2
story,A1
want,A1
character,A2
recognize,A2
wish,A2
little,A2
correspondent,C1
consider,A2
carefully,A2
possible,A1
exactly,A2
write,A1
remember,A1
writer,A1
change,A1
spoil,B2
preface,BEYOND
say,C1
like,B1
think,A1
long,A1
volume,B2
publish,A2
fairly,B1
deluge,BEYOND
letter,A1
child,A1
implore,BEYOND
shall,A2
try,B2
respect,B1
new,A1
book,A2
ought,B1
win,B1
love,A1
fond,B2
shaggy,BEYOND
man,A1
stupid,A2
bring,A1
element,B1
fun,A2
glad,B1
discover,A2
anxious,B2
tell,A1
receive,A2
remarkable,B2
greatly,B2
astonish,BEYOND
believe,A1
hear,A1
exciting,A1
save,A2
miss,BEYOND
road,A1
look,A2
yes,A1
right,A1
twinkle,BEYOND
eye,A1
pleasant,B1
reply,A2
cross,A2
acre,C1
lot,A1
follow,A1
lane,B2
highway,B2
north,A1
branch,B1
let,A1
sure,A2
far,B1
willow,BEYOND
stump,BEYOND
gopher,BEYOND
hole,A2
course,A1
cry,B2
way,B2
wait,A2
minute,C1
till,B1
run,A2
house,B2
sunbonnet,BEYOND
oat,BEYOND
straw,BEYOND
mouth,A1
chew,BEYOND
slowly,A2
taste,A2
good,A2
apple,A1
tree,A1
fall,A2
ground,A2
well,C1
walk,A1
black,A1
dog,A1
bright,A2
brown,A1
dash,BEYOND
farm,A2
madly,BEYOND
pick,B2
big,A1
wide,A2
pocket,A2
coat,A1
bark,BEYOND
dive,B2
leg,A1
grab,B2
neck,A2
take,A1
afterward,BEYOND
toss,C1
hit,A2
head,B1
growl,BEYOND
sorry,A1
pretty,A1
soon,A1
come,A1
call,A1
climb,B1
fence,B1
stumble,C1
hillock,BEYOND
pasture,BEYOND
notice,A2
clumsy,BEYOND
girl,A1
foot,A1
tired,A1
whisker,BEYOND
tire,BEYOND
easily,A2
warm,B1
weather,A1
snow,A1
give,A1
severe,B2
corn,BEYOND
oats,BEYOND
wheat,B2
crop,B2
poor,A1
mind,A2
guess,A1
kind,B1
size,A2
gratefully,BEYOND
know,A1
remark,B2
trip,B2
drive,A2
time,B2
find,A1
blindfold,BEYOND
earnestly,BEYOND
mistake,B2
answer,A1
laugh,A1
second,A2
turn,A1
left,A1
fourth,A1
elm,BEYOND
inquire,BEYOND
put,A1
hand,B1
finger,A2
bite,B1
quickly,A1
shade,B2
sun,A1
arm,C1
anxiously,BEYOND
command,B2
place,B1
different,A1
direction,A2
point,B1
obliged,BEYOND
start,A2
go,B1
wrong,B1
stop,A1
puzzled,BEYOND
particular,A2
provoke,C1
trouble,B2
observe,B2
human,A2
windmill,BEYOND
person,A1
gaze,C1
surprise,A2
see,A1
count,B1
seventeen,A1
grow,A1
bewildered,BEYOND
spoke,BEYOND
wheel,A2
stand,B2
keep,A1
likely,A2
twice,A1
exclaim,BEYOND
respond,A2
sit,A1
ago,A1
perplex,BEYOND
dead,A2
suppose,A2
stay,A2
folk,B1
draw,A1
quick,A1
get,A1
bow,C1
wow,A2
loudly,A2
jump,A2
guard,B1
steal,A2
hold,B2
begin,A1
eat,A1
pull,B1
drop,B1
joyfully,BEYOND
release,B1
dark,A2
pat,BEYOND
lovingly,BEYOND
red,A1
tongue,B1
hang,B1
face,B1
familiar,B1
landmark,C1
green,A1
meadow,BEYOND
shrub,BEYOND
worry,B1
feel,B2
fraid,BEYOND
sigh,C1
lose,A1
afraid,A1
throw,A2
away,A1
core,B2
lead,B1
matter,A2
home,A2
bad,A1
shake,B1
gravely,BEYOND
help,A1
stranger,B1
part,A1
funny,A1
lost,A2
suggest,A2
cheek,B2
hungry,A1
push,B1
morrow,BEYOND
promise,A2
return,A1
cheeked,BEYOND
people,A1
wag,BEYOND
tail,B1
vigorously,BEYOND
bye,A1
prance,BEYOND
briskly,BEYOND
distance,A2
mistress,BEYOND
questioningly,BEYOND
spect,BEYOND
sneeze,BEYOND
ear,A1
trot,BEYOND
leave,B2
decide,A1
finally,A2
chase,B2
pant,BEYOND
thoughtful,C1
encounter,B2
queer,BEYOND
live,B1
near,A1
unromantic,BEYOND
experience,B1
bewilder,BEYOND
happen,A1
safe,A2
comfort,B2
smilingly,BEYOND
nod,C1
harm,B2
hurt,B2
curiously,BEYOND
clothe,BEYOND
boot,A1
hair,A1
smile,A2
sweet,A2
owe,B2
cent,A1
pay,A2
money,A1
declare,B2
