word,level
world,A1
small,A1
organism,BEYOND
loom,C1
large,A1
news,A1
outbreak,C1
bacterial,BEYOND
illness,A2
food,A1
poisoning,BEYOND
pandemic,BEYOND
cause,A2
virus,A2
influenza,BEYOND
attract,B1
significant,B2
attention,A2
generate,B2
alarm,B1
fear,B1
public,A2
bacteria,B2
ubiquitous,BEYOND
occur,B1
ecosystem,BEYOND
serve,A2
vital,B2
role,A2
survival,B2
plant,A2
animal,A1
actually,A2
beneficial,B2
human,A2
abundant,BEYOND
nature,A2
generally,B1
harmful,B2
health,A1
aspect,B2
lie,B1
primarily,B2
value,B1
scientific,B1
research,A2
help,A1
scientist,A1
understand,A1
life,A1
evolve,B2
tool,A2
experiment,B1
genetic,B2
engineering,B1
field,A2
fact,A1
advance,B2
science,A1
result,B1
study,A1
involve,A2
example,A1
create,A1
save,A2
medicine,A2
vaccine,BEYOND
antibiotic,BEYOND
understanding,A2
threaten,B2
mark,A2
beginning,A1
complicated,B2
intriguing,C1
biochemistry,BEYOND
prokaryotic,BEYOND
cell,B2
material,B2
reside,C1
freely,B2
word,A1
genome,BEYOND
separate,B1
cellular,BEYOND
component,B2
internal,B2
membrane,BEYOND
well,C1
characterize,C1
prokaryote,BEYOND
distinction,C1
american,BEYOND
microbiologist,BEYOND
group,A1
domain,C1
archaea,BEYOND
originally,B1
consider,A2
similar,A1
lack,B1
note,B1
difference,A1
evolutionary,C1
lineage,BEYOND
biochemical,BEYOND
characteristic,B2
divide,B1
unlike,B1
eukaryotic,BEYOND
sophisticated,B2
design,A1
contain,A2
structure,B2
know,A1
organelle,BEYOND
include,A1
mitochondrion,BEYOND
responsible,B1
energy,A2
production,B1
apparatus,C1
sort,B1
deliver,B1
protein,B2
destination,B1
perform,A2
specialized,C1
function,B1
organ,B2
play,A1
body,A1
despite,B1
distinct,B2
nucleus,BEYOND
metabolic,BEYOND
albeit,C1
slight,B2
variation,B2
vary,B2
size,A2
shape,B2
come,A1
basic,B1
spherical,BEYOND
rodlike,BEYOND
curved,B2
cocci,BEYOND
find,A1
dimension,C1
coccal,BEYOND
gather,B1
cluster,C1
assume,B2
cube,BEYOND
tonsillitis,BEYOND
streptococci,BEYOND
long,A1
strand,C1
bacilli,BEYOND
commonly,B2
soil,B1
water,B1
coccus,BEYOND
usually,A1
pair,A1
bacillus,BEYOND
single,A2
instance,B2
join,A1
form,A1
chain,B1
spoilage,BEYOND
particularly,B1
dangerous,A1
species,B2
anthracis,BEYOND
anthrax,BEYOND
comma,BEYOND
refer,A2
vibrio,BEYOND
spiral,BEYOND
spirilla,BEYOND
spirochete,BEYOND
disease,A2
cholera,BEYOND
rat,B2
bite,B1
fever,B2
live,B1
need,B1
powerful,B1
electron,BEYOND
microscope,BEYOND
observe,B2
use,A2
stain,BEYOND
colour,A1
dyeing,BEYOND
technique,B1
visible,B2
develop,A2
danish,BEYOND
physician,C1
expose,B2
dye,BEYOND
turn,A1
purple,A1
slide,B2
flush,BEYOND
typically,B1
alcohol,B1
base,B1
solution,A2
positive,B2
remain,B1
negative,B2
fade,C1
pink,A1
different,A1
reaction,B1
surface,B1
envelope,B2
inside,A2
external,B2
environment,A2
call,A1
cytoplasmic,BEYOND
purpose,A2
nutrient,BEYOND
transport,B1
wall,A1
locate,B1
outside,A2
comprise,B2
molecule,BEYOND
peptidoglycan,BEYOND
determine,B1
bacterium,BEYOND
gram,BEYOND
method,A2
thick,A2
layer,B1
trap,B2
blue,A1
produce,B2
thin,A2
allow,A2
escape,B1
wash,A2
capsular,BEYOND
secrete,BEYOND
attach,B1
tightly,BEYOND
surround,B2
capsule,BEYOND
aid,B2
prevent,A2
dehydration,BEYOND
addition,B1
infect,C1
destroy,A2
white,A1
blood,A2
mutant,BEYOND
strain,C1
naturally,B1
dna,BEYOND
information,A1
cytoplasm,BEYOND
semifluid,BEYOND
substance,B1
fill,A1
enzyme,BEYOND
metabolite,BEYOND
salt,A1
storage,C1
vessel,C1
granule,BEYOND
carbohydrate,BEYOND
inorganic,BEYOND
phosphate,BEYOND
reproductive,BEYOND
process,B2
binary,BEYOND
fission,BEYOND
asexual,BEYOND
increase,A2
half,A2
identical,B2
budding,BEYOND
mother,A1
bud,BEYOND
end,A1
sporulation,BEYOND
rely,B2
release,B1
dormant,BEYOND
spore,BEYOND
arise,B2
viable,C1
active,A2
transfer,B2
true,A1
exchange,B1
partner,A1
accept,A2
new,A1
mechanism,B2
transformation,C1
transduction,BEYOND
conjugation,BEYOND
absorb,B2
free,B2
float,B2
direct,B1
contact,B1
discuss,A1
growth,B1
number,A2
phase,B2
lag,BEYOND
log,C1
stationary,BEYOND
death,A2
exponentially,BEYOND
time,B2
take,A1
generation,B1
type,B1
range,B1
minute,C1
hour,A1
depend,A2
colony,B2
environmental,B1
factor,A2
medium,B1
require,B1
certain,A2
element,B1
fulfill,BEYOND
nutritional,BEYOND
grow,A1
potassium,BEYOND
iron,B1
micronutrient,BEYOND
zinc,BEYOND
carbon,B2
categorize,BEYOND
source,A2
fuel,B1
metabolism,BEYOND
light,A2
organic,B2
compound,B2
impressive,B1
ability,A2
thrive,C1
obligate,BEYOND
aerobic,BEYOND
oxygen,B2
anaerobic,BEYOND
hand,B1
adapt,B2
available,A2
facultative,BEYOND
anaerobe,BEYOND
respiration,BEYOND
fermentation,BEYOND
inhabit,BEYOND
affect,A2
temperature,A2
level,B1
noteworthy,BEYOND
cow,A1
milk,A1
stomach,A2
chamber,C1
convert,B2
cellulose,BEYOND
grass,A2
fatty,BEYOND
acid,C1
amino,BEYOND
helpful,A2
gaseous,BEYOND
usable,BEYOND
nitrogen,BEYOND
presence,B2
toxic,C1
purification,BEYOND
sewage,BEYOND
treatment,B1
careful,A2
monitor,B2
procedure,B2
order,A1
ensure,B2
safety,B1
supply,B1
useful,A1
industry,A2
manufacturing,B2
person,A1
gastrointestinal,BEYOND
disorder,B2
doctor,A1
prescribe,C1
probiotic,BEYOND
harmless,BEYOND
disrupt,C1
patient,B2
digestive,BEYOND
tract,BEYOND
limit,B1
effect,A2
pathogenic,BEYOND
industrial,B2
spray,BEYOND
hydrocarbon,BEYOND
oxidize,BEYOND
oil,A2
spill,B2
decompose,BEYOND
dioxide,BEYOND
damage,B1
conversion,C1
dairy,B2
product,A1
yogurt,BEYOND
cheese,A1
speculate,B2
exist,A2
early,A1
precambrian,BEYOND
billion,A2
year,A1
ago,A1
medical,A2
advancement,BEYOND
suspect,B2
accelerate,C1
evolution,B2
introduction,A2
initially,B2
overpower,BEYOND
target,B2
adjust,B2
resistance,C1
multiple,B2
render,C1
previously,B1
potent,BEYOND
drug,A2
ineffective,BEYOND
change,A1
mutate,BEYOND
gene,B2
way,B2
classify,B2
try,B2
identify,A2
recent,A2
common,A1
ancestor,B2
degree,A2
relatedness,BEYOND
classification,C1
motility,BEYOND
formation,B2
kind,B1
morphology,BEYOND
test,A1
important,A1
chemical,B1
response,A2
consideration,B2
major,A2
property,B1
pathway,C1
love,A1
hot,A1
currently,B1
infectious,BEYOND
agent,B1
multiply,B2
discover,A2
late,A1
difficult,A1
unable,B1
artificial,B2
host,B1
team,A1
british,BEYOND
successfully,B1
transmit,B2
ferret,BEYOND
mouse,A1
culture,A1
facilitate,C1
lead,B1
molecular,BEYOND
biology,A2
decode,BEYOND
parasite,BEYOND
sustain,C1
rna,BEYOND
synthesize,BEYOND
nucleic,BEYOND
nucleotide,BEYOND
accord,BEYOND
celled,BEYOND
specialize,B2
vertebrate,BEYOND
invertebrate,BEYOND
insect,A2
