word,level
originally,B1
name,A1
olden,BEYOND
time,B2
wishing,BEYOND
work,A1
live,B1
king,A2
daughter,A1
beautiful,A1
young,B1
sun,A1
astonish,BEYOND
shine,B1
face,B1
close,B1
castle,A2
lie,B1
great,A1
dark,A2
forest,A2
old,A1
lime,A1
tree,A1
day,A1
warm,B1
child,A1
go,B1
sit,A1
cool,B1
fountain,BEYOND
bore,BEYOND
take,A1
golden,B2
ball,A1
throw,A2
high,B2
catch,B2
favorite,BEYOND
plaything,BEYOND
occasion,B1
princess,B1
fall,A2
little,A2
hand,B1
hold,B2
land,A2
ground,A2
roll,B1
straight,A2
water,B1
follow,A1
eye,A1
vanish,C1
deep,B1
see,A1
begin,A1
cry,B2
louder,BEYOND
ail,BEYOND
say,C1
weep,BEYOND
stone,A2
pity,B2
look,A2
round,B2
voice,A2
come,A1
frog,A2
stretch,B2
forth,C1
big,A1
ugly,B1
head,B1
splasher,BEYOND
quiet,A1
help,A1
bring,A1
dear,A2
clothe,BEYOND
pearl,BEYOND
jewel,BEYOND
crown,C1
wear,A1
care,A2
love,A1
let,A1
companion,C1
table,A1
eat,A1
plate,A2
drink,A1
cup,A1
sleep,A2
bed,A1
yes,A1
promise,A2
wish,A2
think,A1
silly,B1
talk,A2
croak,BEYOND
human,A2
receive,A2
sink,B1
short,A1
swim,B1
mouth,A1
delight,B2
pick,B2
run,A2
away,A1
wait,A2
listen,A1
home,A2
soon,A1
forget,A1
poor,A1
force,B1
seat,B2
noble,C1
creep,C1
splish,BEYOND
splash,BEYOND
marble,BEYOND
staircase,BEYOND
get,A1
knock,B1
door,A1
open,A1
outside,A2
slam,C1
dinner,A1
frightened,B1
afraid,A1
giant,B1
want,A1
carry,A1
disgusting,BEYOND
reply,A2
yesterday,A1
play,A1
insist,B2
able,A2
second,A2
know,A1
perform,A2
hop,BEYOND
chair,B2
lift,A2
delay,B2
command,B2
push,B1
near,A1
easy,A1
willingly,BEYOND
enjoy,A1
mouthful,BEYOND
choke,BEYOND
length,B1
satisfied,B2
tired,A1
room,A1
silken,BEYOND
ready,A1
cold,A1
pretty,A1
clean,A1
grow,A1
angry,A1
trouble,B2
afterward,BEYOND
despise,BEYOND
finger,A2
upstairs,A2
corner,A2
tell,A1
father,A1
terribly,B2
wall,A1
horrid,BEYOND
son,A1
kind,B1
curse,BEYOND
wicked,BEYOND
witch,BEYOND
deliver,B1
husband,A1
tomorrow,A1
kingdom,C1
morning,A1
carriage,C1
drive,A2
white,A1
horse,A1
ostrich,BEYOND
feather,B2
harness,BEYOND
chain,B1
stand,B2
prince,B1
servant,B1
faithful,BEYOND
unhappy,A2
master,B2
turn,A1
iron,B1
band,A1
lay,B1
heart,A2
burst,C1
grief,C1
sadness,BEYOND
conduct,B2
place,B1
joy,B2
deliverance,BEYOND
way,B2
hear,A1
cracking,BEYOND
break,A1
pain,A2
imprison,C1
crack,B2
spring,B1
set,B1
free,B2
happy,A1
long,A1
ago,A1
queen,A2
shall,A2
fulfil,B2
year,A1
true,A1
girl,A1
contain,A2
order,A1
feast,BEYOND
invite,A2
kin,BEYOND
friend,A1
hope,A2
generous,B1
thirteen,A1
leave,B2
splendid,BEYOND
bestow,BEYOND
magic,B1
gift,A2
baby,A1
give,A1
virtue,C1
beauty,B1
rich,A1
thirteenth,BEYOND
enter,A2
