word,level
introduction,A2
early,A1
fourteenth,BEYOND
century,A1
turkish,BEYOND
tribal,C1
chieftain,BEYOND
name,A1
found,B2
empire,B2
continue,A2
year,A1
center,BEYOND
western,B1
come,A1
know,A1
grow,A1
conquer,C1
land,A2
include,A1
height,A2
southeastern,BEYOND
portion,B2
far,B1
west,A1
large,A1
part,A1
ancestor,B2
band,A1
horseman,BEYOND
invade,B2
eleventh,BEYOND
central,B1
asian,BEYOND
tribe,B2
establish,B2
small,A1
state,B1
call,A1
sultanate,BEYOND
attack,A2
recent,A2
convert,B2
fight,A2
christian,BEYOND
byzantine,BEYOND
occupy,B2
warrior,C1
defeat,B2
emperor,BEYOND
take,A1
prisoner,B1
map,B2
show,A1
expansion,B2
hold,B2
capital,A1
appeal,B2
pope,BEYOND
help,A1
seven,A1
crusade,BEYOND
stand,B2
ground,A2
holy,B2
war,A2
new,A1
assailant,BEYOND
leader,A2
invasion,B2
dynasty,BEYOND
carry,A1
history,A1
characterize,C1
rule,B1
control,A2
spread,B1
sixteenth,BEYOND
conquest,BEYOND
extend,B2
domain,C1
achieve,A2
degree,A2
wealth,B2
power,B2
grandeur,BEYOND
unparalleled,BEYOND
ottoman,BEYOND
custom,B1
society,A2
islamic,BEYOND
merge,C1
inherit,B2
great,A1
reestablish,BEYOND
form,A1
persist,C1
modern,A1
time,B2
inset,BEYOND
circa,BEYOND
depiction,BEYOND
create,A1
italian,BEYOND
cartographer,BEYOND
date,B2
fifteenth,BEYOND
city,A1
capture,B2
change,A1
reign,C1
bring,A1
start,A2
slow,B1
steady,B2
decline,B2
follow,A1
death,A2
military,B2
government,A2
diminish,C1
weaken,C1
region,A2
begin,A1
act,B1
independently,BEYOND
display,B2
minimal,C1
loyalty,C1
sultan,BEYOND
weakness,B2
meet,A1
assertiveness,BEYOND
late,A1
seventeenth,BEYOND
precede,B2
decade,B1
conflict,B2
european,BEYOND
nation,B1
lead,B1
loss,B1
territory,B2
wage,B2
nineteenth,BEYOND
gain,B2
survive,B1
russo,BEYOND
largely,B2
aid,B2
twentieth,BEYOND
