word,level
cold,A1
winter,A1
day,A1
little,A2
girl,A1
father,A1
arrive,A1
seven,A1
year,A1
old,A1
long,A1
black,A1
hair,A1
green,A1
eye,A1
sit,A1
cab,BEYOND
look,A2
window,A1
tall,A1
house,B2
dark,A2
sky,A2
think,A1
ask,A1
arm,C1
round,B2
daughter,A1
say,C1
hot,A1
sun,A1
blue,A1
like,B1
different,A1
school,A1
want,A1
come,A1
help,A1
smile,A2
happy,A1
love,A1
mother,A1
dead,A2
child,A1
good,A2
friend,A1
soon,A1
go,B1
big,A1
woman,A1
dress,A1
give,A1
beautiful,A1
stand,B2
quietly,A2
watch,A1
rich,A1
french,BEYOND
speak,A1
book,A2
read,A1
time,B2
play,A1
new,A1
stay,A2
week,A1
shop,A1
buy,A1
expensive,A1
flower,A1
room,A1
doll,A1
sister,A1
money,A1
princess,B1
leave,B2
sad,A1
cry,B2
ship,B2
course,A1
answer,A1
nice,A1
important,A1
lot,A1
thing,A1
interested,A1
people,A1
tell,A1
story,A1
clever,A2
listen,A1
king,A2
queen,A2
wonderful,A1
country,A1
sea,A1
picture,B2
easy,A1
poor,A1
remember,A1
lesson,A1
angry,A1
learn,A1
everybody,A1
sing,A1
kind,B1
friendly,A1
write,A1
loving,BEYOND
letter,A1
exciting,A1
talk,A2
mine,B1
northern,B1
month,A1
ago,A1
worker,A1
find,A1
diamond,B1
thousand,A1
work,A1
need,B1
special,A1
put,A1
nearly,A2
pleased,A2
huh,BEYOND
interesting,A1
million,A1
laugh,A1
wear,A1
breakfast,A1
face,B1
red,A1
angrily,BEYOND
know,A1
unkind,BEYOND
later,A2
servant,B1
fourteen,A1
half,A2
night,A1
carry,A1
upstairs,A2
downstairs,A2
clean,A1
floor,A1
fire,B1
tired,A1
hungry,A1
dirty,A1
life,A1
bedroom,A1
sleep,A2
chair,B2
open,A1
see,A1
get,A1
sorry,A1
minute,C1
afraid,A1
begin,A1
door,A1
run,A2
away,A1
take,A1
hand,B1
let,A1
meet,A1
eat,A1
beautifully,BEYOND
well,C1
visit,A1
feel,B2
eleventh,BEYOND
birthday,A1
stop,A1
afternoon,A1
party,A1
visitor,A1
lawyer,A2
office,A1
close,B1
schoolroom,BEYOND
noise,A2
ill,A2
fever,B2
hear,A1
bad,A1
penny,A2
world,A1
street,A1
call,A1
bring,A1
coldly,BEYOND
yes,A1
small,A1
bread,A1
evening,A1
attic,BEYOND
bed,A1
white,A1
hour,A1
late,A1
move,B1
slowly,A2
turn,A1
head,B1
whisper,B2
morning,A1
kitchen,A1
cook,A2
make,B2
apple,A1
pie,A1
quick,A1
bag,A1
water,B1
early,A1
teach,A1
young,B1
forget,A1
hard,A1
mile,A1
brave,B1
right,A1
unhappy,A2
walk,A1
past,A2
understand,A1
matter,A2
suddenly,A2
live,B1
table,A1
roof,A2
pocket,A2
piece,A1
brown,A1
bird,A1
fly,A2
second,A2
fourth,A1
sadly,A2
anybody,A2
excited,A1
oooh,BEYOND
indian,BEYOND
gentleman,B1
english,BEYOND
happen,A1
family,A1
lonely,B1
monkey,A2
dear,A2
jump,A2
lascar,BEYOND
fast,A1
thank,A1
wife,A1
doctor,A1
man,A1
care,A2
kill,A2
sixteen,A1
die,A1
russian,BEYOND
dream,A2
short,A1
shoe,A1
warm,B1
coat,A1
weather,A1
thin,A2
basket,B2
shopping,A1
rain,A1
snow,A1
sixpence,BEYOND
wait,A2
quickly,A1
foot,A1
home,A2
stair,A2
way,B2
easily,A2
dinner,A1
tea,A1
unhappily,BEYOND
box,A1
today,A1
cake,A1
magic,B1
have,A2
tomorrow,A1
quiet,A1
blanket,B2
wall,A1
cloth,B1
cup,A1
plate,A2
meat,A1
sandwich,A1
orange,A1
ate,BEYOND
drank,BEYOND
writing,A1
happily,A2
tonight,A1
wrong,B1
moment,A1
interest,A1
shall,A2
bear,B2
mean,A1
true,A1
somebody,A1
end,A1
