word,level
planet,A2
orbit,BEYOND
travel,A1
sun,A1
solar,B2
system,A2
fourth,A1
outer,B2
neighbor,BEYOND
close,B1
telescope,BEYOND
call,A1
red,A1
surface,B1
look,A2
like,B1
star,A2
night,A1
sky,A2
photograph,A2
white,A1
area,A1
cloud,A2
surround,B2
volcano,BEYOND
dwarf,BEYOND
moon,A2
asteroid,BEYOND
comet,BEYOND
small,A1
icy,BEYOND
body,A1
million,A1
mile,A1
kilometer,BEYOND
away,A1
rocky,BEYOND
century,A1
people,A1
wonder,B1
life,A1
far,B1
scientist,A1
find,A1
obvious,B1
sign,A2
try,B2
form,A1
exist,A2
study,A1
water,B1
photo,A1
take,A1
second,A2
mercury,BEYOND
diameter,BEYOND
distance,A2
center,BEYOND
half,A2
size,A2
illustration,B2
show,A1
relative,B1
left,A1
think,A1
dry,A2
land,A2
tiny,B1
compare,A1
large,A1
time,B2
fact,A1
storm,A2
know,A1
right,A1
twice,A1
layer,B1
metal,A2
core,B2
iron,B1
mantle,BEYOND
likely,A2
thick,A2
completely,A2
hard,A1
melt,B2
paste,BEYOND
unlike,B1
tectonic,BEYOND
plate,A2
crust,BEYOND
erupt,B2
lava,BEYOND
pour,B1
harden,BEYOND
add,A1
new,A1
rock,C1
inside,A2
active,A2
kind,B1
activity,A1
expect,A2
occur,B1
cause,A2
volcanic,BEYOND
eruption,BEYOND
tall,A1
high,B2
mountain,A1
wide,A2
state,B1
drawing,A2
sure,A2
someday,BEYOND
dust,B1
reddish,BEYOND
brown,A1
color,BEYOND
lot,A1
substance,B1
oxide,BEYOND
rust,BEYOND
part,A1
crater,BEYOND
plain,B2
deep,B1
valley,A2
atmosphere,B1
contain,A2
little,A2
oxygen,B2
human,A2
able,A2
breathe,B1
carbon,B2
dioxide,BEYOND
amount,B2
gas,A2
soil,B1
hold,B2
force,B1
gravity,C1
cold,A1
usually,A1
degree,A2
winter,A1
near,A1
pole,C1
noon,C1
summer,A1
equator,BEYOND
image,A2
round,B2
shape,B2
potato,A1
long,A1
hour,A1
break,A1
apart,B1
strong,A1
pressure,B1
general,A2
material,B2
leave,B2
believe,A1
float,B2
space,A1
begin,A1
capture,B2
name,A1
son,A1
ancient,A2
greek,BEYOND
god,A2
war,A2
type,B1
motion,B2
spin,C1
complete,A1
day,A1
word,A1
year,A1
last,A2
make,B2
path,B1
oval,BEYOND
shaped,B2
ovalshaped,BEYOND
mean,A1
farth,BEYOND
contrast,B1
pull,B1
object,B2
mass,B2
axis,BEYOND
nearly,A2
speed,B2
imaginary,B1
line,B2
go,B1
rotation,C1
sol,BEYOND
tilt,BEYOND
bit,A2
relation,B1
season,A2
get,A1
sunlight,BEYOND
hemisphere,BEYOND
warm,B1
approach,B2
northern,B1
ice,A1
cap,B1
north,A1
start,A2
southern,B1
experience,B1
illustrate,B2
martian,BEYOND
change,A1
depend,A2
observe,B2
invent,A2
naked,B2
eye,A1
tell,A1
move,B1
notice,A2
remind,B1
blood,A2
death,A2
roman,BEYOND
coin,B1
bear,B2
mythological,BEYOND
figure,B2
astronomer,BEYOND
observation,B2
help,A1
understand,A1
clearly,A2
see,A1
canal,B2
maybe,A1
river,A1
gully,BEYOND
boulder,BEYOND
roll,B1
downhill,BEYOND
frost,BEYOND
unmanned,BEYOND
spacecraft,BEYOND
send,A1
explore,B1
design,A1
fly,A2
aeronautics,BEYOND
science,A1
flight,A1
operation,B1
aircraft,B2
picture,B2
canyon,BEYOND
riverbed,BEYOND
successfully,B1
orbiter,BEYOND
lander,BEYOND
reach,B2
test,A1
evidence,A2
early,A1
mission,B2
focus,A2
discovery,A2
present,A2
include,A1
appear,A2
flow,B1
certain,A2
side,A2
release,B1
robot,B1
rover,BEYOND
gather,B1
sample,B1
perform,A2
check,A2
later,A2
different,A1
location,B1
equip,B2
camera,A1
instrument,A2
clue,B1
salty,BEYOND
ago,A1
experiment,B1
region,A2
good,A2
testing,B2
ground,A2
dusty,BEYOND
selfie,BEYOND
robotic,BEYOND
arm,C1
dig,B2
ditch,BEYOND
big,A1
heavy,A2
discover,A2
energy,A2
wind,B2
climate,A2
instead,A2
goal,A2
support,A2
thing,A1
collect,A2
information,A1
hope,A2
rise,B1
agency,B2
world,A1
plan,A1
past,A2
schedule,B2
launch,B2
evi,BEYOND
dence,BEYOND
determine,B1
heat,A2
shield,BEYOND
shell,B1
protect,A2
possible,A1
helpful,A2
thousand,A1
dream,A2
visit,A1
come,A1
true,A1
continue,A2
search,A2
outside,A2
artificial,B2
waterway,BEYOND
boat,A1
drain,C1
irrigate,BEYOND
narrow,B2
steep,B2
odorless,BEYOND
colorless,BEYOND
naturally,B1
air,A1
chunk,C1
central,B1
hole,A2
impact,B1
meteorite,BEYOND
measurement,B2
straight,A2
pass,B1
especially,A2
sphere,C1
circle,A2
channel,B1
trench,BEYOND
burst,C1
forth,C1
explode,B1
magnetic,C1
silver,A2
metallic,BEYOND
element,B1
middle,A2
portion,B2
order,A1
broad,B2
level,B1
rolling,BEYOND
treeless,BEYOND
country,A1
turn,A1
vehicle,A2
exploration,B2
device,A2
use,A2
lense,BEYOND
curved,B2
mirror,A2
distant,B2
