word,level
know,A1
read,A1
book,A2
call,A1
write,A1
tell,A1
honest,B1
truth,B1
maybe,A1
add,A1
extra,B1
thing,A1
course,A1
matter,A2
hear,A1
lot,A1
friend,A1
good,A2
wild,A2
time,B2
awhile,BEYOND
find,A1
stash,BEYOND
gold,A2
robber,BEYOND
hide,A2
cave,B2
finder,BEYOND
keeper,BEYOND
get,A1
heap,BEYOND
money,A1
bank,B1
give,A1
dollar,A1
day,A1
spend,A1
think,A1
live,B1
pappy,BEYOND
run,A2
idea,A1
go,B1
feel,B2
sorry,A1
take,A1
kind,B1
savage,BEYOND
want,A1
civilize,BEYOND
remind,B1
manner,A2
wash,A2
ear,A1
eat,A1
finger,A2
wipe,C1
shoe,A1
come,A1
like,B1
reminder,C1
attach,B1
wear,A1
new,A1
clothe,BEYOND
itchy,BEYOND
tight,B1
barely,B2
breathe,B1
stand,B2
try,B2
gentleman,B1
old,A1
way,B2
life,A1
sneak,BEYOND
room,A1
raggedy,BEYOND
away,A1
long,A1
hunt,B1
need,B1
say,C1
shiny,B1
widow,C1
pinch,BEYOND
toe,B1
got,BEYOND
start,A2
band,A1
scratch,B2
chin,BEYOND
hate,B1
comb,BEYOND
hair,A1
sound,C1
fun,A2
right,A1
gang,B2
nope,BEYOND
respectable,BEYOND
people,A1
join,A1
plan,A1
cry,B2
see,A1
worried,A2
poor,A1
lost,A2
lamb,BEYOND
bad,A1
name,A1
mean,A1
harm,B2
fancy,B1
cramped,BEYOND
soon,A1
ring,B1
bell,B1
supper,BEYOND
dillydally,BEYOND
expect,A2
table,A1
wait,A2
grumble,BEYOND
prayer,B1
awful,A2
adventurous,BEYOND
dead,A2
care,A2
listening,BEYOND
anymore,BEYOND
cause,A2
stock,B2
sister,A1
skinny,BEYOND
maid,BEYOND
look,A2
glass,A1
perch,BEYOND
end,A1
nose,A1
educate,B1
set,B1
pull,B1
spelling,A1
work,A1
hard,A1
hour,A1
rescue,B2
lesson,A1
today,A1
deadly,B2
dull,B2
help,A1
fidget,BEYOND
foot,A1
scrunch,BEYOND
