word,level
leader,A2
set,B1
queen,A2
succeed,A2
year,A1
rule,B1
bring,A1
great,A1
glory,C1
make,B2
beautiful,A1
brilliant,A2
powerful,B1
city,A1
greek,BEYOND
world,A1
rebuild,B2
gleam,BEYOND
marble,BEYOND
temple,B2
replace,A2
destroy,A2
war,A2
importantly,BEYOND
unrivaled,BEYOND
center,BEYOND
art,A1
mathematics,A2
science,A1
political,B1
thought,A2
philosophy,B2
mind,A2
live,B1
playwright,BEYOND
sculptor,BEYOND
philosopher,C1
gather,B1
place,B1
reach,B2
high,B2
level,B1
achievement,B1
say,C1
love,A1
lead,B1
extravagance,BEYOND
thing,A1
soft,A2
stubborn,BEYOND
inventive,BEYOND
experimental,C1
help,A1
lay,B1
foundation,B2
western,B1
civilization,B2
goddess,BEYOND
stand,B2
atop,BEYOND
female,A2
figure,B2
call,A1
caryatid,BEYOND
serve,A2
pillar,BEYOND
famous,A1
ancient,A2
state,B1
occupy,B2
mainland,C1
peninsula,BEYOND
spread,B1
vast,B2
collection,B1
island,A1
colony,B2
coast,A2
sea,A1
unlike,B1
hold,B2
independent,A2
system,A2
government,A2
likely,A2
compete,A2
cooperate,C1
long,A1
history,A1
age,B1
volume,B2
discover,A2
minoan,BEYOND
leave,B2
palace,A2
mycenaean,BEYOND
kingdom,C1
fight,A2
later,A2
immortalize,BEYOND
learn,A1
fierce,C1
militarized,BEYOND
unite,B2
defeat,B2
early,A1
century,A1
contentious,BEYOND
golden,B2
undo,BEYOND
hubris,BEYOND
word,A1
exaggerated,BEYOND
pride,B2
combine,B1
jealousy,BEYOND
inspire,B2
momentous,BEYOND
power,B2
alliance,C1
include,A1
nearly,A2
fighting,B1
last,A2
end,A1
demise,BEYOND
empire,B2
range,B1
result,B1
weakening,BEYOND
influence,B1
revive,C1
young,B1
macedonian,BEYOND
king,A2
establish,B2
domination,BEYOND
conquer,C1
land,A2
far,B1
away,A1
conquest,BEYOND
culture,A1
wide,A2
process,B2
continue,A2
death,A2
era,B2
know,A1
time,B2
fine,C1
sophisticated,B2
regain,C1
plentiful,BEYOND
gift,A2
democracy,B2
geometry,BEYOND
drama,A2
lyric,B2
poetry,B1
creative,A2
develop,A2
way,B2
thinking,A2
shape,B2
today,A1
american,BEYOND
writer,A1
short,A1
confine,C1
small,A1
geographic,BEYOND
area,A1
growth,B1
proportion,B2
size,A2
duration,B2
praise,B2
primarily,B2
strictly,B2
speak,A1
heart,A2
english,BEYOND
poet,B1
eye,A1
mother,A1
eloquence,BEYOND
flourish,C1
attract,B1
want,A1
work,A1
think,A1
environment,A2
freedom,B2
rarefied,BEYOND
atmosphere,B1
bear,B2
idea,A1
human,A2
nature,A2
society,A2
fundamental,B2
exist,A2
rocky,BEYOND
mountainous,BEYOND
southern,B1
unit,A2
vie,BEYOND
wealth,B2
plant,A2
northern,B1
chief,B2
prominent,C1
building,A1
site,A2
aegean,BEYOND
name,A1
border,B1
begin,A1
origin,B2
unknown,B2
dominate,B2
region,A2
prosperity,C1
depend,A2
seafaring,BEYOND
trade,B1
especially,A2
fresco,BEYOND
depict,C1
man,A1
leap,C1
bull,BEYOND
adorn,BEYOND
wall,A1
legendary,C1
accord,BEYOND
mythology,BEYOND
son,A1
god,A2
phoenician,BEYOND
princess,B1
capital,A1
cover,B1
acre,C1
hectare,BEYOND
ruin,B2
evidence,A2
paved,BEYOND
street,A1
piped,BEYOND
water,B1
protect,A2
navy,BEYOND
notable,C1
use,A2
writing,A1
pottery,BEYOND
invade,B2
north,A1
important,A1
engage,B2
agriculture,B2
industry,A2
commerce,C1
route,A2
extend,B2
heavily,B1
build,A1
massive,B2
walled,BEYOND
goldwork,BEYOND
vase,BEYOND
adapt,B2
create,A1
language,A1
believe,A1
form,A1
myth,B2
legend,B2
oral,C1
transmission,C1
stage,B2
gold,A2
funeral,C1
mask,C1
heroic,BEYOND
nearby,B2
display,B2
conflict,B2
battle,B1
take,A1
stir,C1
imagination,B2
event,A1
celebrate,A2
truth,B1
story,A1
base,B1
struggle,B2
control,A2
strait,BEYOND
procession,BEYOND
traditional,A2
account,B1
trojan,BEYOND
run,A2
wife,A1
brother,A1
expedition,B1
ensue,C1
finally,A2
pretend,B1
withdraw,B2
large,A1
wooden,A2
horse,A1
raiding,BEYOND
party,A1
conceal,C1
inside,A2
hide,A2
open,A1
gate,A2
comrade,BEYOND
sack,C1
massacre,C1
carry,A1
woman,A1
certain,A2
closely,B2
reflect,B1
actual,B2
historical,B1
overrun,BEYOND
invasion,B2
tribe,B2
dorian,BEYOND
sweep,B2
decline,B2
plunge,C1
chaotic,BEYOND
movement,A2
emerge,B2
divide,B1
nation,B1
term,B2
modern,A1
coin,B1
probably,A1
historian,B2
book,A2
polis,BEYOND
mean,A1
sovereignty,C1
politic,BEYOND
derive,B2
write,A1
entitle,C1
entirely,B2
governing,BEYOND
imagine,A1
type,B1
self,B2
govern,B2
village,A1
moderate,C1
strongly,B1
course,A1
development,B1
country,A1
mountain,A1
valley,A2
communication,B1
difficult,A1
ideal,B2
locale,BEYOND
completely,A2
geographically,BEYOND
separate,B1
community,A2
single,A2
plain,B2
contain,A2
surround,B2
acropolis,BEYOND
hilltop,BEYOND
fortress,BEYOND
