word,level
atom,BEYOND
building,A1
block,B1
object,B2
feel,B2
chair,B2
book,A2
clothe,BEYOND
billion,A2
tiny,B1
matter,A2
stuff,B1
know,A1
different,A1
type,B1
wood,A2
water,B1
paper,A1
plastic,A2
stone,A2
steel,B2
thing,A1
combination,B2
people,A1
join,A1
pattern,A2
molecule,BEYOND
million,A1
substance,B1
material,B2
include,A1
solid,B1
liquid,B1
gas,A2
example,A1
light,A2
sound,C1
form,A1
energy,A2
scientist,A1
discover,A2
closely,B2
relate,B1
turn,A1
basic,B1
element,B1
gold,A2
oxygen,B2
iron,B1
combine,B1
small,A1
individual,A2
naked,B2
eye,A1
line,B2
row,B1
reach,B2
little,A2
fingernail,BEYOND
split,B2
take,A1
year,A1
understand,A1
believe,A1
unit,A2
part,A1
century,A1
learn,A1
find,A1
apart,B1
lead,B1
hugely,BEYOND
powerful,B1
dangerous,A1
result,B1
mean,A1
life,A1
hydrogen,C1
pair,A1
pure,B2
make,B2
fact,A1
look,A2
touch,B1
see,A1
pack,B1
page,A1
thick,A2
glass,A1
fruit,A1
juice,A1
contain,A2
trillion,B2
ancient,A2
idea,A1
atomist,BEYOND
time,B2
come,A1
greek,BEYOND
word,A1
atomos,BEYOND
uncuttable,BEYOND
indivisible,BEYOND
follower,BEYOND
live,B1
ago,A1
describe,A1
invisible,C1
correctly,A2
think,A1
kind,B1
vary,B2
size,A2
agree,A1
theory,B1
indian,BEYOND
buddhist,BEYOND
thinker,BEYOND
thousand,A1
later,A2
similar,A1
atomism,BEYOND
exist,A2
space,A1
opinion,A1
declare,B2
view,B1
reality,B1
long,A1
way,B2
good,A2
evidence,A2
simply,B1
like,B1
sensible,B1
explanation,A2
happen,A1
right,A1
accord,BEYOND
today,A1
prove,B1
important,A1
figure,B2
history,A1
feature,B1
drachma,BEYOND
bank,B1
note,B1
currency,B1
replace,A2
euro,A1
philosopher,C1
spend,A1
lot,A1
wonder,B1
world,A1
work,A1
suggest,A2
essentially,B2
air,A1
guess,A1
ask,A1
question,A2
pave,BEYOND
modern,A1
scientific,B1
thought,A2
method,A2
religion,B1
sun,A1
god,A2
ride,A2
chariot,BEYOND
sky,A2
realize,A2
phenomenon,B2
star,A2
uncannily,BEYOND
study,A1
subject,B2
sort,B1
claim,B1
earth,A2
round,B2
early,A1
language,A1
develop,A2
gradually,B2
true,A1
widely,B2
adopt,B2
revive,C1
despite,B1
instead,A2
fire,B1
carry,A1
medieval,C1
new,A1
age,B1
detailed,B2
bear,B2
begin,A1
approach,B2
careful,A2
experiment,B1
mix,B1
break,A1
clear,B1
ingredient,B1
universe,B2
irish,BEYOND
experimenter,BEYOND
argue,A2
write,A1
call,A1
publish,A2
explain,A1
move,B1
group,A1
date,B2
birth,A2
place,B1
great,A1
achievement,B1
revolutionize,BEYOND
science,A1
superstitious,BEYOND
alchemy,BEYOND
base,B1
chemistry,A2
interesting,A1
interested,A1
anatomy,BEYOND
body,A1
animal,A1
human,A2
dissect,BEYOND
ill,A2
death,A2
grow,A1
practice,A1
try,B2
treat,B1
change,A1
everyday,A2
create,A1
valuable,B1
involve,A2
experimentation,BEYOND
useful,A1
discovery,A2
painting,A1
show,A1
alchemist,BEYOND
chemical,B1
equipment,A2
potion,BEYOND
concoct,BEYOND
say,C1
proper,B1
beginning,A1
behave,A2
pressure,B1
freezing,BEYOND
burning,BEYOND
thank,A1
old,A1
myth,B2
sweep,B2
away,A1
search,A2
real,A1
sceptical,C1
mark,A2
direction,A2
amazing,A1
breakthrough,C1
influence,B1
devise,C1
especially,A2
want,A1
metal,A2
react,A2
acid,C1
british,BEYOND
chemist,BEYOND
release,B1
burn,B2
easily,A2
go,B1
definitely,A2
isolate,B2
test,A1
carbon,B2
dioxide,BEYOND
name,A1
fixed,B1
inflammable,BEYOND
eventually,B1
fill,A1
airship,BEYOND
fly,A2
highly,B1
flammable,BEYOND
quality,A2
terrible,A1
disaster,A2
loss,B1
king,A2
late,A1
list,A1
far,B1
naming,BEYOND
system,A2
give,A1
set,B1
rule,B1
reaction,B1
follow,A1
compare,A1
help,A1
metric,BEYOND
measuring,BEYOND
use,A2
picture,B2
wife,A1
atmosphere,B1
stay,A2
define,B1
state,B1
destroy,A2
assume,B2
principle,B2
operation,B1
equal,B1
quantity,A2
gather,B1
measurement,B2
easier,BEYOND
share,B1
bring,A1
atomic,BEYOND
nature,A2
mathematics,A2
teacher,A1
measure,B1
amount,B2
weight,A2
need,B1
compound,B2
calculate,B2
particular,A2
mass,B2
formation,B2
present,A2
differ,B2
color,BEYOND
blind,B2
identify,A2
blindness,BEYOND
action,A1
common,A1
big,A1
usually,A1
occur,B1
bubble,B1
soda,BEYOND
soft,A2
drink,A1
possible,A1
particle,BEYOND
proportion,B2
detail,B2
table,A1
sodium,BEYOND
explosively,BEYOND
belong,A2
family,A1
russian,BEYOND
organize,A2
column,A2
arrange,A2
sequence,B2
ultimate,B2
property,B1
periodic,BEYOND
bromine,BEYOND
bromos,BEYOND
bad,A1
smell,A2
helium,BEYOND
dysprosium,BEYOND
get,A1
dysprositos,BEYOND
hard,A1
difficult,A1
reactive,BEYOND
drip,BEYOND
explode,B1
spark,C1
miss,BEYOND
piece,A1
gap,A2
function,B1
existence,B2
general,A2
reign,C1
order,A1
cause,A2
govern,B2
aim,B1
ordered,BEYOND
secret,A2
structure,B2
actually,A2
insight,B2
subatomic,BEYOND
depend,A2
relationship,A2
radioactivity,BEYOND
previous,B1
advance,B2
reveal,B2
challenge,B1
divide,B1
head,B1
puzzle,B2
french,BEYOND
ray,C1
newly,B2
fluorescent,BEYOND
crystal,C1
glow,BEYOND
absorb,B2
image,A2
photographic,BEYOND
plate,A2
expect,A2
leave,B2
strong,A1
sunlight,BEYOND
appear,A2
unknown,B2
husband,A1
colleague,A2
radioactive,BEYOND
polonium,BEYOND
homeland,C1
aware,B1
sleep,A2
radium,BEYOND
bed,A1
beautiful,A1
mysterious,B2
uranium,BEYOND
continue,A2
die,A1
emit,BEYOND
bit,A2
main,A1
alpha,BEYOND
beta,BEYOND
gamma,BEYOND
wave,B1
shoot,C1
bullet,B2
step,B2
journey,A1
plum,BEYOND
pudde,BEYOND
electron,BEYOND
completely,A2
cathode,BEYOND
beam,C1
electrical,A2
run,A2
electric,A2
circuit,B2
tube,B1
pump,C1
end,A1
anode,BEYOND
middle,A2
electricity,A2
switch,B1
stream,B2
recently,A2
television,A1
computer,A1
monitor,B2
zoom,BEYOND
hit,A2
screen,B2
reason,A1
slang,BEYOND
diagram,B1
inside,A2
positive,B2
pole,C1
magnet,BEYOND
bend,B1
negative,B2
charge,B1
corpuscle,BEYOND
rename,BEYOND
free,B2
flow,B1
add,A1
normally,A2
positively,BEYOND
charged,BEYOND
force,B1
balance,B1
decide,A1
pudding,BEYOND
ball,A1
negatively,BEYOND
evenly,BEYOND
scatter,BEYOND
cake,A1
wrong,B1
attempt,B2
construct,B2
model,B2
research,A2
revolution,B2
quotation,B1
minuscule,BEYOND
prompt,B2
foil,BEYOND
sadly,A2
correct,A1
accurate,B2
description,A1
credit,B2
sure,A2
sheet,A2
thin,A2
layer,B1
detect,B2
afterward,BEYOND
flash,B2
emitter,BEYOND
surround,B2
incredible,A2
inch,B2
shell,B1
tissue,B2
amazement,BEYOND
heavy,A2
core,B2
nucleus,BEYOND
cloud,A2
squash,BEYOND
remove,A2
grain,B1
rice,A1
weigh,B1
bounce,C1
straight,A2
occasionally,B2
deflect,BEYOND
sideways,BEYOND
float,B2
freely,B2
lightweight,BEYOND
stop,A1
whiz,BEYOND
conclusively,BEYOND
huge,A2
leap,C1
forward,B2
improve,A1
danish,BEYOND
spectra,BEYOND
heat,A2
molten,BEYOND
red,A1
hot,A1
level,B1
range,B1
spectrum,C1
chart,B2
unique,B2
escape,B1
packet,B2
continuous,B1
randomly,BEYOND
trap,B2
separate,B1
blacksmith,BEYOND
yellow,A1
white,A1
jump,A2
low,B2
close,B1
high,B2
fall,A2
shock,B2
quantum,BEYOND
strange,A2
circle,A2
leader,A2
development,B1
field,A2
impossible,A2
experience,B1
travel,A1
disappear,A2
instantly,B2
single,A2
unravel,BEYOND
number,A2
outer,B2
deeply,B2
area,A1
proton,BEYOND
neutron,BEYOND
key,B1
direct,B1
nitrogen,BEYOND
knock,B1
build,A1
device,A2
average,B1
width,C1
beryllium,BEYOND
radiation,B2
simple,A2
cluster,C1
isotope,BEYOND
identical,B2
cousin,A1
math,BEYOND
neutral,B2
certain,A2
cancel,B2
half,A2
finally,A2
solve,A2
sense,B2
deliberately,B2
series,A2
disintegrate,BEYOND
chip,A2
provide,A2
success,A1
enter,A2
father,A1
nuclear,B1
lay,B1
groundwork,BEYOND
consequence,B1
loudly,A2
sing,A1
favorite,BEYOND
hymn,BEYOND
hundreds,BEYOND
achieve,A2
transmutation,BEYOND
remain,B1
smash,C1
spare,C1
natural,A1
thorium,BEYOND
plutonium,BEYOND
power,B2
fast,A1
quickly,A1
outside,A2
accelerator,BEYOND
speed,B2
naturally,B1
pull,B1
control,A2
previously,B1
technology,A2
design,A1
accelerate,C1
man,A1
sudden,B1
