word,level
need,B1
great,A1
trouble,B2
protest,B1
seat,B2
arm,C1
chair,B2
drag,B2
hastily,BEYOND
cabin,B2
man,A1
look,A2
land,A2
moment,A1
morning,A1
vessel,C1
night,A1
think,A1
simple,A2
faith,B2
immediate,B1
future,A2
take,A1
aback,BEYOND
explain,A1
situation,A1
strange,A2
stalk,BEYOND
sea,A1
like,B1
month,A1
learn,A1
answer,A1
honestly,BEYOND
captain,B1
ashore,BEYOND
morrow,BEYOND
beg,B2
prepare,A1
understand,A1
confess,B2
hardly,B1
hesitate,B2
perturbed,BEYOND
frightened,B1
expression,A2
eye,A1
misconception,BEYOND
shipwrecked,BEYOND
people,A1
show,A1
consideration,B2
little,A2
thing,A1
know,A1
close,B1
candidly,BEYOND
strive,C1
reassure,C1
wish,A2
merely,C1
bad,A1
come,A1
brute,BEYOND
demon,C1
tell,A1
fantastic,A1
act,B1
grow,A1
excited,A1
interrupt,B2
voice,A2
sound,C1
weary,BEYOND
patently,BEYOND
effort,B1
clearly,A2
verge,BEYOND
physical,A2
collapse,B2
ask,A1
question,A2
vouchsafe,BEYOND
remark,B2
devote,B2
command,B2
comfortable,A2
bustle,BEYOND
housewifely,BEYOND
fashion,A2
procure,BEYOND
soothing,BEYOND
lotion,BEYOND
sunburn,BEYOND
raid,C1
private,B1
store,B1
bottle,A1
port,B1
direct,B1
preparation,B2
spare,C1
state,B1
room,A1
wind,B2
freshen,BEYOND
rapidly,B2
ghost,B1
heel,B2
time,B2
ready,A1
dash,BEYOND
water,B1
lively,B2
clip,B2
forget,A1
existence,B2
suddenly,A2
thunderclap,BEYOND
boat,A1
open,A1
companion,C1
way,B2
unmistakable,BEYOND
cry,B2
masthead,BEYOND
shoot,C1
glance,C1
woman,A1
lean,B2
unutterably,BEYOND
tired,A1
doubt,B1
hear,A1
resolve,B2
prevent,A2
see,A1
brutality,BEYOND
follow,A1
capture,B2
deserter,BEYOND
good,A2
sleep,A2
swift,BEYOND
deck,B2
stamping,BEYOND
foot,A1
slapping,BEYOND
reef,BEYOND
point,B1
tack,BEYOND
fill,A1
away,A1
begin,A1
slide,B2
floor,A1
spring,B1
rescue,B2
spill,B2
heavy,A2
suggest,A2
hint,C1
sleepy,BEYOND
surprise,A2
perplex,BEYOND
half,A2
stumble,C1
totter,BEYOND
lead,B1
grin,C1
insinuatingly,BEYOND
face,B1
shove,BEYOND
order,A1
galley,BEYOND
work,A1
win,B1
revenge,C1
spread,B1
glowing,BEYOND
