word,level
electricity,A2
form,A1
energy,A2
discovery,A2
lead,B1
fundamental,B2
change,A1
human,A2
life,A1
civilization,B2
know,A1
computer,A1
cable,B2
box,A1
microwave,BEYOND
motorcycle,A2
refrigerator,BEYOND
radio,A1
telephone,A1
toaster,BEYOND
light,A2
camera,A1
action,A1
right,A1
think,A1
happen,A1
outside,A2
body,A1
lightning,BEYOND
crackle,BEYOND
sky,A2
turn,A1
flip,BEYOND
switch,B1
include,A1
index,B2
finger,A2
flicking,BEYOND
host,B1
plethora,BEYOND
electric,A2
signal,B1
time,B2
shocking,B2
true,A1
essential,B1
thing,A1
reason,A1
occur,B1
naturally,B1
result,B1
have,A2
learn,A1
harness,BEYOND
generate,B2
big,A1
player,A1
involve,A2
actually,A2
microscopically,BEYOND
tiny,B1
particle,BEYOND
atom,BEYOND
course,A1
go,B1
deeply,B2
real,A1
star,A2
small,A1
ultimately,B2
come,A1
movement,A2
order,A1
principal,C1
tenant,C1
proton,BEYOND
positive,B2
electrical,A2
charge,B1
electron,BEYOND
negative,B2
attract,B1
try,B2
close,B1
conversely,BEYOND
like,B1
push,B1
away,A1
pushing,BEYOND
pull,B1
understand,A1
omnipresent,BEYOND
power,B2
remember,A1
bolt,BEYOND
beat,B2
heart,A2
fact,A1
ability,A2
conduct,B2
keep,A1
blood,A2
pump,C1
plant,A2
send,A1
wire,B2
home,A2
television,A1
plug,C1
store,B1
battery,B1
inside,A2
laptop,A2
cell,B2
phone,A1
bright,A2
idea,A1
lightbulb,BEYOND
long,A1
represent,B1
initial,B2
spark,C1
thought,A2
creativity,B2
book,A2
offer,A2
concise,BEYOND
view,B1
history,A1
work,A1
reader,A1
discover,A2
cause,A2
hair,A1
raise,A2
static,BEYOND
field,A2
page,A1
explore,B1
explain,A1
flow,B1
relationship,A2
magnetism,BEYOND
motor,B2
generator,BEYOND
fit,C1
electromagnetic,BEYOND
landscape,B2
century,A1
accidental,BEYOND
intentional,BEYOND
understanding,A2
control,A2
worth,B1
note,B1
probably,A1
accident,A2
visual,B2
metaphor,B2
central,B1
creation,B2
express,A2
transform,B2
everyday,A2
nonetheless,C1
take,A1
outage,BEYOND
consider,A2
important,A1
show,A1
awesome,BEYOND
impossibly,BEYOND
associate,B2
atomic,BEYOND
call,A1
particular,A2
accumulation,C1
negatively,BEYOND
relation,B1
positively,BEYOND
world,A1
modern,A1
economy,B1
industrial,B2
transportation,B2
communication,B1
system,A2
possible,A1
old,A1
water,B1
steam,B2
impose,B2
limitation,B2
production,B1
good,A2
produce,B2
limit,B1
far,B1
space,A1
development,B1
total,C1
transformation,C1
bring,A1
operate,B2
kitchen,A1
appliance,BEYOND
set,B1
furnace,BEYOND
garage,B1
door,A1
common,A1
use,A2
imagine,A1
today,A1
street,A1
storefront,BEYOND
factory,A2
dim,BEYOND
force,B1
responsible,B1
hold,B2
shape,B2
matter,A2
print,B2
word,A1
read,A1
current,B1
speed,B2
nerve,B2
eye,A1
brain,A2
effect,A2
see,A1
flash,B2
