word,level
earthquake,B1
ground,A2
move,B1
shake,B1
violently,BEYOND
bring,A1
building,A1
crash,B2
twist,C1
break,A1
road,A1
railway,A2
line,B2
bridge,A2
people,A1
experience,B1
terrifying,BEYOND
dangerous,A1
event,A1
major,A2
quake,BEYOND
hit,A2
densely,BEYOND
populate,BEYOND
area,A1
kill,A2
hundred,A1
thousand,A1
rippling,BEYOND
shock,B2
wave,B1
travel,A1
long,A1
way,B2
spread,B1
like,B1
ripple,BEYOND
water,B1
mean,A1
live,B1
start,A2
affect,A2
year,A1
earth,A2
small,A1
completely,A2
unnoticed,BEYOND
detect,B2
scientist,A1
sensitive,B2
measure,B1
instrument,A2
massive,B2
rock,C1
history,A1
happen,A1
form,A1
solid,B1
surface,B1
billion,A2
ago,A1
historical,B1
record,A2
human,A2
geological,BEYOND
evidence,A2
early,A1
time,B2
know,A1
cause,A2
legend,B2
believe,A1
god,A2
responsible,B1
danger,A2
strike,B2
build,A1
fall,A2
injury,A2
death,A2
open,A1
countryside,B1
trigger,C1
hazard,C1
landslide,BEYOND
flood,B1
avalanche,BEYOND
giant,B1
call,A1
tsunami,B2
devastate,C1
make,B2
rescue,B2
operation,B1
difficult,A1
survivor,B2
original,B1
die,A1
trouble,B2
keep,A1
century,A1
japanese,BEYOND
account,B1
story,A1
catfish,BEYOND
accord,BEYOND
mud,B1
island,A1
fish,A2
press,B1
weight,A2
huge,A2
stone,A2
fail,A2
hold,B2
thrash,BEYOND
wildly,BEYOND
patchwork,BEYOND
single,A2
piece,A1
skin,A2
orange,A1
probably,A1
actually,A2
fit,C1
jigsaw,BEYOND
puzzle,B2
peel,BEYOND
tectonic,BEYOND
plate,A2
hard,A1
rocky,BEYOND
layer,B1
crust,BEYOND
beneath,C1
slowly,A2
semi,BEYOND
molten,BEYOND
hot,A1
mile,A1
deep,B1
divide,B1
lot,A1
chunk,C1
cover,B1
seven,A1
large,A1
one,A1
fault,B2
meet,A1
volcano,BEYOND
find,A1
near,A1
red,A1
dot,B2
map,B2
site,A2
occur,B1
edge,B1
show,A1
gray,A1
sea,A1
carry,A1
land,A2
mix,B1
vast,B2
thick,A2
old,A1
ocean,A2
bear,B2
light,A2
float,B2
higher,BEYOND
underneath,BEYOND
thin,A2
dense,C1
sink,B1
far,B1
liquid,B1
low,B2
run,A2
high,B2
scald,BEYOND
metal,A2
percent,BEYOND
thickness,BEYOND
mantle,BEYOND
upper,B2
descend,C1
roughly,B2
span,C1
region,A2
contain,A2
weak,A2
fluid,C1
outer,B2
core,B2
center,BEYOND
inner,B2
ball,A1
sun,A1
despite,B1
heat,A2
immense,C1
pressure,B1
lithosphere,BEYOND
gradually,B2
creep,C1
inch,B2
centimeter,BEYOND
quickly,A1
continental,BEYOND
drift,C1
continent,A2
seafloor,BEYOND
shift,B1
globe,B2
million,A1
position,B2
landmass,BEYOND
change,A1
moment,A1
grow,A1
wide,A2
away,A1
cluster,C1
type,B1
create,A1
different,A1
relative,B1
neighbor,BEYOND
convergent,BEYOND
destructive,C1
push,B1
force,B1
upward,BEYOND
mountain,A1
range,B1
tall,A1
world,A1
begin,A1
north,A1
rate,B2
divergent,BEYOND
constructive,BEYOND
apart,B1
new,A1
come,A1
middle,A2
right,A1
lava,BEYOND
rift,BEYOND
zone,BEYOND
mid,BEYOND
transform,B2
conservative,B2
grind,C1
direction,A2
south,A1
movement,A2
devastating,BEYOND
atlantic,BEYOND
visible,B2
volcanic,BEYOND
activity,A1
forge,C1
group,A1
speed,B2
fingernail,BEYOND
relentless,BEYOND
reshape,BEYOND
arrangement,A2
process,B2
go,B1
place,B1
repeatedly,BEYOND
expect,A2
border,B1
boundary,C1
oceanic,BEYOND
vulnerable,C1
west,A1
coast,A2
part,A1
western,B1
eastern,B1
rim,BEYOND
diagram,B1
indicate,B1
yellow,A1
arrow,B2
heavy,A2
subduction,BEYOND
underground,A2
melt,B2
rise,B1
burst,C1
base,B1
northern,B1
prone,BEYOND
city,A1
community,A2
existence,B2
relationship,A2
discover,A2
settle,B2
badly,A2
damage,B1
destroy,A2
collapse,B2
junction,C1
suffer,B1
last,A2
second,A2
southern,B1
horizontally,BEYOND
vertically,BEYOND
topple,BEYOND
leave,B2
homeless,B2
fire,B1
rage,C1
fuel,B1
wooden,A2
smoothly,BEYOND
distort,C1
tension,B2
finally,A2
lurch,BEYOND
suddenly,A2
yard,B1
release,B1
foreshock,BEYOND
tremor,BEYOND
aftershock,BEYOND
day,A1
month,A1
later,A2
focus,A2
aboveground,BEYOND
epicenter,BEYOND
effect,A2
distance,A2
point,B1
close,B1
kilometer,BEYOND
energy,A2
seismic,BEYOND
include,A1
look,A2
turn,A1
reach,B2
origin,B2
body,A1
spring,B1
damaging,C1
sideways,BEYOND
rip,C1
write,A1
remain,B1
present,A2
crowd,A2
celebrate,A2
religious,B1
festival,A1
oil,A2
lamp,A2
spark,C1
ruin,B2
survive,B1
