word,level
bone,A2
muscle,B1
hold,B2
body,A1
underlie,BEYOND
touch,B1
step,B2
essence,C1
action,A1
undertake,B2
inhalation,BEYOND
exhalation,BEYOND
life,A1
sustain,C1
breath,B1
possible,A1
support,A2
lung,B2
protect,A2
comprise,B2
rib,BEYOND
cage,BEYOND
volume,B2
present,A2
detailed,B2
examination,B2
human,A2
skeletal,BEYOND
system,A2
related,B1
easily,A2
understandable,BEYOND
format,B2
book,A2
create,A1
reader,A1
accessible,C1
map,B2
contribute,B2
musculature,BEYOND
enable,B2
motion,B2
organ,B2
function,B1
skeleton,BEYOND
provide,A2
protection,B2
facilitate,C1
movement,A2
framework,B2
arm,C1
leg,A1
swing,C1
free,B2
connect,A2
joint,B2
contain,A2
fluid,C1
mobile,A2
permit,B2
complex,B1
twist,C1
feature,B1
common,A1
member,A1
kingdom,C1
distinct,B2
find,A1
primate,BEYOND
order,A1
group,A1
belong,A2
specialized,C1
hand,B1
example,A1
opposable,BEYOND
thumb,B2
trait,B2
play,A1
vital,B2
role,A2
allow,A2
grasp,C1
object,B2
use,A2
tool,A2
evolve,B2
structure,B2
begin,A1
change,A1
stand,B2
upright,BEYOND
ability,A2
travel,A1
bipedally,BEYOND
credit,B2
form,A1
major,A2
directional,BEYOND
course,A1
evolution,B2
developmental,BEYOND
impact,B1
bring,A1
bipedalism,BEYOND
include,A1
foot,A1
arrangement,A2
size,A2
hip,B2
shape,B2
knee,A2
length,B1
vertebral,BEYOND
column,A2
orientation,C1
spine,C1
develop,A2
curved,B2
act,B1
shock,B2
absorber,BEYOND
help,A1
heavy,A2
skull,B2
walk,A1
demand,B2
monumental,BEYOND
upper,B2
lower,B2
limb,C1
head,B1
neck,A2
trunk,BEYOND
torso,BEYOND
require,B1
maintain,B2
new,A1
posture,BEYOND
evolutionary,C1
advantage,A2
unlike,B1
chimpanzee,BEYOND
spend,A1
time,B2
hang,B1
tree,A1
locomotion,BEYOND
instead,A2
bipedal,BEYOND
weapon,B1
build,A1
shelter,B2
skin,A2
animal,A1
clothe,BEYOND
civilization,B2
great,A1
work,A1
art,A1
instrument,A2
mind,A2
connection,B1
brain,A2
grow,A1
large,A1
primary,B1
type,B1
material,B2
compact,BEYOND
make,B2
percent,BEYOND
dense,C1
rigid,BEYOND
outer,B2
layer,B1
strength,B1
structural,C1
integrity,C1
cancellous,BEYOND
remain,B1
honeycomb,BEYOND
enlarged,BEYOND
end,A1
long,A1
absorb,B2
amount,B2
stress,A2
static,BEYOND
vibrant,C1
continuously,BEYOND
active,A2
steady,B2
stream,B2
blood,A2
cell,B2
marrow,BEYOND
tissue,B2
subject,B2
loss,B1
damage,B1
wear,A1
tear,B2
disease,A2
injury,A2
process,B2
remodeling,BEYOND
constantly,B2
dissolve,C1
remove,A2
replace,A2
building,A1
block,B1
remodel,BEYOND
formation,B2
affect,A2
factor,A2
diet,A1
hormonal,BEYOND
influence,B1
lack,B1
nutrient,BEYOND
calcium,BEYOND
vitamin,B2
absence,C1
harm,B2
development,B1
aid,B2
important,A1
automatic,B2
breathing,B1
digestion,BEYOND
source,A2
heat,A2
warm,B1
kind,B1
striated,BEYOND
smooth,B1
cardiac,BEYOND
way,B2
fraction,B2
total,C1
weight,A2
attach,B1
tendon,BEYOND
serve,A2
primarily,B2
wall,A1
hollow,B2
gastrointestinal,BEYOND
tract,BEYOND
reproductive,BEYOND
striped,BEYOND
appearance,A2
heart,A2
special,A1
contract,B2
rhythmically,BEYOND
rhythmic,BEYOND
contraction,BEYOND
pump,C1
perform,A2
number,A2
different,A1
term,B2
freely,B2
extensor,BEYOND
instance,B2
straighten,BEYOND
flexor,BEYOND
bend,B1
variety,A2
nod,C1
flex,BEYOND
consist,B1
component,B2
cartilage,BEYOND
collagen,BEYOND
ligament,BEYOND
specifically,B1
design,A1
flexible,B2
flexibility,C1
give,A1
shoulder,A2
wide,A2
range,B1
basic,B1
diarthrosis,BEYOND
synarthrosis,BEYOND
characterize,C1
locate,B1
jaw,BEYOND
spinal,BEYOND
pelvic,BEYOND
highly,B1
infant,C1
compression,BEYOND
childbirth,BEYOND
ease,C1
passage,B2
birth,A2
canal,B2
upward,BEYOND
outward,BEYOND
vertebra,BEYOND
compress,BEYOND
physical,A2
activity,A1
virtual,B2
hinge,BEYOND
growth,B1
adjacent,C1
varied,C1
assign,B2
task,A2
responsible,B1
elbow,B2
ankle,A2
note,B1
relationship,A2
examine,B1
fracture,BEYOND
lead,B1
onset,BEYOND
osteoporosis,BEYOND
contributor,C1
abnormal,BEYOND
occur,B1
result,B1
exertion,BEYOND
fall,A2
pressure,B1
nonsupported,BEYOND
direction,A2
inactivity,BEYOND
cause,A2
patient,B2
bedridden,BEYOND
reduce,A2
weaken,C1
receive,A2
radiation,B2
fight,A2
cancer,B2
negative,B2
infection,B2
microorganism,BEYOND
introduce,A1
bloodstream,BEYOND
break,A1
surface,B1
exhibit,B2
abnormality,BEYOND
scoliosis,BEYOND
curvature,BEYOND
indication,B2
pain,A2
weakness,B2
atrophy,BEYOND
noticeable,BEYOND
decrease,B2
definition,B1
failure,B2
expect,A2
rate,B2
force,B1
cord,BEYOND
peripheral,BEYOND
nerve,B2
condition,A2
interfere,C1
proper,B1
electrical,A2
stimulation,BEYOND
addition,B1
defect,C1
rise,B1
classification,C1
motor,B2
neuron,BEYOND
know,A1
degeneration,BEYOND
regulate,B2
eventually,B1
waste,B1
away,A1
muscular,BEYOND
dystrophy,BEYOND
myasthenia,BEYOND
gravis,BEYOND
chronic,C1
autoimmune,BEYOND
disorder,B2
impulse,BEYOND
myositis,BEYOND
inflammation,BEYOND
category,B1
inflammatory,BEYOND
noninflammatory,BEYOND
arthritis,BEYOND
generic,C1
swelling,BEYOND
stiffness,BEYOND
accumulate,C1
critical,B2
clue,B1
establish,B2
nature,A2
bacteria,B2
fungus,BEYOND
virus,A2
infect,C1
direct,B1
contamination,BEYOND
penetrate,BEYOND
wound,B2
migration,C1
systemic,BEYOND
infected,BEYOND
classify,B2
infectious,BEYOND
rheumatoid,BEYOND
similar,A1
causative,BEYOND
agent,B1
typically,B1
side,A2
finger,A2
wrist,B2
particularly,B1
susceptible,BEYOND
symptom,B1
wake,A1
fatigue,BEYOND
anemia,BEYOND
occasional,C1
slight,B2
fever,B2
lesion,BEYOND
outside,A2
roughly,B2
progress,B2
point,B1
functionality,BEYOND
totally,B1
compromise,C1
degenerative,BEYOND
blunt,BEYOND
vary,B2
intensity,C1
mild,B1
sprain,BEYOND
dislocation,BEYOND
involve,A2
follow,A1
sudden,B1
wrench,BEYOND
partial,C1
traumatic,BEYOND
treat,B1
prolong,BEYOND
immobilization,BEYOND
supportive,C1
heal,B2
case,A2
vicinity,BEYOND
extend,B2
space,A1
imperative,BEYOND
normal,B1
contour,BEYOND
restore,B2
repair,B1
correctly,A2
arthritic,BEYOND
complication,C1
simple,A2
ubiquitous,BEYOND
osteoarthritis,BEYOND
adult,A2
less,A2
degree,A2
reach,B2
old,A1
age,B1
