word,level
interesting,A1
question,A2
willing,B2
sure,A2
family,A1
happy,A1
safe,A2
people,A1
likely,A2
work,A1
hard,A1
earn,A2
money,A1
defend,B2
love,A1
one,A1
threat,B2
smart,B1
folk,B1
consider,A2
take,A1
step,B2
protect,A2
environment,A2
important,A1
nature,A2
human,A2
survival,B2
pretty,A1
thing,A1
safeguard,BEYOND
future,A2
conservation,B2
science,A1
make,B2
keep,A1
way,B2
time,B2
account,B1
need,B1
natural,A1
resource,B1
indicate,B1
conserve,C1
carefully,A2
maintain,B2
level,B1
provide,A2
include,A1
water,B1
forest,A2
wood,A2
soil,B1
mineral,B2
fossil,B2
fuel,B1
wildlife,B2
book,A2
examine,B1
detail,B2
protection,B2
effort,B1
past,A2
present,A2
consequence,B1
particular,A2
sector,B2
volunteer,B1
clean,A1
rubbish,A2
bank,B1
oxygen,B2
single,A2
vital,B2
element,B1
live,B1
renewable,BEYOND
plentiful,BEYOND
part,A1
world,A1
area,A1
naturally,B1
arid,BEYOND
experience,B1
drought,B2
pollution,A2
ruin,B2
body,A1
method,A2
source,A2
plant,A2
greenery,BEYOND
help,A1
ground,A2
soak,C1
rain,A1
good,A2
access,B1
drinking,BEYOND
grow,A1
food,A1
crop,B2
heating,B1
building,A1
plus,B1
home,A2
number,A2
unique,B2
animal,A1
tree,A1
point,B1
useful,A1
reduce,A2
cut,B1
slow,B1
rate,B2
necessary,A2
logging,BEYOND
occur,B1
save,A2
slang,BEYOND
term,B2
valuable,B1
treat,B1
like,B1
dirt,B1
feel,B2
worthless,BEYOND
truth,B1
precious,B2
shelter,B2
creature,B2
nutrient,BEYOND
find,A1
layer,B1
mainly,B1
involve,A2
life,A1
give,A1
wash,A2
away,A1
blow,B2
wind,B2
deep,B1
coal,B1
oil,A2
gas,A2
dependent,B2
nonrenewable,BEYOND
nutrition,B2
construction,B2
transportation,B2
limited,B2
supply,B1
absolute,B2
endangered,BEYOND
extinct,BEYOND
play,A1
role,A2
planet,A2
alive,A2
simply,B1
design,A1
wild,A2
scientist,A1
ecological,C1
service,A2
air,A1
enrich,C1
pollinate,BEYOND
harmful,B2
specie,BEYOND
climate,A2
stable,B2
definitely,A2
balance,B1
act,B1
order,A1
entire,B2
totally,B1
worthwhile,C1
responsible,B1
stewardship,BEYOND
management,B1
try,B2
preserve,B2
product,A1
recreation,BEYOND
vary,B2
opinion,A1
importance,B1
component,B2
emphasis,B2
place,B1
view,B1
primary,B1
function,B1
mechanism,B2
habitat,B2
mean,A1
assure,B2
persistence,BEYOND
economically,BEYOND
direct,B1
benefit,B1
agree,A1
major,A2
goal,A2
today,A1
reasonable,B2
use,A2
broad,B2
sense,B2
great,A1
egret,BEYOND
wade,BEYOND
amid,C1
cypress,BEYOND
large,A1
subtropical,BEYOND
wilderness,BEYOND
leave,B2
roughly,B2
half,A2
original,B1
destroy,A2
land,A2
development,B1
freshwater,BEYOND
recreational,BEYOND
activity,A1
fertile,BEYOND
accumulation,C1
toxic,C1
chemical,B1
pesticide,BEYOND
herbicide,BEYOND
fruit,A1
vegetable,A1
prevent,A2
poisoning,BEYOND
manage,A2
lumber,BEYOND
pulpwood,BEYOND
paper,A1
native,B1
industrial,B2
society,A2
monitor,B2
certain,A2
dwindle,BEYOND
rapidly,B2
degrade,BEYOND
process,B2
produce,B2
classify,B2
grassland,BEYOND
example,A1
regenerate,BEYOND
prudent,BEYOND
steady,B2
consumption,B2
limit,B1
petroleum,BEYOND
wasteful,BEYOND
speed,B2
depletion,BEYOND
measure,B1
usage,B2
likewise,B2
critical,B2
ore,BEYOND
metal,A2
iron,B1
aluminum,BEYOND
bauxite,BEYOND
copper,C1
finite,BEYOND
controlled,BEYOND
accessibility,BEYOND
recycle,A2
program,B1
continued,BEYOND
production,B1
beauty,B1
community,A2
mistreat,BEYOND
countryside,B1
aesthetically,BEYOND
unpleasant,B1
vacant,BEYOND
lot,A1
cover,B1
trash,BEYOND
bare,C1
roadside,BEYOND
stream,B2
unregulated,BEYOND
sprawl,BEYOND
strip,C1
mall,B1
ugly,B1
suitable,B1
city,A1
crowded,A2
scarce,BEYOND
enjoy,A1
leisure,B1
greatly,B2
park,A1
national,B2
grass,A2
border,B1
road,A1
highway,B2
clear,B1
river,A1
duck,A1
swim,B1
garbage,BEYOND
polluted,BEYOND
waterway,BEYOND
refuse,A2
clog,BEYOND
canal,B2
unsightly,BEYOND
pose,B2
sustain,C1
control,A2
appreciate,B1
full,A1
proper,B1
incorporate,B2
effective,B1
interest,A1
settlement,C1
dramatic,B2
unsustainable,BEYOND
european,BEYOND
settler,B2
arrive,A1
continent,A2
rich,A1
abound,BEYOND
herd,BEYOND
bison,BEYOND
roam,BEYOND
lake,A2
unpollute,BEYOND
silt,BEYOND
waste,B1
hold,B2
wealth,B2
fish,A2
surround,B2
unending,BEYOND
struggle,B2
obtain,B2
clothing,A2
million,A1
acre,C1
eastern,B1
move,B1
westward,BEYOND
plow,BEYOND
corn,BEYOND
maize,BEYOND
wheat,B2
dump,B2
sewage,BEYOND
material,B2
factory,A2
farm,A2
turn,A1
dust,B1
bowl,A2
overfarming,BEYOND
lessen,BEYOND
vegetation,BEYOND
unable,B1
absorb,B2
retain,B2
moisture,BEYOND
spring,B1
summer,A1
fall,A2
torrential,BEYOND
thunderstorm,BEYOND
especially,A2
vast,B2
basin,BEYOND
farmer,A1
settle,B2
country,A1
gentle,B1
tilling,BEYOND
planting,BEYOND
bring,A1
familiar,B1
suit,B1
new,A1
complicate,BEYOND
matter,A2
capacity,B2
store,B1
diminish,C1
loss,B1
escape,B1
rainwater,BEYOND
blotter,BEYOND
go,B1
flood,B1
unprecedented,C1
winter,A1
snow,A1
melt,B2
period,A1
well,C1
run,A2
dry,A2
die,A1
field,A2
storm,A2
topsoil,BEYOND
bird,A1
thrive,C1
kind,B1
vanish,C1
forever,B1
negative,B2
gradually,B2
lead,B1
nation,B1
recognize,A2
environmental,B1
problem,A1
ultimately,B2
strong,A1
conservationist,BEYOND
generation,B1
concern,B2
seek,B2
high,B2
quality,A2
biological,B2
genetic,B2
diversity,B2
ecosystem,BEYOND
minimize,C1
agricultural,C1
urban,B2
domestic,B2
radioactive,BEYOND
elevated,BEYOND
temperature,A2
sort,B1
energy,A2
unnecessary,B1
commercial,B1
support,A2
worldwide,B1
abuse,C1
continue,A2
show,A1
sensible,B1
instance,B2
case,A2
company,A1
replant,BEYOND
regard,B2
welfare,B2
affect,A2
foul,BEYOND
pollute,BEYOND
impact,B1
injure,B1
downstream,BEYOND
plume,BEYOND
billow,BEYOND
smokestack,BEYOND
group,A1
promote,B1
legislation,C1
correct,A1
institute,B2
legal,B1
proceeding,BEYOND
violator,BEYOND
increasingly,B2
aware,B1
existence,B2
depend,A2
stop,A1
deterioration,BEYOND
educate,B1
public,A2
vitally,BEYOND
attitude,B1
measurable,BEYOND
effect,A2
early,A1
century,A1
survey,B2
reveal,B2
percent,BEYOND
citizen,B2
purchase,B2
recyclable,BEYOND
choice,A2
information,A1
recycling,BEYOND
profitable,C1
recovery,B2
reuse,BEYOND
spend,A1
call,A1
salvage,BEYOND
ancient,A2
practice,A1
modern,A1
application,B1
recent,A2
year,A1
policy,B1
largely,B2
owe,B2
increase,A2
cost,A1
solidand,BEYOND
hazardous,BEYOND
disposal,C1
scarcity,BEYOND
type,B1
operation,B1
internal,B2
external,B2
industry,A2
reclaim,BEYOND
manufacturing,B2
common,A1
reclaiming,BEYOND
wear,A1
render,C1
obsolete,BEYOND
collection,B1
old,A1
newspaper,A1
magazine,A1
manufacture,B2
newsprint,BEYOND
essential,B1
frequent,B2
focus,A2
cooking,A1
clothe,BEYOND
dish,A1
bathing,BEYOND
non,BEYOND
fill,A1
swimming,A1
pool,A1
lawn,C1
vehicle,A2
fire,B1
boating,BEYOND
fishing,A2
electricity,A2
cool,B1
machinery,C1
perform,A2
system,A2
quantity,A2
season,A2
form,A1
key,B1
maintenance,C1
watershed,BEYOND
cordwood,BEYOND
pulp,BEYOND
raw,B2
synthetic,BEYOND
fiber,BEYOND
plastic,A2
medicine,A2
irrigation,BEYOND
farmland,BEYOND
consumer,B1
babylonian,BEYOND
mesopotamian,BEYOND
law,A2
designate,C1
get,A1
preservation,C1
conflict,B2
start,A2
long,A1
ago,A1
prediction,B1
bad,A1
near,A1
population,A2
issue,B1
stamp,A2
cycle,A2
commonplace,BEYOND
region,A2
grant,B2
dilemma,C1
deal,B1
want,A1
require,B1
basic,B1
populated,BEYOND
diversion,BEYOND
compete,A2
different,A1
option,A2
power,B2
drain,C1
slope,B2
trough,BEYOND
surface,B1
runoff,BEYOND
small,A1
flow,B1
eventually,B1
join,A1
reservoir,BEYOND
ocean,A2
ample,BEYOND
contribute,B2
humus,BEYOND
consist,B1
decay,BEYOND
bacteria,B2
dead,A2
insect,A2
remain,B1
invertebrate,BEYOND
network,A2
root,B2
break,A1
force,B1
scatter,BEYOND
drop,B1
branch,B1
return,A1
evaporation,BEYOND
pass,B1
transpiration,BEYOND
forested,BEYOND
ability,A2
running,A2
plenty,B1
sink,B1
earth,A2
countless,C1
tiny,B1
channel,B1
space,A1
percolate,BEYOND
cause,A2
feature,B1
geology,BEYOND
burrow,BEYOND
earthworm,BEYOND
mole,BEYOND
permanently,B2
saturate,BEYOND
know,A1
table,A1
underground,A2
fluctuate,BEYOND
rainfall,BEYOND
heavy,A2
able,A2
slowly,A2
allow,A2
poor,A1
forestry,BEYOND
overgrazing,BEYOND
farming,A2
suffer,B1
instead,A2
organic,B2
floor,A1
mud,B1
close,B1
stand,B2
stagnant,BEYOND
downhill,BEYOND
mismanaged,BEYOND
brown,A1
suspend,B2
race,B1
carry,A1
unvegetated,BEYOND
result,B1
destructive,C1
reach,B2
quickly,A1
overflow,BEYOND
little,A2
silting,BEYOND
siltation,BEYOND
kill,A2
aquatic,BEYOND
tadpole,BEYOND
mollusk,BEYOND
larval,BEYOND
indirectly,BEYOND
deposit,C1
streambed,BEYOND
pattern,A2
alter,B2
dam,C1
erosion,BEYOND
