word,level
deal,B1
physics,A2
answer,A1
question,A2
matter,A2
resounding,BEYOND
star,A2
night,A1
sky,A2
rock,C1
find,A1
bury,B1
deep,B1
beneath,C1
surface,B1
creature,B2
great,A1
small,A1
include,A1
human,A2
think,A1
compose,B2
book,A2
take,A1
general,A2
statement,A1
add,A1
detail,B2
explain,A1
existence,B2
property,B1
risk,B1
state,B1
obvious,B1
microscopic,BEYOND
level,B1
atom,BEYOND
molecule,BEYOND
ion,BEYOND
close,B1
different,A1
type,B1
piece,A1
exist,A2
nature,A2
combination,B2
single,A2
group,A1
electrical,A2
charge,B1
cluster,C1
center,BEYOND
proton,BEYOND
neutron,BEYOND
particle,BEYOND
call,A1
electron,BEYOND
orbit,BEYOND
form,A1
phase,B2
solid,B1
liquid,B1
gas,A2
definite,B1
size,A2
shape,B2
change,A1
volume,B2
determine,B1
container,B1
occupy,B2
simply,B1
expand,B1
fill,A1
completely,A2
example,A1
ice,A1
melt,B2
water,B1
refreeze,BEYOND
reverse,C1
characteristic,B2
subject,B2
inertia,BEYOND
gravitation,BEYOND
describe,A1
resistance,C1
stop,A1
move,B1
rest,A2
mass,B2
object,B2
meaning,A1
word,A1
massive,B2
force,B1
require,B1
important,A1
weight,A2
come,A1
gravity,C1
attract,B1
draw,A1
pull,B1
planet,A2
core,B2
distance,A2
strength,B1
give,A1
experience,B1
strong,A1
gravitational,BEYOND
mountain,A1
turn,A1
weigh,B1
atop,BEYOND
physicist,BEYOND
table,A1
element,B1
front,A1
diagram,B1
atomic,BEYOND
model,B2
people,A1
understanding,A2
grow,A1
year,A1
century,A1
scientist,A1
sure,A2
energy,A2
separate,B1
thing,A1
prove,B1
theory,B1
special,A1
relativity,BEYOND
well,C1
know,A1
closely,B2
link,A2
say,C1
equivalent,B2
fact,A1
convert,B2
raise,A2
modern,A1
era,B2
rise,B1
quantum,BEYOND
mechanic,B2
study,A1
astronomical,BEYOND
observation,B2
experimentation,BEYOND
reveal,B2
plenty,B1
doubt,B1
future,A2
continue,A2
investigate,B1
fundamental,B2
topic,A1
grain,B1
sand,B1
elephant,A1
giant,B1
edge,B1
visible,B2
universe,B2
common,A1
material,B2
substance,B1
make,B2
physical,A2
beam,C1
light,A2
motion,B2
fall,A2
stone,A2
explosion,B1
stick,B1
dynamite,BEYOND
expression,A2
basis,B1
observable,BEYOND
phenomenon,B2
tiny,B1
unit,A2
basic,B1
building,A1
block,B1
chemistry,A2
chemical,B1
hydrogen,C1
oxygen,B2
calcium,BEYOND
iron,B1
gold,A2
neon,BEYOND
contain,A2
mixture,B1
kind,B1
join,A1
chemically,BEYOND
electrically,BEYOND
roughly,B2
million,A1
line,B2
row,B1
measure,B1
inch,B2
centimeter,BEYOND
glass,A1
beaker,BEYOND
huge,A2
number,A2
mention,B1
need,B1
bulk,C1
everyday,A2
life,A1
consist,B1
large,A1
amount,B2
component,B2
instance,B2
extremely,A2
combine,B1
long,A1
believe,A1
elementary,B2
discernible,BEYOND
structure,B2
break,A1
apart,B1
greek,BEYOND
mean,A1
indivisible,BEYOND
end,A1
part,A1
split,B2
involve,A2
nuclear,B1
reaction,B1
ordinary,A2
positively,BEYOND
nucleus,BEYOND
helium,BEYOND
carbon,B2
circle,A2
negatively,BEYOND
subatomic,BEYOND
space,A1
concentrate,B1
exception,B2
name,A1
suggest,A2
positive,B2
neutral,B2
carry,A1
overall,B2
represent,B1
isotope,BEYOND
vary,B2
differ,B2
cloud,A2
charged,BEYOND
gram,BEYOND
time,B2
account,B1
percent,BEYOND
fraction,B2
constitute,C1
proportion,B2
marble,BEYOND
football,A1
field,A2
dense,C1
hold,B2
opposite,A1
electric,A2
attractive,A2
keep,A1
like,B1
way,B2
unlike,B1
arbitrary,C1
certain,A2
specific,A2
location,B1
allow,A2
particular,A2
fix,B2
danish,BEYOND
propose,B2
early,A1
stable,B2
ordinarily,BEYOND
cancel,B2
gain,B2
lose,A1
live,B1
present,A2
naturally,B1
occur,B1
association,B2
create,A1
addition,B1
enormous,A2
short,A1
quark,BEYOND
reduce,A2
consider,A2
simple,A2
silver,A2
uranium,BEYOND
heavy,A2
significant,B2
assign,B2
equal,B1
identify,A2
arrangement,A2
interact,B2
reason,A1
behavior,BEYOND
deuterium,BEYOND
rare,B1
tritium,BEYOND
unstable,BEYOND
radioactive,BEYOND
gray,A1
green,A1
radiation,B2
man,A1
produce,B2
reactor,BEYOND
machine,A1
accelerator,BEYOND
smasher,BEYOND
fast,A1
cause,A2
collide,BEYOND
collision,C1
new,A1
synthesize,BEYOND
dozen,B2
later,A2
trace,C1
decay,BEYOND
radioactively,BEYOND
second,A2
compound,B2
undergo,B2
bonding,BEYOND
result,B1
attraction,B1
share,B1
covalent,BEYOND
bond,B2
good,A2
symbol,A2
denote,BEYOND
possible,A1
peroxide,BEYOND
french,BEYOND
hospital,A1
smash,C1
diagnosis,C1
treatment,B1
cancer,B2
illness,A2
salt,A1
sodium,BEYOND
chloride,BEYOND
exchange,B1
ionic,BEYOND
ionization,BEYOND
heat,A2
presence,B2
chlorine,BEYOND
acquire,B2
arrange,A2
pattern,A2
intermingle,BEYOND
solution,A2
spread,B1
dissolve,C1
observe,B2
classify,B2
generally,B1
possess,B2
retain,B2
situate,BEYOND
pencil,A1
desktop,C1
place,B1
upright,BEYOND
assume,B2
pint,BEYOND
pour,B1
bowl,A2
remain,B1
complete,A1
temperature,A2
pressure,B1
gaseous,BEYOND
constant,B2
atmospheric,BEYOND
remove,A2
freezer,BEYOND
warm,B1
pan,B1
hot,A1
fire,B1
steam,B2
cool,B1
low,B2
quartz,BEYOND
high,B2
familiar,B1
wide,A2
drastic,BEYOND
effect,A2
vacuum,C1
tend,B1
enter,A2
liquefy,BEYOND
solidify,BEYOND
reach,B2
normal,B1
apply,A2
traveler,BEYOND
cook,A2
meal,A1
mongolian,BEYOND
decrease,B2
air,A1
elevation,BEYOND
boil,A2
food,A1
knock,B1
free,B2
negative,B2
accord,BEYOND
usual,A2
definition,B1
plasma,BEYOND
dust,B1
interstellar,BEYOND
fourth,A1
actually,A2
diffuse,BEYOND
standpoint,BEYOND
somewhat,B2
unusual,A2
condition,A2
difficult,A1
relation,B1
altitude,BEYOND
sea,A1
mountaintop,BEYOND
regardless,C1
composition,C1
instead,A2
difference,A1
depend,A2
associate,B2
repulsive,BEYOND
weak,A2
intermolecular,BEYOND
random,B2
thermal,BEYOND
increase,A2
molecular,BEYOND
likely,A2
unite,B2
