word,level
airplane,BEYOND
begin,A1
initial,B2
descent,C1
passenger,A2
chew,BEYOND
gum,BEYOND
yawn,BEYOND
clear,B1
ear,A1
feel,B2
bothered,BEYOND
change,A1
air,A1
pressure,B1
common,A1
cold,A1
notorious,C1
obscure,BEYOND
ability,A2
taste,A2
food,A1
experience,B1
demonstrate,B2
close,B1
physiological,BEYOND
relationship,A2
share,B1
nose,A1
throat,B1
tissue,B2
perform,A2
separate,B1
function,B1
human,A2
body,A1
discover,A2
book,A2
play,A1
key,B1
role,A2
respiratory,BEYOND
alimentary,BEYOND
system,A2
essential,B1
health,A1
time,B2
unique,B2
example,A1
structure,B2
enable,B2
vocal,C1
expression,A2
hearing,B2
balance,B1
central,B1
sense,B2
smell,A2
late,A1
century,A1
physician,C1
consider,A2
organ,B2
separately,BEYOND
otologist,BEYOND
specialize,B2
exclusively,C1
laryngologist,BEYOND
diagnose,C1
treat,B1
disorder,B2
larynx,BEYOND
interdependence,BEYOND
come,A1
well,C1
understand,A1
medical,A2
science,A1
otology,BEYOND
laryngology,BEYOND
unify,C1
specialized,C1
field,A2
otolaryngology,BEYOND
devote,B2
study,A1
treatment,B1
disease,A2
associate,B2
today,A1
refer,A2
simply,B1
short,A1
scientist,A1
design,A1
architectural,C1
term,B2
describe,A1
feature,B1
say,C1
wall,A1
window,A1
vestibule,BEYOND
ceiling,B1
character,A2
kill,A2
pour,B1
poison,B1
porch,BEYOND
inner,B2
include,A1
labyrinth,BEYOND
inside,A2
highly,B1
developed,BEYOND
responsible,B1
entirely,B2
different,A1
equilibrium,BEYOND
govern,B2
vestibular,BEYOND
individual,A2
maintain,B2
transform,B2
vibration,BEYOND
sound,C1
wave,B1
nerve,B2
impulse,BEYOND
brain,A2
interpret,B2
fully,B2
extremely,A2
complex,B1
process,B2
medium,B1
water,B1
ultimately,B2
recognize,A2
know,A1
energy,A2
transformation,C1
relay,BEYOND
information,A1
centre,B1
outer,B2
channel,B1
tympanic,BEYOND
membrane,BEYOND
eardrum,BEYOND
middle,A2
transfer,B2
minute,C1
bone,A2
ossicle,BEYOND
movement,A2
create,A1
fluid,C1
cochlea,BEYOND
contain,A2
sensory,BEYOND
distinguish,B2
coiled,BEYOND
shape,B2
resemble,C1
snail,BEYOND
shell,B1
cochlear,BEYOND
travel,A1
basilar,BEYOND
stimulate,B2
hair,A1
cell,B2
convert,B2
transmit,B2
brainstem,BEYOND
processing,C1
find,A1
present,A2
mammal,BEYOND
consist,B1
malleus,BEYOND
incus,BEYOND
stape,BEYOND
commonly,B2
hammer,BEYOND
anvil,BEYOND
stirrup,BEYOND
respectively,C1
small,A1
impossible,A2
device,A2
method,A2
evaluate,B2
develop,A2
year,A1
audiometer,BEYOND
electrocochleogram,BEYOND
evoke,C1
response,A2
audiometry,BEYOND
audiologist,BEYOND
rely,B2
far,B1
simple,A2
diagnostic,BEYOND
tool,A2
tuning,BEYOND
fork,A2
addition,B1
specific,A2
orientation,C1
respect,B1
gravity,C1
case,A2
history,A1
researcher,BEYOND
learn,A1
organism,BEYOND
observe,B2
effect,A2
injury,A2
semicircular,BEYOND
canal,B2
critical,B2
postural,BEYOND
damage,B1
destroy,A2
suffer,B1
vertigo,BEYOND
false,A1
turn,A1
fall,A2
disorientation,BEYOND
vulnerable,C1
subject,B2
frostbite,BEYOND
boxer,BEYOND
repeat,B1
blow,B2
side,A2
head,B1
rise,B1
cauliflower,BEYOND
type,B1
cartilage,BEYOND
foreign,A2
substance,B1
enter,A2
cause,A2
problem,A1
perichondritis,BEYOND
inflammation,BEYOND
swim,B1
contaminate,BEYOND
proximity,BEYOND
cavity,BEYOND
potential,B2
danger,A2
infection,B2
leave,B2
untreated,BEYOND
condition,A2
alleviate,BEYOND
antibiotic,BEYOND
ironically,C1
streptomycin,BEYOND
ototoxic,BEYOND
harmful,B2
affect,A2
sufferer,BEYOND
rubella,BEYOND
virus,A2
contract,B2
woman,A1
pregnancy,C1
congenital,BEYOND
deafness,BEYOND
baby,A1
vaccine,BEYOND
age,B1
people,A1
gradual,BEYOND
loss,B1
result,B1
presbycusis,BEYOND
percent,BEYOND
population,A2
chronic,C1
tinnitus,BEYOND
persistent,C1
ringing,BEYOND
buzzing,BEYOND
vital,B2
mechanic,B2
repair,B1
way,B2
help,A1
regenerate,BEYOND
day,A1
cure,B2
profound,C1
speech,A2
acquisition,C1
dependent,B2
young,B1
child,A1
hamper,BEYOND
arrest,B1
development,B1
measure,B1
degree,A2
impairment,BEYOND
use,A2
surgery,B2
medicine,A2
defect,C1
severe,B2
depend,A2
aid,B2
fine,C1
tune,B2
need,B1
benefit,B1
lip,B1
reading,A1
order,A1
communicate,A2
signer,BEYOND
recent,A2
advance,B2
technology,A2
implant,BEYOND
work,A1
fibre,C1
generate,B2
controversy,B2
deaf,BEYOND
community,A2
object,B2
characterization,BEYOND
reference,B1
floor,A1
roof,A2
mouth,A1
hard,A1
palate,BEYOND
form,A1
palatine,BEYOND
flap,BEYOND
call,A1
soft,A2
extend,B2
nasopharynx,BEYOND
nasal,BEYOND
portion,B2
prevent,A2
go,B1
eat,A1
facial,BEYOND
hollow,B2
