word,level
bear,B2
east,A1
give,A1
poor,A1
father,A1
sadly,A2
see,A1
old,A1
mother,A1
marry,A2
die,A1
month,A1
death,A2
beautiful,A1
young,B1
unhappy,A2
know,A1
find,A1
life,A1
extremely,A2
difficult,A1
new,A1
baby,A1
husband,A1
rich,A1
important,A1
person,A1
family,A1
aunt,A1
fact,A1
married,A1
handsome,BEYOND
demand,B2
money,A1
beat,B2
decide,A1
separate,B1
go,B1
abroad,A2
soon,A1
news,A1
come,A1
buy,A1
small,A1
house,B2
sea,A1
live,B1
servant,B1
speak,A1
marriage,B1
consider,A2
mistake,B2
girl,A1
hear,A1
expect,A2
visit,A1
cold,A1
windy,BEYOND
afternoon,A1
sit,A1
fire,B1
feel,B2
lonely,B1
cry,B2
little,A2
suddenly,A2
stern,BEYOND
strange,A2
looking,BEYOND
face,B1
appear,A2
window,A1
open,A1
door,A1
order,A1
faced,BEYOND
lady,A2
shock,B2
obey,B2
wife,A1
say,C1
enter,A2
yes,A1
whisper,B2
tremble,BEYOND
start,A2
sob,BEYOND
look,A2
like,B1
child,A1
answer,A1
tea,A1
well,C1
reply,A2
miserably,BEYOND
mean,A1
terrible,A1
mind,A2
call,A1
bring,A1
continue,A2
talk,A2
sure,A2
bravely,BEYOND
stupid,A2
course,A1
send,A1
school,A1
educate,B1
want,A1
prevent,A2
make,B2
angry,A1
tell,A1
happy,A1
ask,A1
bad,A1
sensible,B1
cooking,A1
thing,A1
love,A1
help,A1
learn,A1
fall,A2
chair,B2
completely,A2
unconscious,B2
realize,A2
situation,A1
take,A1
upstairs,A2
bed,A1
doctor,A1
arrive,A1
stay,A2
evening,A1
care,A2
patient,B2
midnight,A1
downstairs,A2
sitting,BEYOND
room,A1
wait,A2
impatiently,BEYOND
comfortable,A2
madam,BEYOND
politely,BEYOND
strangely,BEYOND
boy,A1
walk,A1
straight,A2
early,A1
childhood,B1
kind,B1
shadow,B2
pass,B1
happiness,B1
good,A2
clothe,BEYOND
gentleman,B1
black,A1
hair,A1
big,A1
