word,level
wake,A1
find,A1
lie,B1
bed,A1
think,A1
sleep,A2
late,A1
long,A1
unpleasant,B1
dream,A2
hover,BEYOND
edge,B1
memory,A2
ill,A2
ceiling,B1
look,A2
strange,A2
flat,A2
dark,A2
beam,C1
richly,BEYOND
carve,C1
little,A2
patch,C1
sunlight,BEYOND
wall,A1
listen,A1
sound,C1
waterfall,BEYOND
time,B2
say,C1
aloud,BEYOND
house,B2
morning,A1
voice,A2
fourth,A1
want,A1
know,A1
cry,B2
sit,A1
old,A1
wizard,BEYOND
chair,B2
open,A1
window,A1
yes,A1
lucky,A2
absurd,C1
thing,A1
leave,B2
home,A2
feel,B2
comfortable,A2
peaceful,B1
argue,A2
case,A2
well,C1
argument,A2
fully,B2
awake,BEYOND
journey,A1
return,A1
disastrous,C1
short,A1
cut,B1
accident,A2
madness,BEYOND
put,A1
dell,BEYOND
try,B2
vain,BEYOND
bring,A1
arrive,A1
silence,B2
break,A1
soft,A2
puff,BEYOND
pipe,B1
blow,B2
white,A1
smoke,A2
ring,B1
ask,A1
length,B1
right,A1
safe,A2
answer,A1
send,A1
rest,A2
half,A2
hour,A1
ago,A1
happen,A1
dim,BEYOND
begin,A1
fade,C1
wound,B2
overcome,B2
aid,B2
strength,B1
dear,A2
hobbit,BEYOND
show,A1
touch,B1
dangerous,A1
moment,A1
wish,A2
hold,B2
great,A1
deal,B1
speak,A1
horrible,B1
talk,A2
gently,BEYOND
hard,A1
read,A1
mind,A2
worry,B1
mean,A1
small,A1
feat,C1
come,A1
far,B1
danger,A2
bear,B2
need,B1
delay,B2
nearly,A2
prove,B1
ruin,B2
sure,A2
tell,A1
good,A2
suppose,A2
today,A1
order,A1
talking,BEYOND
stop,A1
wonder,B1
tiring,BEYOND
wide,A2
remember,A1
explain,A1
ought,B1
soon,A1
hear,A1
shall,A2
captive,BEYOND
solemnly,BEYOND
power,B2
world,A1
evil,B2
measure,B1
lord,B2
forth,C1
war,A2
prepare,A1
meet,A1
arise,B2
flee,C1
news,A1
story,A1
wait,A2
save,A2
disaster,A2
afraid,A1
trust,B2
rate,B2
smile,A2
doubt,B1
glad,B1
fond,B2
word,A1
grim,BEYOND
fact,A1
remind,B1
big,A1
like,B1
stupid,A2
kind,B1
wicked,BEYOND
lander,BEYOND
wise,B2
ground,A2
slow,B1
brick,B2
son,A1
race,B1
king,A2
end,A1
adventure,A2
people,A1
vanish,C1
ranger,BEYOND
remnant,BEYOND
help,A1
day,A1
reach,B2
thought,A2
hope,A2
pleasant,B1
month,A1
exile,C1
fall,A2
silent,B1
shut,A2
eye,A1
reckon,B2
total,C1
twentieth,BEYOND
shoulder,A2
improvement,B1
effort,B1
arm,C1
life,A1
cold,A1
add,A1
left,A1
hand,B1
mend,BEYOND
fast,A1
cure,B2
tend,B1
night,A1
exact,A2
lose,A1
count,B1
terribly,B2
anxious,B2
hardly,B1
run,A2
message,A1
master,B2
healing,BEYOND
weapon,B1
enemy,B1
deadly,B2
truth,B1
suspect,B2
fragment,B2
blade,C1
closed,A2
remove,A2
splinter,BEYOND
deeply,B2
bury,B1
work,A1
inwards,BEYOND
shudder,BEYOND
cruel,B1
knife,A2
notch,BEYOND
alarmed,BEYOND
go,B1
melt,B2
reluctantly,BEYOND
strong,A1
warrior,C1
quickly,A1
seventeen,A1
rider,BEYOND
pierce,BEYOND
heart,A2
remain,B1
succeed,A2
weak,A2
command,B2
wraith,BEYOND
dominion,BEYOND
torment,BEYOND
possible,A1
rob,B2
see,A1
thank,A1
goodness,B2
realize,A2
faintly,BEYOND
mortally,BEYOND
course,A1
dare,B2
marvel,BEYOND
escape,B1
fortune,B2
fate,C1
mention,B1
courage,B2
resist,B2
narrow,B2
shave,BEYOND
grave,BEYOND
peril,BEYOND
wear,A1
seize,C1
terrible,A1
behold,BEYOND
horse,A1
real,A1
black,A1
robe,BEYOND
shape,B2
nothingness,BEYOND
dealing,BEYOND
live,B1
endure,C1
animal,A1
terrify,B2
draw,A1
near,A1
elf,BEYOND
dog,A1
howl,BEYOND
goose,BEYOND
scream,B2
breed,C1
service,A2
servant,B1
chattel,BEYOND
orc,BEYOND
troll,BEYOND
warg,BEYOND
werewolf,BEYOND
man,A1
walk,A1
alive,A2
sway,BEYOND
number,A2
grow,A1
daily,B1
present,A2
conquer,C1
fear,B1
fly,A2
serve,A2
chief,B2
foe,BEYOND
elven,BEYOND
furth,BEYOND
sea,A1
dwell,BEYOND
figure,B2
shine,B1
mighty,BEYOND
prince,B1
withstand,BEYOND
place,B1
island,A1
siege,BEYOND
stand,B2
suddenly,A2
stick,B1
chin,BEYOND
beard,BEYOND
stiff,B2
straight,A2
bristle,BEYOND
wire,B2
death,A2
worried,A2
friend,A1
affair,B2
content,C1
able,A2
close,B1
finish,A2
move,B1
bedside,BEYOND
take,A1
colour,A1
face,B1
clear,B1
aware,B1
wrong,B1
faint,BEYOND
change,A1
hint,C1
transparency,C1
especially,A2
outside,A2
coverlet,BEYOND
expect,A2
foretell,BEYOND
glass,A1
fill,A1
light,A2
splendid,BEYOND
risk,B1
brief,B2
tale,B2
consult,B2
gather,B1
guidance,C1
visible,B2
threshold,C1
spring,B1
aside,B2
road,A1
ride,A2
swift,BEYOND
overtake,BEYOND
oppose,B2
foot,A1
sweep,B2
hollow,B2
mask,C1
stunted,BEYOND
tree,A1
hastily,BEYOND
kindle,BEYOND
fire,B1
flood,B1
cross,A2
river,A1
appear,A2
rush,B2
follow,A1
flame,B2
brand,B1
catch,B2
water,B1
reveal,B2
wrath,BEYOND
dismay,BEYOND
stricken,BEYOND
carry,A1
away,A1
assault,C1
hurl,BEYOND
overwhelm,C1
perish,BEYOND
cripple,BEYOND
easily,A2
destroy,A2
pass,B1
bank,B1
broken,A2
sword,C1
guard,B1
pale,B1
dead,A2
bad,A1
folk,B1
slowly,A2
valley,A2
rise,B1
anger,B2
bar,B2
captain,B1
release,B1
notice,A2
wave,B1
form,A1
roll,B1
grind,C1
boulder,BEYOND
let,A1
loose,B2
fierce,C1
wash,A2
vigour,BEYOND
snow,A1
tremendous,C1
roaring,BEYOND
drown,C1
feasting,BEYOND
merry,BEYOND
making,B2
celebrate,A2
victory,B2
honour,B2
wonderful,A1
trouble,B2
kindness,BEYOND
reason,A1
bearer,BEYOND
heir,BEYOND
finder,BEYOND
sleepily,BEYOND
laugh,A1
cow,A1
jump,A2
poor,A1
asleep,A2
east,A1
report,A2
perfect,A1
food,A1
telling,BEYOND
singing,A2
mixture,B1
merely,C1
weariness,BEYOND
sadness,BEYOND
evening,A1
drink,A1
probably,A1
get,A1
discover,A2
useful,A1
lay,B1
ready,A1
clean,A1
garment,BEYOND
green,A1
cloth,B1
fit,C1
excellently,BEYOND
mirror,A2
startle,BEYOND
