word,level
mole,BEYOND
work,A1
hard,A1
morning,A1
spring,B1
clean,A1
little,A2
home,A2
broom,BEYOND
duster,BEYOND
ladder,B2
step,B2
chair,B2
brush,A2
pail,BEYOND
whitewash,BEYOND
till,B1
dust,B1
throat,B1
eye,A1
splash,BEYOND
black,A1
fur,B1
ache,BEYOND
weary,BEYOND
arm,C1
move,B1
air,A1
earth,A2
penetrate,BEYOND
dark,A2
lowly,BEYOND
house,B2
spirit,B1
divine,C1
discontent,BEYOND
longing,BEYOND
small,A1
wonder,B1
suddenly,A2
fling,BEYOND
floor,A1
say,C1
bother,B1
blow,B2
hang,B1
cleaning,BEYOND
bolt,BEYOND
wait,A2
coat,A1
call,A1
imperiously,BEYOND
steep,B2
tunnel,B2
answer,A1
case,A2
gravelled,BEYOND
carriage,C1
drive,A2
own,A2
animal,A1
residence,C1
near,A1
sun,A1
scrape,BEYOND
scratch,B2
scrabble,BEYOND
scrooge,BEYOND
busily,BEYOND
paw,BEYOND
mutter,BEYOND
pop,C1
snout,BEYOND
come,A1
sunlight,BEYOND
find,A1
roll,B1
warm,B1
grass,A2
great,A1
meadow,BEYOND
fine,C1
well,C1
whitewashing,BEYOND
sunshine,BEYOND
strike,B2
hot,A1
soft,A2
breeze,BEYOND
caress,BEYOND
heated,BEYOND
brow,BEYOND
seclusion,BEYOND
cellarage,BEYOND
live,B1
long,A1
carol,BEYOND
happy,A1
bird,A1
fall,A2
dulled,BEYOND
hearing,B2
like,B1
shout,A2
jump,A2
leg,A1
joy,B2
living,B1
delight,B2
pursue,B2
way,B2
reach,B2
hedge,BEYOND
hold,B2
elderly,B2
rabbit,BEYOND
gap,A2
sixpence,BEYOND
privilege,C1
pass,B1
private,B1
road,A1
bowl,A2
instant,B2
impatient,B2
contemptuous,BEYOND
trot,BEYOND
chaff,BEYOND
peep,BEYOND
hurriedly,BEYOND
hole,A2
row,B1
onion,A1
sauce,A2
remark,B2
jeeringly,BEYOND
go,B1
think,A1
thoroughly,B2
satisfactory,BEYOND
reply,A2
start,A2
grumble,BEYOND
stupid,A2
tell,A1
remind,B1
usual,A2
course,A1
late,A1
good,A2
true,A1
hither,BEYOND
thither,BEYOND
ramble,BEYOND
hedgerow,BEYOND
copse,BEYOND
build,A1
flower,A1
bud,BEYOND
leave,B2
thrust,BEYOND
progressive,B2
occupied,BEYOND
instead,A2
have,A2
uneasy,BEYOND
conscience,C1
prick,BEYOND
whisper,B2
feel,B2
jolly,BEYOND
idle,BEYOND
dog,A1
busy,A1
citizen,B2
holiday,A1
rest,A2
fellow,B2
happiness,B1
complete,A1
meander,BEYOND
aimlessly,BEYOND
stand,B2
edge,B1
feed,B2
river,A1
life,A1
see,A1
sleek,BEYOND
sinuous,BEYOND
bodied,BEYOND
chase,B2
chuckle,BEYOND
grip,C1
thing,A1
gurgle,BEYOND
laugh,A1
fresh,A2
playmate,BEYOND
shake,B1
free,B2
catch,B2
shiver,BEYOND
glint,BEYOND
gleam,BEYOND
sparkle,BEYOND
rustle,BEYOND
swirl,BEYOND
chatter,BEYOND
bubble,B1
bewitch,BEYOND
entranced,BEYOND
fascinated,BEYOND
man,A1
spell,C1
bound,B2
exciting,A1
story,A1
tired,A1
sit,A1
bank,B1
babble,BEYOND
procession,BEYOND
world,A1
send,A1
heart,A2
insatiable,BEYOND
sea,A1
look,A2
opposite,A1
water,B1
dreamily,BEYOND
consider,A2
nice,A1
snug,BEYOND
dwelling,BEYOND
place,B1
want,A1
fond,B2
riverside,BEYOND
flood,B1
level,B1
remote,B1
noise,A2
gaze,C1
bright,A2
twinkle,BEYOND
vanish,C1
tiny,B1
star,A2
hardly,B1
unlikely,B1
situation,A1
glittering,BEYOND
glow,BEYOND
worm,B2
wink,BEYOND
declare,B2
face,B1
begin,A1
gradually,B2
grow,A1
round,B2
frame,B1
picture,B2
brown,A1
whisker,BEYOND
grave,BEYOND
attract,B1
notice,A2
neat,B2
ear,A1
thick,A2
silky,BEYOND
hair,A1
regard,B2
cautiously,BEYOND
hullo,BEYOND
enquire,C1
presently,C1
talk,A2
pettishly,BEYOND
new,A1
stoop,BEYOND
unfasten,BEYOND
rope,B1
haul,BEYOND
lightly,BEYOND
boat,A1
observe,B2
paint,A1
blue,A1
outside,A2
white,A1
size,A2
fully,B2
understand,A1
use,A2
rat,B2
scull,BEYOND
smartly,BEYOND
fast,A1
forepaw,BEYOND
gingerly,BEYOND
lean,B2
lively,B2
surprise,A2
rapture,BEYOND
actually,A2
seat,B2
stern,BEYOND
real,A1
wonderful,A1
day,A1
shove,BEYOND
take,A1
know,A1
cry,B2
open,A1
mouthed,BEYOND
ask,A1
shyly,BEYOND
prepared,B1
believe,A1
survey,B2
cushion,BEYOND
oar,BEYOND
rowlock,BEYOND
fascinating,B1
fitting,BEYOND
sway,BEYOND
solemnly,BEYOND
forward,B2
stroke,B2
young,B1
friend,A1
absolute,B2
half,A2
worth,B1
simply,B1
mess,B1
ahead,B1
tilt,BEYOND
dreamer,BEYOND
joyous,BEYOND
oarsman,BEYOND
lie,B1
heel,B2
composedly,BEYOND
pick,B2
pleasant,B1
matter,A2
charm,C1
away,A1
arrive,A1
destination,B1
particular,A2
hand,B1
suppose,A2
drop,B1
waggle,BEYOND
toe,B1
sheer,C1
spread,B1
chest,B1
sigh,C1
contentment,BEYOND
blissfully,BEYOND
let,A1
minute,C1
loop,C1
painter,A2
ring,B1
landing,B2
stage,B2
climb,B1
short,A1
interval,B2
reappear,BEYOND
stagger,BEYOND
fat,A2
wicker,BEYOND
luncheon,BEYOND
basket,B2
foot,A1
untie,BEYOND
inside,A2
wriggle,BEYOND
curiosity,C1
cold,A1
chicken,A1
briefly,B2
coldtonguecoldhamcoldbeefpickledgherkinssaladfrenchrollscresssandwichespottedmeatgingerbeerlemonadesodawater,BEYOND
stop,A1
ecstacie,BEYOND
seriously,B1
excursion,BEYOND
mean,A1
beast,C1
cut,B1
hear,A1
word,A1
absorb,B2
enter,A2
intoxicated,BEYOND
ripple,BEYOND
scent,BEYOND
sound,C1
trail,C1
dream,A2
wake,A1
steadily,B2
forbear,BEYOND
disturb,B2
clothe,BEYOND
awfully,BEYOND
old,A1
chap,BEYOND
hour,A1
velvet,BEYOND
smoking,A2
suit,B1
soon,A1
afford,B1
beg,B2
pardon,A1
pull,B1
effort,B1
rude,A2
correct,A1
brother,A1
sister,A1
aunt,A1
company,A1
food,A1
drink,A1
naturally,B1
washing,A2
get,A1
lord,B2
time,B2
winter,A1
summer,A1
autumn,A1
fun,A2
excitement,B1
cellar,BEYOND
basement,B2
brim,BEYOND
run,A2
bedroom,A1
window,A1
show,A1
patch,C1
mud,B1
smell,A2
plum,BEYOND
cake,A1
rush,B2
weed,C1
clog,BEYOND
channel,B1
potter,BEYOND
dry,A2
shod,BEYOND
bed,A1
eat,A1
careless,B1
people,A1
bit,A2
dull,B2
venture,C1
forbearance,BEYOND
crowded,A2
nowadays,B2
altogether,B2
otter,BEYOND
kingfisher,BEYOND
dabchick,BEYOND
moorhen,BEYOND
business,A1
attend,A2
wave,B1
background,A2
woodland,BEYOND
darkly,BEYOND
shortly,B2
banker,BEYOND
trifle,BEYOND
nervously,BEYOND
squirrel,BEYOND
right,A1
mix,B1
lot,A1
pay,A2
dear,A2
interfere,C1
add,A1
significantly,B2
explain,A1
hesitating,BEYOND
sort,B1
weasel,BEYOND
stoat,BEYOND
fox,BEYOND
meet,A1
break,A1
deny,B2
trust,B2
fact,A1
etiquette,BEYOND
dwell,BEYOND
possible,A1
trouble,B2
allude,BEYOND
subject,B2
dim,BEYOND
hill,A2
smoke,A2
town,A1
cloud,A2
drift,C1
sense,B2
refer,A2
backwater,BEYOND
lunch,A1
main,A1
stream,B2
sight,B1
land,A2
lock,A2
lake,A2
green,A1
turf,BEYOND
slope,B2
snaky,BEYOND
tree,A1
root,B2
surface,B1
quiet,A1
silvery,BEYOND
shoulder,A2
foamy,BEYOND
tumble,BEYOND
weir,BEYOND
restless,BEYOND
drip,BEYOND
mill,C1
wheel,A2
turn,A1
grey,A1
gabled,BEYOND
fill,A1
soothing,BEYOND
murmur,BEYOND
smothery,BEYOND
clear,B1
voice,A2
speak,A1
cheerfully,BEYOND
beautiful,A1
gasp,BEYOND
bring,A1
alongside,B2
help,A1
awkward,B2
safely,BEYOND
ashore,BEYOND
swing,C1
favour,B1
allow,A2
unpack,BEYOND
pleased,A2
indulge,C1
sprawl,BEYOND
length,B1
excited,A1
table,A1
cloth,B1
mysterious,B2
packet,B2
arrange,A2
content,C1
order,A1
revelation,C1
ready,A1
pitch,B2
glad,B1
obey,B2
early,A1
pause,B2
bite,B1
sup,BEYOND
deal,B1
distant,B2
ago,A1
hunger,B2
somewhat,B2
able,A2
wander,B2
streak,BEYOND
travel,A1
funny,A1
oho,BEYOND
chirrup,BEYOND
cheerily,BEYOND
inviting,BEYOND
broad,B2
glisten,BEYOND
muzzle,BEYOND
greedy,BEYOND
beggar,BEYOND
make,B2
provender,BEYOND
invite,A2
impromptu,BEYOND
affair,B2
proud,B1
sure,A2
forthwith,BEYOND
rumpus,BEYOND
continue,A2
try,B2
moment,A1
peace,A2
stumble,C1
exactly,A2
proceed,B2
year,A1
cling,C1
stripy,BEYOND
head,B1
high,B2
peer,B2
forth,C1
pace,B2
grunt,BEYOND
disappear,A2
view,B1
disappointed,B1
hate,B1
shall,A2
toad,BEYOND
brand,B1
wager,BEYOND
tog,BEYOND
sailing,A2
tire,BEYOND
punting,BEYOND
punt,BEYOND
boating,BEYOND
stay,A2
pretend,B1
spend,A1
reflectively,BEYOND
stability,C1
especially,A2
glimpse,C1
island,A1
separate,B1
flash,B2
rower,BEYOND
stout,BEYOND
figure,B2
badly,A2
hail,C1
settle,B2
