word,level
walk,A1
afternoon,A1
freezing,BEYOND
cold,A1
wind,B2
heavy,A2
rain,A1
stay,A2
indoors,B1
glad,B1
like,B1
long,A1
especially,A2
winter,A1
hate,B1
come,A1
home,A2
dark,A2
ice,A1
finger,A2
toe,B1
feel,B2
miserable,B2
nursemaid,BEYOND
scold,BEYOND
time,B2
know,A1
different,A1
cousin,A1
tall,A1
strong,A1
love,A1
usually,A1
spend,A1
cry,B2
quarrel,BEYOND
today,A1
sit,A1
quietly,A2
mother,A1
sitting,BEYOND
room,A1
want,A1
join,A1
family,A1
circle,A2
aunt,A1
refuse,A2
complain,A2
sorry,A1
hear,A1
try,B2
behave,A2
well,C1
treat,B1
good,A2
happy,A1
child,A1
ask,A1
polite,A2
question,A2
way,B2
speak,A1
pleasantly,BEYOND
quiet,A1
creep,C1
small,A1
door,A1
choose,A1
book,A2
picture,B2
bookcase,A1
climb,B1
window,A1
seat,B2
draw,A1
curtain,B1
completely,A2
hide,A2
look,A2
grey,A1
see,A1
pour,B1
leafless,BEYOND
garden,A1
study,A1
stare,B2
fascinate,BEYOND
lose,A1
world,A1
imagination,B2
forget,A1
sad,A1
lonely,B1
existence,B2
afraid,A1
secret,A2
hiding,BEYOND
place,B1
discover,A2
suddenly,A2
open,A1
rush,B2
rat,B2
shout,A2
tell,A1
run,A2
bad,A1
animal,A1
lucky,A2
think,A1
find,A1
intelligent,A2
guess,A1
call,A1
immediately,A2
pull,B1
answer,A1
armchair,A1
fourteen,A1
large,A1
fat,A2
eat,A1
meal,A1
ill,A2
boarding,BEYOND
school,A1
bring,A1
month,A1
health,A1
delicate,C1
sister,A1
bully,BEYOND
punish,B1
week,A1
twice,A1
day,A1
body,A1
tremble,BEYOND
near,A1
hit,A2
threaten,B2
live,B1
terrible,A1
fear,B1
idea,A1
stop,A1
servant,B1
offend,B2
young,B1
master,B2
fault,B2
dear,A2
boy,A1
obey,B2
order,A1
approach,B2
ugly,B1
face,B1
understand,A1
hard,A1
rudeness,BEYOND
say,C1
wickedness,BEYOND
bullying,BEYOND
read,A1
give,A1
right,A1
continue,A2
money,A1
father,A1
leave,B2
ought,B1
beg,B2
street,A1
comfort,B2
gentleman,B1
house,B2
year,A1
teach,A1
borrow,A2
lift,A2
throw,A2
fall,A2
cut,B1
head,B1
great,A1
pain,A2
life,A1
wicked,BEYOND
cruel,B1
murderer,BEYOND
attack,A2
fight,A2
desperate,B2
girl,A1
blood,A2
strength,B1
resistance,C1
surprise,A2
help,A1
maid,BEYOND
apart,B1
calmly,BEYOND
away,A1
red,A1
lock,A2
carry,A1
upstairs,A2
arm,C1
wave,B1
leg,A1
kick,B1
soon,A1
arrive,A1
start,A2
work,A1
reply,A2
strongly,B1
disapprove,BEYOND
remember,A1
miss,BEYOND
pay,A2
food,A1
clothe,BEYOND
grateful,B1
relation,B1
friend,A1
short,A1
silent,B1
listen,A1
painful,B1
reminder,C1
angry,A1
rude,A2
send,A1
add,A1
heart,A2
pray,B1
carefully,A2
hardly,B1
bedroom,A1
ago,A1
uncle,A1
die,A1
sleep,A2
bitterly,BEYOND
people,A1
accuse,B2
selfish,BEYOND
respected,BEYOND
temper,BEYOND
popular,A1
everybody,A1
beautiful,A1
violent,B1
mistake,B2
naughty,BEYOND
moment,A1
turn,A1
protect,A2
blame,B2
suffer,B1
unfair,B1
starve,B2
death,A2
gradually,B2
outside,A2
beat,B2
tree,A1
begin,A1
deserve,B2
bury,B1
churchyard,BEYOND
brother,A1
take,A1
parent,A1
bed,A1
wife,A1
promise,A2
suppose,A2
regret,B2
strange,A2
sure,A2
kindly,BEYOND
round,B2
furniture,A2
wall,A1
shadow,B2
ghost,B1
keep,A1
rise,B1
grave,BEYOND
appear,A2
frightened,B1
thought,A2
dare,B2
breathe,B1
darkness,B2
light,A2
move,B1
ceiling,B1
lamp,A2
nervous,A2
state,B1
visitor,A1
hot,A1
fast,A1
sound,C1
wing,B1
ear,A1
scream,B2
wildly,BEYOND
shake,B1
matter,A2
hold,B2
tightly,BEYOND
hand,B1
hurt,B2
disgust,BEYOND
little,A2
trick,B1
demand,B2
voice,A2
till,B1
loudly,A2
softly,BEYOND
let,A1
need,B1
succeed,A2
get,A1
hour,A1
punishment,B1
deceive,BEYOND
forgive,B2
bear,B2
shall,A2
silence,B2
control,A2
push,B1
resist,B2
faint,BEYOND
wake,A1
doctor,A1
familiar,B1
warm,B1
fire,B1
candle,B2
relief,B2
recognize,A2
specialist,B2
talk,A2
care,A2
surprised,A2
fact,A1
kind,B1
brave,B1
happen,A1
yes,A1
worry,B1
go,B1
fetch,BEYOND
whisper,B2
poor,A1
tonight,A1
night,A1
lie,B1
awake,BEYOND
eye,A1
wide,A2
horror,B1
imagine,A1
corner,A2
fortunately,A2
illness,A2
result,B1
experience,B1
shock,B2
depressed,B2
tempt,C1
nice,A1
thing,A1
favourite,A1
pleasure,B1
eating,BEYOND
forward,B2
carriage,C1
morning,A1
suggest,A2
surely,B1
sensible,B1
smile,A2
big,A1
quickly,A1
thoughtfully,BEYOND
bell,B1
ring,B1
dinner,A1
reason,A1
unhappiness,BEYOND
knock,B1
pause,B2
finally,A2
change,A1
new,A1
end,A1
air,A1
later,A2
agree,A1
rid,B2
conversation,A1
learn,A1
vicar,BEYOND
marry,A2
disinherit,BEYOND
wedding,A2
pass,B1
word,A1
planning,B1
alive,A2
heaven,B2
smack,BEYOND
ungrateful,BEYOND
present,A2
evening,A1
watch,A1
put,A1
dress,A1
party,A1
piece,A1
cake,A1
story,A1
kiss,B1
person,A1
fifteenth,BEYOND
frighten,B1
nervously,BEYOND
enter,A2
breakfast,A1
black,A1
column,A2
thin,A2
man,A1
stony,BEYOND
write,A1
stranger,B1
heavily,B1
impossible,A2
hell,B2
avoid,A2
wrong,B1
enjoy,A1
hesitate,B2
interrupt,B2
mention,B1
letter,A1
character,A2
accept,A2
headmistress,BEYOND
teacher,A1
dishonest,B2
course,A1
past,A2
surprising,A2
hope,A2
fade,C1
madam,BEYOND
believe,A1
plain,B2
simple,A2
luxury,B1
possible,A1
accord,BEYOND
low,B2
position,B2
opportunity,A2
improve,A1
sudden,B1
liar,BEYOND
anger,B2
boil,A2
inside,A2
straight,A2
truth,B1
woman,A1
finish,A2
feeling,A1
freedom,B2
unhappy,A2
excited,A1
calm,B1
murmur,BEYOND
arrange,A2
nineteenth,BEYOND
early,A1
catch,B2
coach,B1
ready,A1
goodbye,A1
disturb,B2
wait,A2
road,A1
horse,A1
passenger,A2
coachman,BEYOND
luggage,BEYOND
hurry,B1
mile,A1
close,B1
roll,B1
childhood,B1
meet,A1
journey,A1
far,B1
lunch,A1
realize,A2
drive,A2
countryside,B1
tired,A1
confused,B1
follow,A1
building,A1
lady,A2
hair,A1
pale,B1
forehead,BEYOND
shoulder,A2
old,A1
touch,B1
cheek,B2
gently,BEYOND
corridor,B2
schoolroom,BEYOND
eighty,A1
age,B1
homework,A1
bench,C1
slate,BEYOND
lesson,A1
supper,BEYOND
tray,BEYOND
remove,A2
return,A1
drink,A1
water,B1
share,B1
cup,A1
biscuit,A2
crowded,A2
asleep,A2
ringing,BEYOND
bitter,B2
wash,A2
basin,BEYOND
downstairs,A2
silently,BEYOND
badly,A2
prayer,B1
indicate,B1
beginning,A1
group,A1
table,A1
class,A1
serve,A2
porridge,BEYOND
burn,B2
disgusting,BEYOND
dining,BEYOND
stomach,A2
pupil,B2
play,A1
freely,B2
uneatable,BEYOND
stand,B2
hungry,A1
bread,A1
cheese,A1
responsibility,B1
delight,B2
notice,A2
mind,A2
sort,B1
future,A2
wonder,B1
interesting,A1
glance,C1
difficult,A1
charity,A2
expect,A2
dead,A2
free,B2
rest,A2
build,A1
manager,A2
financial,B1
middle,A2
ashamed,B2
embarrassed,B1
coffee,A1
half,A2
brown,A1
freeze,B1
quantity,A2
surname,BEYOND
history,A1
constantly,B2
annoyed,B1
praise,B2
instead,A2
dirty,A1
explain,A1
stick,B1
expression,A2
habit,A2
fireside,BEYOND
burst,C1
strict,B2
seize,C1
break,A1
nose,A1
upset,B1
untidy,BEYOND
careless,B1
rule,B1
soft,A2
normally,A2
goodness,B2
concentrate,B1
properly,B1
dream,A2
interested,A1
unfairly,BEYOND
enemy,B1
son,A1
mean,A1
impatiently,BEYOND
true,A1
unkind,BEYOND
dislike,B1
scolding,BEYOND
pure,B2
flame,B2
spirit,B1
revenge,C1
consider,A2
tidy,A2
drawer,BEYOND
sigh,C1
physical,A2
condition,A2
deep,B1
snow,A1
boot,A1
glove,B1
foot,A1
ache,BEYOND
grow,A1
provide,A2
one,A1
teatime,BEYOND
respectfully,BEYOND
frown,BEYOND
description,A1
warn,B1
housekeeper,BEYOND
count,B1
needle,B1
easily,A2
stocking,BEYOND
mend,BEYOND
lot,A1
hole,A2
instruction,A2
sir,A2
recently,A2
responsible,B1
cook,A2
possibly,B1
patient,B2
unselfish,BEYOND
available,A2
replace,A2
mouth,A1
feed,B2
soul,B2
marble,BEYOND
jump,A2
curl,BEYOND
naturally,B1
nature,A2
modestly,BEYOND
plainly,BEYOND
tomorrow,A1
insist,B2
arrival,B1
unfortunately,A2
comment,B1
wear,A1
expensive,A1
curly,A2
greet,A2
daughter,A1
floor,A1
aloud,BEYOND
accident,A2
kindness,BEYOND
chair,B2
high,B2
ordinary,A2
evil,B2
save,A2
shocking,B2
wipe,C1
tear,B2
member,A1
influence,B1
slowly,A2
judge,B1
publicly,BEYOND
display,B2
example,A1
shame,B2
wish,A2
recover,B2
comfortable,A2
chance,A2
defend,B2
cough,BEYOND
chest,B1
examine,B1
tea,A1
toast,BEYOND
pretty,A1
reach,B2
check,A2
furious,B2
receive,A2
wrongly,BEYOND
set,B1
spring,B1
surround,B2
fog,BEYOND
valley,A2
healthy,A1
seriously,B1
typhus,BEYOND
fever,B2
living,B1
sun,A1
shine,B1
flower,A1
flow,B1
stream,B2
escape,B1
summer,A1
weather,A1
discipline,B2
tuberculosis,BEYOND
decide,A1
visit,A1
weak,A2
cover,B1
blanket,B2
suffering,B2
exist,A2
firmly,B2
goodnight,BEYOND
local,B1
number,A2
public,A2
aware,B1
raise,A2
improvement,B1
useful,A1
education,A2
busy,A1
rely,B2
greatly,B2
encouragement,C1
distant,B2
country,A1
advertise,A2
newspaper,A1
job,A1
governess,BEYOND
permission,A2
town,A1
sixteen,A1
welcome,A2
frightening,B1
owner,A2
assume,B2
seven,A1
luckily,BEYOND
difficulty,B1
communicate,A2
cheerful,B1
library,A1
easy,A1
clearly,A2
curious,B2
respect,B1
own,A2
land,A2
fair,A2
peculiar,C1
travel,A1
clever,A2
describe,A1
joke,A2
information,A1
offer,A2
impressive,B1
narrow,B2
shut,A2
prison,A2
ghostly,BEYOND
laugh,A1
housemaid,BEYOND
sew,BEYOND
human,A2
aged,B1
noise,A2
nod,C1
roof,A2
daytime,BEYOND
satisfied,B2
action,A1
plate,A2
glass,A1
beer,A1
village,A1
post,A1
bright,A2
frosty,BEYOND
fresh,A2
exercise,A1
crash,B2
slip,B2
rider,BEYOND
traveller,A2
swear,B2
furiously,BEYOND
growl,BEYOND
painfully,BEYOND
obviously,B1
thank,A1
bone,A2
crossly,BEYOND
moonlight,BEYOND
medium,B1
height,A2
looking,BEYOND
thirty,A1
attractive,A2
shy,B1
handsome,BEYOND
rough,B1
late,A1
fit,C1
message,A1
point,B1
puzzled,BEYOND
lean,B2
weight,A2
ride,A2
distance,A2
active,A2
meeting,A1
moon,A2
star,A2
exciting,A1
business,A1
atmosphere,B1
invite,A2
skin,A2
square,A2
stern,BEYOND
support,A2
effort,B1
angrily,BEYOND
modest,B2
progress,B2
last,A2
magic,B1
spell,C1
recommend,A2
advertisement,A2
sternly,BEYOND
eighteen,A1
able,A2
piano,A1
tune,B2
minute,C1
schoolgirl,BEYOND
sketch,C1
have,A2
express,A2
paint,A1
space,A1
mood,B1
trouble,B2
fond,B2
property,B1
eld,BEYOND
inherit,B2
clear,B1
delightedly,BEYOND
entertain,B1
amuse,BEYOND
softness,BEYOND
fine,C1
unusual,A2
beauty,B1
criticize,B2
appearance,A2
stab,C1
intend,B1
huge,A2
struggle,B2
tough,B2
rubber,B2
ball,A1
excitedly,BEYOND
coldly,BEYOND
experienced,B1
command,B2
use,A2
bother,B1
salary,A2
gladly,BEYOND
honesty,B2
awful,A2
counterbalance,BEYOND
plenty,B1
path,B1
wise,B2
circumstance,B2
problem,A1
sympathetic,B2
forgiveness,BEYOND
cure,B2
happiness,B1
taste,A2
lead,B1
relax,A1
effect,A2
natural,A1
restless,BEYOND
bird,A1
cage,BEYOND
fly,A2
affair,B2
french,BEYOND
dancer,A1
foolish,BEYOND
rent,B1
hire,B1
jewel,BEYOND
fortune,B2
fool,B2
balcony,BEYOND
smoke,A2
cigar,BEYOND
step,B2
jealousy,BEYOND
float,B2
river,A1
rock,C1
wild,A2
force,B1
destroy,A2
noisy,A2
drown,C1
encourage,B1
safe,A2
lover,BEYOND
elegant,B2
relationship,A2
challenge,B1
shoot,C1
baby,A1
claim,B1
doubt,B1
abandon,B2
singer,A1
proud,B1
trust,B2
companion,C1
slight,B2
inhuman,BEYOND
curiosity,C1
slightly,B1
sheet,A2
desperately,B2
wet,A2
flood,B1
plot,B1
kill,A2
second,A2
sharply,BEYOND
anybody,A2
debt,B2
owe,B2
energy,A2
confusing,B2
disturbed,BEYOND
emotion,B1
sleepless,BEYOND
eager,C1
sign,A2
accidentally,B2
certainly,A2
mad,B1
murder,B1
investigate,B1
innocently,BEYOND
manage,A2
sleeper,BEYOND
danger,A2
suspect,B2
guilt,C1
burglar,BEYOND
amazed,B1
self,B2
police,A1
arrest,B1
dismiss,B2
service,A2
power,B2
coarse,BEYOND
precious,B2
impatient,B2
guest,A2
lovely,A2
brightly,BEYOND
queen,A2
admire,B1
musical,B1
skill,A1
sing,A1
extremely,A2
married,A1
rich,A1
considerable,B2
difference,A1
nearly,A2
marriage,B1
subject,B2
reflection,C1
mirror,A2
wealth,B2
honest,B1
common,A1
sense,B2
disappointing,B1
remind,B1
announce,B1
excitement,B1
plan,A1
clean,A1
prepare,A1
earn,A2
talking,BEYOND
hall,A2
host,B1
stair,A2
descend,C1
prefer,A1
admit,B1
introduce,A1
impress,B2
elegance,BEYOND
candlelight,BEYOND
tooth,A1
perfect,A1
fierce,C1
powerful,B1
centre,B1
attention,A2
excellently,BEYOND
sweetly,BEYOND
discuss,A1
intelligently,BEYOND
flash,B2
figure,B2
attract,B1
thirsty,A1
poison,B1
compare,A1
gentle,B1
brain,A2
connect,A2
allow,A2
breath,B1
worth,B1
white,A1
direction,A2
useless,B2
fun,A2
boring,A1
bow,C1
bite,B1
lip,B1
activity,A1
riding,BEYOND
interest,A1
game,A1
observe,B2
closely,B2
jealous,BEYOND
opinion,A1
sympathy,B2
pity,B2
pride,B2
hardness,BEYOND
gipsy,BEYOND
skilled,B2
teller,BEYOND
excite,BEYOND
usual,A2
cross,A2
childish,BEYOND
nonsense,C1
pick,B2
pretend,B1
page,A1
important,A1
shocked,B2
excuse,B2
single,A2
hat,A1
pipe,B1
prove,B1
lack,B1
particular,A2
wickedly,BEYOND
friendly,A1
cautiously,BEYOND
couple,A2
wealthy,B2
bride,B1
depend,A2
stretch,B2
show,A1
main,A1
guide,A2
shameful,BEYOND
sacrifice,C1
sorrow,BEYOND
act,B1
disguise,BEYOND
repeat,B1
worried,A2
rub,B2
island,A1
memory,A2
wine,A1
spit,BEYOND
friendship,B1
disapproval,BEYOND
echo,C1
sake,C1
persuade,B1
case,A2
cautious,C1
cloth,B1
unlock,BEYOND
sight,B1
hang,B1
tie,A2
reveal,B2
dog,A1
laughter,A2
covered,B1
bend,B1
groan,BEYOND
weakly,BEYOND
scratch,B2
damp,BEYOND
account,B1
key,B1
bleed,C1
occasional,C1
involve,A2
bandage,BEYOND
wound,B2
remark,B2
knife,A2
gossip,BEYOND
total,C1
witness,B2
constant,B2
disaster,A2
knowingly,BEYOND
singe,BEYOND
foreign,A2
make,B2
crime,A2
ignore,B1
society,A2
peace,A2
cheerfully,BEYOND
waste,B1
affect,A2
neglect,C1
tiny,B1
purse,BEYOND
coin,B1
wallet,BEYOND
note,B1
suggestion,A2
gain,B2
confidence,B2
hatred,C1
delighted,B2
sour,BEYOND
neck,A2
fashionable,B1
pleased,A2
deathly,BEYOND
religious,B1
community,A2
fashion,A2
real,A1
stormy,BEYOND
emptiness,BEYOND
mystery,B1
sick,A1
confess,B2
husband,A1
desk,A1
inform,B2
address,B2
niece,BEYOND
unmarried,BEYOND
fairly,B1
cause,A2
nuisance,BEYOND
buy,A1
hotel,A1
field,A2
permanent,B2
gate,A2
ahead,B1
notebook,B2
hallo,BEYOND
unexpected,B2
absent,C1
suit,B1
perfectly,B1
warmly,BEYOND
news,A1
preparation,B2
green,A1
bake,B1
cool,B1
wood,A2
insect,A2
accompany,B2
exactly,A2
miserably,BEYOND
irish,BEYOND
icy,BEYOND
coldness,BEYOND
string,B1
machine,A1
equal,B1
convince,B1
magical,C1
honestly,BEYOND
interfere,C1
blow,B2
loud,A2
crack,B2
thunder,BEYOND
darling,BEYOND
repeatedly,BEYOND
storm,A2
hundred,A1
lightning,BEYOND
bank,B1
church,A2
request,B1
dangerous,A1
madly,BEYOND
event,A1
amazement,BEYOND
situation,A1
careful,A2
reputation,B2
advise,B1
advice,A1
approve,B2
correct,A1
behaviour,A2
pack,B1
anxious,B2
wreck,BEYOND
windy,BEYOND
totally,B1
heap,BEYOND
stone,A2
shape,B2
cupboard,A2
horrible,B1
thick,A2
veil,BEYOND
bedside,BEYOND
fiercely,BEYOND
sensitive,B2
comfortingly,BEYOND
explanation,A2
surrounding,B2
priest,B1
clerk,B2
ceremony,B1
custom,B1
colourless,BEYOND
waist,BEYOND
lawyer,A2
certificate,B2
produce,B2
drop,B1
madness,BEYOND
guard,B1
innocent,B1
congratulate,C1
congratulation,BEYOND
soup,A1
crawl,C1
violently,BEYOND
partner,A1
lay,B1
prevent,A2
probably,A1
exhausted,BEYOND
god,A2
swim,B1
sincere,B2
forgave,BEYOND
determinedly,BEYOND
firm,B2
mistress,BEYOND
lovingly,BEYOND
packed,BEYOND
stroke,B2
decided,BEYOND
sadly,A2
happily,A2
south,A1
aggressively,BEYOND
divide,B1
impressed,B2
elegantly,BEYOND
stupid,A2
insult,C1
despair,BEYOND
absolutely,B1
creature,B2
reasonable,B2
ideal,B2
disappointed,B1
misery,C1
loneliness,BEYOND
appeal,B2
generosity,BEYOND
confusion,B2
gentleness,BEYOND
intention,B1
despairingly,BEYOND
sofa,A1
generously,BEYOND
vision,B2
wrap,B2
spare,C1
parcel,BEYOND
handle,B2
crossroad,BEYOND
moor,BEYOND
possession,A2
hill,A2
dry,A2
shelter,B2
sunny,BEYOND
eventually,B1
courage,B2
baker,BEYOND
exchange,B1
leather,B1
steal,A2
farmer,A1
ground,A2
vain,BEYOND
isolated,B2
kitchen,A1
uncurtained,BEYOND
elderly,B2
language,A1
dictionary,A1
thief,A2
beggar,BEYOND
warmth,BEYOND
doorstep,BEYOND
hopeless,BEYOND
prepared,B1
milk,A1
sink,B1
gratefully,BEYOND
exhaust,BEYOND
conscious,B2
holiday,A1
pleasant,B1
haired,BEYOND
determined,B1
necessary,A2
attend,A2
unfortunate,B2
teaching,A2
sewing,BEYOND
cleaning,BEYOND
independent,A2
keenness,BEYOND
employment,B1
eagerly,BEYOND
drawing,A2
duty,B1
despite,B1
ambitious,B1
excellent,A2
speaker,A2
certain,A2
bitterness,BEYOND
disappointment,B2
manner,A2
cottage,B1
schoolteacher,BEYOND
area,A1
factory,A2
pound,A1
uneducated,BEYOND
reading,A1
writing,A1
counting,BEYOND
music,A1
painting,A1
satisfy,B2
cheerfulness,BEYOND
missionary,BEYOND
purpose,A2
spread,B1
christian,BEYOND
religion,B1
unexplored,BEYOND
tiredly,BEYOND
sadness,BEYOND
deal,B1
thousand,A1
refer,A2
separate,B1
accent,B2
fortunate,B2
remain,B1
strangely,BEYOND
bore,BEYOND
routine,B2
profession,B1
abroad,A2
weakness,B2
overcome,B2
fascinated,BEYOND
footstep,BEYOND
grassy,BEYOND
charming,B2
sweet,A2
stiffly,BEYOND
girlish,BEYOND
simply,B1
furnish,BEYOND
bored,A1
dance,A1
officer,A2
deeply,B2
invitation,A2
hollow,B2
row,B1
openly,B2
objection,C1
exact,A2
copy,A2
daring,BEYOND
actually,A2
quarter,A1
temptation,BEYOND
knowledge,A2
disappoint,B2
original,B1
ambition,B1
paper,A1
rapid,B2
frozen,B1
coat,A1
stamp,A2
yesterday,A1
normal,B1
similar,A1
unable,B1
disappear,A2
investigation,B2
urgently,BEYOND
city,A1
rudely,BEYOND
survive,B1
inheritance,BEYOND
independence,B2
politely,BEYOND
chain,B1
patiently,BEYOND
gold,A2
unimportant,BEYOND
rapidly,B2
starvation,BEYOND
equally,B1
arrangement,A2
protest,B1
legal,B1
transfer,B2
wonderful,A1
domestic,B2
intelligence,B1
stiff,B2
polished,BEYOND
smell,A2
meat,A1
dish,A1
engage,B2
suitable,B1
regular,A2
impression,B1
concentration,B2
bedtime,BEYOND
embarrass,BEYOND
seaside,BEYOND
hindustani,BEYOND
unpleasant,B1
iron,B1
bar,B2
indian,BEYOND
colleague,A2
reward,B2
knee,A2
daylight,BEYOND
view,B1
blacken,BEYOND
risk,B1
bravely,BEYOND
injure,B1
fail,A2
mixture,B1
hesitatingly,BEYOND
sky,A2
obvious,B1
bent,B2
uncovered,BEYOND
blind,B2
neglected,BEYOND
wander,B2
release,B1
ditch,BEYOND
object,B2
neighbour,A1
nurse,A1
generous,B1
relieved,B2
blindness,BEYOND
shade,B2
cruelly,BEYOND
blue,A1
plant,A2
safety,B1
lately,B2
depression,B2
midnight,A1
company,A1
retire,B1
achieve,A2
regularly,B1
