word,level
introduction,A2
bear,B2
plantation,BEYOND
near,A1
eastern,B1
shore,B2
parent,A1
slave,B2
mean,A1
sibling,B2
want,A1
large,A1
family,A1
stick,B1
sister,A1
sell,A1
carry,A1
far,B1
south,A1
despite,B1
protest,B1
tear,B2
mother,A1
stand,B2
powerful,B1
example,A1
resistance,C1
hide,A2
brother,A1
month,A1
friend,A1
wood,A2
buyer,BEYOND
learn,A1
strong,A1
woman,A1
early,A1
age,B1
hire,B1
help,A1
care,A2
white,A1
baby,A1
young,B1
prepared,B1
responsibility,B1
mistress,BEYOND
whip,C1
time,B2
morning,A1
sure,A2
work,A1
year,A1
later,A2
scar,BEYOND
neck,A2
prove,B1
continue,A2
housework,BEYOND
child,A1
nearby,B2
farm,A2
quick,A1
think,A1
clever,A2
soon,A1
adopt,B2
habit,A2
cleverly,BEYOND
protect,A2
whipping,BEYOND
wear,A1
clothing,A2
possible,A1
receive,A2
usual,A2
punishment,B1
cry,B2
feel,B2
force,B1
risk,B1
life,A1
bring,A1
safety,B1
serve,A2
country,A1
spy,C1
transition,B2
inside,A2
farmhand,BEYOND
harvest,C1
long,A1
defend,B2
beating,BEYOND
overseer,BEYOND
try,B2
harm,B2
field,A2
worker,A1
desert,B2
post,A1
block,B1
path,B1
act,B1
defiance,BEYOND
temper,BEYOND
rage,C1
strike,B2
head,B1
piece,A1
iron,B1
covering,BEYOND
wound,B2
run,A2
deep,B1
break,A1
skull,B2
owner,A2
message,A1
worth,B1
worry,B1
recover,B2
injury,A2
offer,A2
buy,A1
prayer,B1
eventually,B1
answer,A1
take,A1
heal,B2
result,B1
blow,B2
fall,A2
asleep,A2
suddenly,A2
day,A1
rest,A2
grow,A1
haul,BEYOND
flour,B1
barrel,C1
cart,BEYOND
father,A1
cut,B1
timber,C1
chop,B2
man,A1
exceed,B2
expect,A2
gain,B2
physical,A2
stamina,BEYOND
accustomed,BEYOND
rely,B2
faith,B2
need,B1
strength,B1
body,A1
mind,A2
realize,A2
destiny,BEYOND
die,A1
grant,B2
freedom,B2
stay,A2
inspector,B2
free,B2
marry,A2
black,A1
husband,A1
surname,BEYOND
change,A1
beloved,C1
law,A2
outlaw,BEYOND
marriage,B1
instead,A2
consider,A2
informal,A2
arrangement,A2
completely,A2
ignore,B1
whim,BEYOND
automatically,B2
bondage,BEYOND
explore,B1
status,B2
believe,A1
mistakenly,BEYOND
keep,A1
lawyer,A2
investigate,B1
matter,A2
authority,B1
determine,B1
turn,A1
pass,B1
property,B1
unclear,BEYOND
vow,C1
involve,A2
dangerous,A1
journey,A1
heroic,BEYOND
memorialize,BEYOND
art,A1
include,A1
twentieth,BEYOND
century,A1
painting,A1
african,BEYOND
american,BEYOND
artist,A1
emphasize,B2
guide,A2
decree,BEYOND
note,B1
bolde,BEYOND
word,A1
person,A1
hold,B2
shall,A2
dream,A2
vision,B2
send,A1
clear,B1
come,A1
fully,B2
awake,BEYOND
particular,A2
depict,C1
