word,level
flood,B1
happen,A1
water,B1
river,A1
sea,A1
cover,B1
dry,A2
land,A2
far,B1
powerful,B1
description,A1
make,B2
sound,C1
heavy,A2
rain,A1
turn,A1
gently,BEYOND
flow,B1
terrifying,BEYOND
torrent,BEYOND
sweep,B2
landscape,B2
submerge,BEYOND
foot,A1
muddy,BEYOND
storm,A2
giant,B1
wave,B1
send,A1
seawater,BEYOND
cascade,BEYOND
low,B2
lie,B1
coast,A2
drown,C1
town,A1
harbor,BEYOND
people,A1
killer,BEYOND
kill,A2
earthquake,B1
famine,BEYOND
volcanic,BEYOND
eruption,BEYOND
natural,A1
disaster,A2
century,A1
ten,A1
million,A1
die,A1
single,A2
huge,A2
bring,A1
catastrophe,BEYOND
frequent,B2
cause,A2
damage,B1
property,B1
fast,A1
floodwater,BEYOND
wash,A2
away,A1
building,A1
car,A1
tree,A1
road,A1
stagnant,BEYOND
electricity,A2
cable,B2
infrastructure,B2
alter,B2
erode,BEYOND
soil,B1
carry,A1
dump,B2
flooding,BEYOND
summer,A1
overflow,BEYOND
bank,B1
spread,B1
surround,B2
type,B1
main,A1
flash,B2
coastal,C1
excess,C1
flat,A2
call,A1
floodplain,BEYOND
devastating,BEYOND
world,A1
great,A1
suddenly,A2
intense,B2
fall,A2
small,A1
area,A1
tsunami,B2
raise,A2
level,B1
despite,B1
destructive,C1
benefit,B1
extremely,A2
fertile,BEYOND
good,A2
place,B1
grow,A1
crop,B2
choose,A1
live,B1
risk,B1
roof,A2
poke,BEYOND
case,A2
study,A1
biblical,BEYOND
earth,A2
man,A1
family,A1
survive,B1
similar,A1
legend,B2
base,B1
real,A1
year,A1
ago,A1
modern,A1
day,A1
archaeologist,BEYOND
find,A1
thick,A2
layer,B1
sediment,BEYOND
deposit,C1
massive,B2
look,A2
useful,A1
understand,A1
constantly,B2
circulate,C1
ocean,A2
atmosphere,B1
circulation,C1
cycle,A2
evaporate,BEYOND
form,A1
vapor,BEYOND
rise,B1
cool,B1
droplet,BEYOND
precipitation,BEYOND
soak,C1
run,A2
ground,A2
runoff,BEYOND
depend,A2
wet,A2
example,A1
quickly,A1
sandy,BEYOND
slowly,A2
clay,BEYOND
heavily,B1
surplus,C1
sit,A1
downhill,BEYOND
saturated,BEYOND
soaked,BEYOND
easy,A1
way,B2
collect,A2
stream,B2
hill,A2
mountain,A1
shape,B2
valley,A2
rock,C1
downstream,BEYOND
reach,B2
lowland,BEYOND
naturally,B1
meander,BEYOND
bend,B1
time,B2
cut,B1
wide,A2
fill,A1
transport,B1
build,A1
center,BEYOND
start,A2
return,A1
mouth,A1
know,A1
leave,B2
groundwater,BEYOND
seep,BEYOND
saturate,BEYOND
table,A1
come,A1
spring,B1
keep,A1
long,A1
spell,C1
weather,A1
pattern,A2
seasonal,BEYOND
high,B2
rainfall,BEYOND
melt,B2
snow,A1
major,A2
range,B1
different,A1
climate,A2
increase,A2
season,A2
onetime,BEYOND
particularly,B1
last,A2
regular,A2
free,B2
severity,BEYOND
measure,B1
average,B1
alongside,B2
probably,A1
experience,B1
lifetime,B2
tropical,B2
cyclone,BEYOND
create,A1
drop,B1
amount,B2
short,A1
indian,BEYOND
monsoon,BEYOND
surge,C1
soon,A1
take,A1
move,B1
particular,A2
point,B1
gradually,B2
peak,C1
subside,BEYOND
hour,A1
hundred,A1
mile,A1
actually,A2
certain,A2
large,A1
volume,B2
month,A1
drain,C1
enormous,A2
regularly,B1
normal,B1
catastrophic,BEYOND
meter,BEYOND
nearly,A2
death,A2
sudden,B1
slow,B1
cloud,A2
space,A1
quick,A1
route,A2
narrow,B2
city,A1
kilometer,BEYOND
tall,A1
warm,B1
humid,BEYOND
air,A1
inside,A2
swirl,BEYOND
collapse,B2
release,B1
thousand,A1
ton,B2
minute,C1
cloudburst,BEYOND
torrential,BEYOND
street,A1
like,B1
cope,B2
occur,B1
waterlogged,BEYOND
desert,B2
little,A2
localized,BEYOND
affect,A2
english,BEYOND
seaside,BEYOND
village,A1
devastate,C1
afternoon,A1
series,A2
thunderstorm,BEYOND
inch,B2
millimeter,BEYOND
roar,BEYOND
deep,B1
house,B2
destroy,A2
luckily,BEYOND
expert,A2
estimate,B2
sort,B1
likely,A2
yard,B1
hold,B2
artificial,B2
barrier,B2
pour,B1
inland,BEYOND
severe,B2
wind,B2
combine,B1
tide,C1
page,A1
estuary,BEYOND
system,A2
pressure,B1
word,A1
push,B1
surface,B1
allow,A2
underneath,BEYOND
bulge,BEYOND
slightly,B1
underwater,BEYOND
autumn,A1
percent,BEYOND
flooded,BEYOND
highly,B1
populated,BEYOND
part,A1
island,A1
completely,A2
italian,BEYOND
polder,BEYOND
reclaim,BEYOND
dyke,BEYOND
southern,B1
badly,A2
lake,A2
levee,BEYOND
seventy,A1
depth,B2
japanese,BEYOND
mean,A1
harbour,B2
tidal,BEYOND
travel,A1
shore,B2
rear,C1
path,B1
trigger,C1
usually,A1
undersea,BEYOND
floor,A1
hole,A2
upward,BEYOND
movement,A2
set,B1
landslide,BEYOND
gigantic,BEYOND
ashore,BEYOND
nearby,B2
computer,A1
simulation,C1
direction,A2
ripple,BEYOND
pond,C1
jet,B2
airliner,BEYOND
gap,A2
crest,BEYOND
shallow,B2
height,A2
close,B1
lose,A1
energy,A2
sign,A2
approach,B2
dramatic,B2
go,B1
trough,BEYOND
arrive,A1
follow,A1
break,A1
devastation,BEYOND
indonesian,BEYOND
photograph,A2
hit,A2
asian,BEYOND
near,A1
second,A2
record,A2
seabed,BEYOND
lift,A2
coastline,BEYOND
half,A2
flatten,BEYOND
human,A2
vast,B2
