word,level
little,A2
half,A2
century,A1
electronic,A2
game,A1
evolve,B2
novel,C1
curiosity,C1
create,A1
university,A1
computer,A1
science,A1
department,A2
multi,BEYOND
billion,A2
dollar,A1
global,B1
entertainment,B1
phenomenon,B2
iconic,BEYOND
character,A2
achieve,A2
level,B1
recognition,B2
par,BEYOND
celebrity,A2
historical,B1
figure,B2
successful,A2
generate,B2
revenue,B2
single,A2
day,A1
major,A2
movie,A1
entire,B2
box,A1
office,A1
run,A2
evolution,B2
happen,A1
vacuum,C1
popularity,B2
ebb,BEYOND
flow,B1
number,A2
reason,A1
player,A1
shift,B1
arcade,BEYOND
home,A2
console,BEYOND
personal,A1
handheld,BEYOND
device,A2
technological,B2
advance,B2
killer,BEYOND
app,A2
desirable,C1
inspire,B2
purchase,B2
entirely,B2
new,A1
gaming,B2
system,A2
different,A1
platform,A2
appealing,C1
improved,BEYOND
graphic,B2
portability,BEYOND
differentiate,C1
late,A1
generation,B1
predecessor,C1
ability,A2
compete,A2
cooperate,C1
human,A2
network,A2
restore,B2
social,A2
element,B1
recall,B2
early,A1
video,A1
divergence,BEYOND
perceive,B2
target,B2
audience,A2
traditionally,BEYOND
dismiss,B2
plaything,BEYOND
young,B1
boy,A1
time,B2
apparent,B2
man,A1
woman,A1
age,B1
enjoy,A1
market,B1
respond,A2
accordingly,C1
family,A1
friendly,A1
fare,B2
party,A1
commonly,B2
find,A1
appeal,B2
broad,B2
demographic,BEYOND
widespread,B2
success,A1
indicate,B1
programmer,BEYOND
hit,A2
mark,A2
conversely,BEYOND
specifically,B1
mature,C1
franchise,C1
post,A1
strong,A1
sale,A2
story,A1
feature,B1
sexual,B1
situation,A1
violence,B2
emotionally,B2
complex,B1
place,B1
write,A1
rate,B2
film,A2
creation,B2
diverse,B2
catalog,BEYOND
foresee,BEYOND
intend,B1
technology,A2
demonstration,B2
visitor,A1
play,A1
analog,BEYOND
oscilloscope,BEYOND
screen,B2
simple,A2
control,A2
rotate,C1
dial,BEYOND
vary,B2
angle,B2
racquet,BEYOND
button,A2
dictate,C1
timing,B2
serve,A2
volley,BEYOND
immediate,B1
spectator,B2
gather,B1
inch,B2
display,B2
watch,A1
glow,BEYOND
dot,B2
represent,B1
ball,A1
bounce,C1
forth,C1
simulate,C1
tennis,A1
court,B1
following,B1
year,A1
replace,A2
small,A1
large,A1
add,A1
gameplay,BEYOND
option,A2
allow,A2
low,B2
gravity,C1
environment,A2
high,B2
later,A2
short,A1
distance,A2
away,A1
group,A1
explore,B1
capability,C1
minicomputer,BEYOND
donate,B1
student,A1
eager,C1
demonstrate,B2
machine,A1
weigh,B1
ton,B2
measure,B1
foot,A1
metre,A1
tall,A1
wide,A2
outfit,B2
typewriter,BEYOND
modify,B2
act,B1
input,B2
output,B2
state,B1
art,A1
laboratory,B1
computing,BEYOND
price,B2
tag,B2
frequently,B1
prefix,BEYOND
expensive,A1
describe,A1
program,B1
function,B1
example,A1
replicate,BEYOND
standard,B1
electric,A2
roughly,B2
thousand,A1
cost,A1
slowly,A2
scroll,BEYOND
star,A2
map,B2
key,B1
great,A1
step,B2
space,A1
combat,C1
simulator,BEYOND
call,A1
offer,A2
straightforward,C1
satisfying,BEYOND
goal,A2
blow,B2
ship,B2
torpedo,BEYOND
complicate,BEYOND
matter,A2
central,B1
exert,C1
gravitational,BEYOND
pull,B1
fire,B1
background,A2
battle,B1
provide,A2
series,A2
visual,B2
reference,B1
point,B1
well,C1
gauge,BEYOND
speed,B2
direction,A2
addictive,BEYOND
massive,B2
freely,B2
share,B1
programming,B2
code,A2
virtually,BEYOND
capable,B2
course,A1
realize,A2
money,A1
cheap,B1
powerful,B1
transistor,BEYOND
give,A1
way,B2
microprocessor,BEYOND
power,B2
contain,A2
housing,B2
fraction,B2
original,B1
size,A2
climate,A2
name,A1
seek,B2
coin,B1
operate,B2
colleague,A2
design,A1
standalone,BEYOND
version,B1
failure,B2
cabinet,C1
influence,B1
come,A1
second,A2
effort,B1
table,A1
engineer,A2
found,B2
release,B1
banner,C1
produce,B2
face,B1
lawsuit,C1
pioneer,C1
field,A2
manager,A2
devise,C1
involve,A2
chase,B2
television,A1
intrigue,BEYOND
management,B1
authorize,C1
concept,B2
team,A1
experiment,B1
idea,A1
delivery,B2
mechanism,B2
initial,B2
plan,A1
suggest,A2
cable,B2
supplement,C1
content,C1
simulated,BEYOND
wood,A2
paneling,BEYOND
cover,B1
exterior,BEYOND
prototype,BEYOND
include,A1
