word,level
medieval,C1
era,B2
fall,A2
century,A1
beginning,A1
consider,A2
isolated,B2
backward,BEYOND
period,A1
technologically,BEYOND
truth,B1
invention,A2
horse,A1
collar,BEYOND
follow,A1
moldboard,BEYOND
turn,A1
plow,BEYOND
vastly,BEYOND
improve,A1
agricultural,C1
output,B2
use,A2
watermill,BEYOND
mill,C1
grain,B1
aid,B2
food,A1
production,B1
windmill,BEYOND
major,A2
energy,A2
source,A2
mechanical,B2
clock,A1
later,A2
watch,A1
improvement,B1
early,A1
time,B2
measure,B1
device,A2
lumber,BEYOND
flourish,C1
construction,B2
ship,B2
discovery,A2
magnetic,C1
compass,BEYOND
development,B1
deep,B1
keel,BEYOND
sail,B1
design,A1
open,A1
world,A1
navigation,B2
military,B2
technology,A2
move,B1
stage,B2
age,B1
cavalry,BEYOND
give,A1
way,B2
infantry,BEYOND
begin,A1
transition,B2
gunpowder,BEYOND
end,A1
arabic,BEYOND
numeral,BEYOND
replace,A2
roman,BEYOND
simplify,BEYOND
keeping,BEYOND
record,A2
spin,C1
wheel,A2
bring,A1
probably,A1
homespun,BEYOND
clothing,A2
available,A2
spread,B1
transmit,B2
modern,A1
idea,A1
include,A1
working,A2
silk,B2
making,B2
paper,A1
porcelain,BEYOND
advance,B2
lead,B1
reduce,A2
dependence,C1
labor,BEYOND
free,B2
people,A1
thing,A1
building,A1
great,A1
gothic,BEYOND
cathedral,BEYOND
single,A2
technological,B2
event,A1
mark,A2
movable,BEYOND
type,B1
printing,B1
press,B1
eventually,B1
write,A1
word,A1
scholar,B2
education,A2
emerge,B2
middle,A2
class,A1
caption,BEYOND
french,BEYOND
town,A1
note,B1
architectural,C1
innovation,B2
sculpture,B1
stain,BEYOND
glass,A1
history,A1
slow,B1
substantial,C1
succeed,A2
tempo,BEYOND
change,A1
increase,A2
markedly,BEYOND
associate,B2
profound,C1
social,A2
political,B1
religious,B1
intellectual,C1
upheaval,BEYOND
western,B1
emergence,C1
nation,B1
state,B1
cleavage,BEYOND
christian,BEYOND
church,A2
accompany,B2
scientific,B1
revolution,B2
overseas,B2
expansion,B2
european,BEYOND
interaction,B2
develop,A2
possible,A1
naval,C1
ocean,A2
route,A2
navigator,BEYOND
conversion,C1
voyage,BEYOND
imperialism,BEYOND
colonization,BEYOND
introduction,A2
new,A1
firepower,BEYOND
combination,B2
light,A2
maneuverable,BEYOND
iron,B1
cannon,BEYOND
adventurer,BEYOND
decisive,C1
advantage,A2
enhance,B2
asset,B2
exploration,B2
colonialism,BEYOND
economic,B1
implication,B2
factor,A2
system,A2
urbanization,BEYOND
help,A1
reshape,BEYOND
economy,B1
chapter,B1
classical,A2
civilization,B2
rely,B2
large,A1
slave,B2
force,B1
experience,B1
shortage,B2
stimulate,B2
search,A2
alternative,B1
power,B2
save,A2
machinery,C1
instrument,A2
significant,B2
success,A1
harness,BEYOND
water,B1
wind,B2
continue,A2
coal,B1
increasingly,B2
important,A1
mining,C1
spur,BEYOND
steam,B2
engine,A2
usher,BEYOND
horseshoe,BEYOND
padded,BEYOND
rigid,BEYOND
stirrup,BEYOND
appear,A2
know,A1
transform,B2
beast,C1
burden,C1
useful,A1
duty,B1
highly,B1
versatile,BEYOND
peace,A2
war,A2
heavy,A2
mean,A1
efficient,B2
draft,B2
animal,A1
mounted,BEYOND
warrior,C1
supreme,C1
warfare,C1
initiate,C1
complex,B1
sustain,C1
expense,B2
knight,BEYOND
armor,BEYOND
steed,BEYOND
society,A2
close,B1
subsistence,BEYOND
line,B2
breed,C1
pull,B1
cart,BEYOND
charger,BEYOND
warhorse,BEYOND
fine,C1
riding,BEYOND
call,A1
palfrey,BEYOND
scatter,BEYOND
artistic,B2
archaeological,BEYOND
evidence,A2
historian,B2
construct,B2
approximate,BEYOND
chronology,BEYOND
saddle,BEYOND
girth,BEYOND
introduce,A1
common,A1
have,A2
curb,BEYOND
bit,A2
vitally,BEYOND
control,A2
date,B2
accord,BEYOND
literary,B2
base,B1
pictorial,BEYOND
high,B2
wraparound,BEYOND
cantle,BEYOND
pommel,BEYOND
protect,A2
genital,BEYOND
hold,B2
securely,BEYOND
seat,B2
secure,B2
double,B1
firmly,B2
place,B1
pioneer,C1
waterpower,BEYOND
empire,B2
technique,B1
survive,B1
northern,B1
horizontally,BEYOND
mount,B2
waterwheel,BEYOND
drive,A2
pair,A1
grindstone,BEYOND
directly,B1
intervention,C1
gearing,BEYOND
example,A1
simple,A2
occur,B1
southern,B1
greek,BEYOND
probable,B2
vertically,BEYOND
undershot,BEYOND
establish,B2
appropriate,B2
gentle,B1
landscape,B2
norse,BEYOND
require,B1
good,A2
head,B1
adequate,B2
grinding,BEYOND
speed,B2
gear,C1
upper,B2
millstone,BEYOND
practice,A1
rotate,C1
stone,A2
stationary,BEYOND
bed,A1
universal,B2
domesday,BEYOND
grind,C1
devise,C1
full,A1
cloth,B1
shrink,C1
felt,BEYOND
woolen,BEYOND
fabric,B2
saw,BEYOND
wood,A2
crush,C1
vegetable,A1
seed,B1
oil,A2
overshot,BEYOND
sufficient,B2
competence,C1
millwright,BEYOND
build,A1
earthwork,BEYOND
elaborate,C1
train,A2
grow,A1
correspondingly,BEYOND
low,B2
manuscript,C1
illustration,B2
show,A1
series,A2
bridge,A2
reaction,B1
generate,B2
small,A1
amount,B2
popular,A1
rural,B2
area,A1
commonly,B2
flow,B1
vertical,B2
tube,B1
discharge,C1
nozzle,BEYOND
horizontal,BEYOND
arm,C1
direct,B1
tangentially,BEYOND
rotary,BEYOND
lawn,C1
sprinkler,BEYOND
rope,B1
belt,A2
provide,A2
takeoff,BEYOND
analysis,B1
performance,B1
publish,A2
english,BEYOND
engineer,A2
test,A1
apparatus,C1
effect,A2
velocity,BEYOND
cast,B2
year,A1
prevail,C1
result,B1
experimental,C1
work,A1
come,A1
widely,B2
shaft,BEYOND
reach,B2
contact,B1
inspire,B2
contemporary,B2
builder,BEYOND
cover,B1
frame,B1
locate,B1
instead,A2
set,B1
support,A2
fix,B2
post,A1
face,B1
millwork,BEYOND
initially,B2
boxlike,BEYOND
wooden,A2
round,B2
house,B2
storage,C1
brake,BEYOND
allow,A2
stop,A1
rim,BEYOND
lever,BEYOND
raise,A2
release,B1
fail,A2
safe,A2
effort,B1
need,B1
likely,A2
responsible,B1
tower,A2
massive,B2
circular,BEYOND
section,A1
brick,B2
cap,B1
normally,A2
bear,B2
rapidly,B2
american,BEYOND
settler,B2
traditional,A2
restore,B2
visitor,A1
inside,A2
suitable,B1
stream,B2
see,A1
dutch,BEYOND
hollow,B2
invent,A2
step,B2
drainage,BEYOND
pump,C1
upright,BEYOND
pass,B1
paddle,BEYOND
like,B1
scoop,BEYOND
sawmill,BEYOND
raft,BEYOND
permit,B2
easy,A1
turning,BEYOND
manually,BEYOND
winching,BEYOND
chain,B1
winch,BEYOND
engage,B2
rack,BEYOND
operate,B2
ground,A2
tail,B1
pole,C1
incline,BEYOND
distribution,B2
huge,A2
weight,A2
bearing,BEYOND
clearance,BEYOND
structure,B2
progressively,BEYOND
foot,A1
meter,BEYOND
diameter,BEYOND
material,B2
brass,BEYOND
gunmetal,BEYOND
main,A1
little,A2
actual,B2
produce,B2
likelihood,C1
horsepower,BEYOND
maximum,B2
efficiency,C1
estimate,B2
percent,BEYOND
founder,B2
civil,B2
engineering,B1
profession,B1
industry,A2
constitute,C1
previous,B1
systematic,C1
attempt,B2
exploit,B2
remain,B1
unsophisticated,BEYOND
long,A1
obtainable,BEYOND
near,A1
surface,B1
mineral,B2
depth,B2
copy,A2
method,A2
evolve,B2
metal,A2
north,A1
central,B1
mine,B1
well,C1
widen,C1
miner,B2
dare,B2
danger,A2
collapse,B2
sink,B1
adit,BEYOND
tunnel,B2
hill,A2
shallow,B2
exhaust,BEYOND
make,B2
necessary,A2
deeply,B2
expand,B1
bottom,A2
operation,B1
employ,A2
worker,A1
late,A1
seventeenth,BEYOND
rise,B1
demand,B2
reason,A1
depletion,BEYOND
woodland,BEYOND
supply,B1
charcoal,BEYOND
manufacturer,BEYOND
anxious,B2
find,A1
fuel,B1
particular,A2
importance,B1
experiment,B1
smelt,BEYOND
ore,BEYOND
process,B2
steel,B2
ironfounder,BEYOND
coke,BEYOND
enlarged,BEYOND
improved,BEYOND
blast,C1
furnace,BEYOND
glassmaking,BEYOND
brickmaking,BEYOND
manufacture,B2
pottery,BEYOND
adopt,B2
staple,BEYOND
technical,B1
take,A1
ceramic,BEYOND
instance,B2
imitate,BEYOND
hard,A1
translucent,BEYOND
quality,A2
chinese,BEYOND
culminate,BEYOND
subsequently,B2
discover,A2
independently,BEYOND
stoneware,BEYOND
firing,BEYOND
temperature,A2
achieve,A2
decorative,BEYOND
distinction,C1
opaque,BEYOND
white,A1
tin,B1
glaze,BEYOND
woodcut,BEYOND
job,A1
outside,A2
necessitate,BEYOND
create,A1
problem,A1
simply,B1
drain,C1
away,A1
crude,C1
lift,A2
bucket,BEYOND
andchain,BEYOND
man,A1
continuous,B1
plate,A2
draw,A1
pipe,B1
restrict,B2
radius,BEYOND
approximately,B1
ease,C1
cheap,B1
reliable,B1
reciprocating,BEYOND
foundation,B2
trace,C1
physicist,BEYOND
pressure,B1
cooker,A2
vessel,C1
tightly,BEYOND
fit,C1
lid,BEYOND
confine,C1
observe,B2
conceive,C1
piston,BEYOND
cylinder,BEYOND
model,B2
original,B1
nearatmospheric,BEYOND
inventor,BEYOND
study,A1
suction,BEYOND
machine,A1
remove,A2
patent,C1
consist,B1
boiler,BEYOND
closed,A2
fill,A1
reservoir,BEYOND
valve,BEYOND
outlet,C1
spray,BEYOND
condense,BEYOND
vacuum,C1
capable,B2
unfortunately,A2
perfect,A1
limited,B2
height,A2
aforementioned,BEYOND
counterweighted,BEYOND
plunger,BEYOND
extreme,B2
stroke,B2
admission,C1
cool,B1
atmospheric,BEYOND
act,B1
cause,A2
obtain,B2
broad,B2
enter,A2
partnership,B2
kind,B1
convert,B2
thermal,BEYOND
unrivaled,BEYOND
witness,B2
steady,B2
gold,A2
silver,A2
inspiration,C1
metallica,BEYOND
brilliant,A2
worldwide,B1
manual,BEYOND
abundantly,BEYOND
illustrate,B2
book,A2
shafting,BEYOND
pumping,BEYOND
treadmill,BEYOND
convey,B2
win,B1
truck,A2
anticipate,B2
railway,A2
impossible,A2
precisely,B2
fact,A1
suggest,A2
ancestry,BEYOND
german,BEYOND
order,A1
resource,B1
country,A1
establishment,C1
alloy,BEYOND
copper,C1
zinc,BEYOND
ancient,A2
eastern,B1
commercially,BEYOND
metallic,BEYOND
isolate,B2
heat,A2
calamine,BEYOND
oxide,BEYOND
hammering,BEYOND
annealing,BEYOND
heating,B1
soften,BEYOND
wiredrawing,BEYOND
wide,A2
range,B1
household,B2
industrial,B2
