word,level
boy,A1
call,A1
deserve,B2
parent,A1
master,B2
tell,A1
friend,A1
speak,A1
date,B2
advanced,B1
people,A1
vegetarian,BEYOND
non,BEYOND
smoker,BEYOND
tee,BEYOND
totaller,BEYOND
wear,A1
special,A1
kind,B1
underclothe,BEYOND
house,B2
little,A2
furniture,A2
clothe,BEYOND
bed,A1
window,A1
open,A1
like,B1
animal,A1
especially,A2
beetle,BEYOND
dead,A2
pin,B1
card,A1
book,A2
information,A1
picture,B2
grain,B1
elevator,BEYOND
fat,A2
foreign,A2
child,A1
exercise,A1
model,B2
school,A1
dislike,B1
cousin,A1
glad,B1
hear,A1
come,A1
stay,A2
deep,B1
inside,A2
bossing,BEYOND
bullying,BEYOND
puny,BEYOND
person,A1
stand,B2
let,A1
fight,A2
know,A1
dozen,B2
way,B2
bad,A1
time,B2
home,A2
visitor,A1
want,A1
help,A1
get,A1
job,A1
lecture,A2
sixteen,A1
week,A1
summer,A1
real,A1
holiday,A1
year,A1
work,A1
hard,A1
exam,A1
spend,A1
coach,B1
old,A1
wonderful,A1
adventure,A2
long,A1
ago,A1
war,A2
poor,A1
day,A1
live,B1
small,A1
cottage,B1
bedroom,A1
spare,C1
cost,A1
money,A1
go,B1
grown,BEYOND
up,A1
think,A1
pretty,A1
family,A1
good,A2
age,B1
say,C1
far,B1
trip,B2
youngster,C1
try,B2
grudge,BEYOND
luck,A2
dreadful,BEYOND
have,A2
room,A1
shall,A2
share,B1
record,A2
stinker,BEYOND
story,A1
begin,A1
afternoon,A1
steal,A2
precious,B2
minute,C1
course,A1
talk,A2
private,B1
secret,A2
country,A1
suppose,A2
imaginary,B1
lucky,A2
respect,B1
visit,A1
twice,A1
game,A1
dream,A2
reality,B1
promise,A2
nearly,A2
imagine,A1
deal,B1
chance,A2
sit,A1
edge,B1
look,A2
opposite,A1
wall,A1
away,A1
upstairs,A2
rid,B2
wedding,A2
present,A2
offend,B2
ship,B2
sail,B1
straight,A2
prow,BEYOND
gild,BEYOND
shape,B2
head,B1
dragon,BEYOND
wide,A2
mouth,A1
mast,BEYOND
large,A1
square,A2
rich,A1
purple,A1
side,A2
gilded,BEYOND
wing,B1
end,A1
green,A1
run,A2
glorious,C1
blue,A1
wave,B1
near,A1
slope,B2
streak,BEYOND
bubble,B1
obviously,B1
fast,A1
gay,B2
wind,B2
list,A1
port,B1
read,A1
well,C1
left,A1
ahead,B1
right,A1
starboard,BEYOND
sunlight,BEYOND
fall,A2
water,B1
darker,BEYOND
shadow,B2
question,A2
thing,A1
narnian,BEYOND
play,A1
listen,A1
outside,A2
door,A1
grin,C1
manage,A2
love,A1
tease,BEYOND
make,B2
stupid,A2
approve,B2
curtly,BEYOND
limerick,BEYOND
kid,A2
gradually,B2
balmy,BEYOND
balmier,BEYOND
rhyme,BEYOND
assonance,BEYOND
ask,A1
assy,BEYOND
thingummy,BEYOND
meet,A1
reception,A2
clear,B1
flare,BEYOND
hang,B1
presently,C1
heaven,B2
sake,C1
start,A2
hurriedly,BEYOND
truthful,BEYOND
yes,A1
rotten,BEYOND
step,B2
move,B1
wet,A2
lot,A1
answer,A1
reason,A1
moment,A1
see,A1
horribly,BEYOND
seasick,BEYOND
feel,B2
sick,A1
turn,A1
stare,B2
believe,A1
print,B2
happen,A1
cinema,A1
colour,A1
clean,A1
great,A1
shock,B2
spray,BEYOND
stern,BEYOND
deck,B2
visible,B2
disappear,A2
bow,C1
lie,B1
flap,BEYOND
rise,B1
air,A1
hair,A1
whip,C1
round,B2
face,B1
windy,BEYOND
blow,B2
suddenly,A2
noise,A2
swishing,BEYOND
slap,C1
creaking,BEYOND
overall,B2
high,B2
steady,B2
roar,BEYOND
smell,A2
wild,A2
briny,BEYOND
convince,B1
stop,A1
voice,A2
squeaky,BEYOND
fright,BEYOND
temper,BEYOND
silly,B1
trick,B1
accustomed,BEYOND
exactly,A2
cold,A1
salt,A1
splash,BEYOND
break,A1
frame,B1
breathless,BEYOND
smack,BEYOND
smash,C1
cry,B2
rush,B2
magic,B1
spring,B1
warn,B1
fool,B2
grab,B2
drag,B2
forward,B2
grow,A1
big,A1
jump,A2
pull,B1
find,A1
glass,A1
sea,A1
rock,C1
lose,A1
clutch,BEYOND
second,A2
struggle,B2
shout,A2
balance,B1
roller,BEYOND
surge,C1
sweep,B2
foot,A1
draw,A1
despairing,BEYOND
thank,A1
star,A2
swimming,A1
term,B2
true,A1
slow,B1
stroke,B2
keep,A1
kick,B1
shoe,A1
ought,B1
shut,A2
eye,A1
tower,A2
expect,A2
panic,B2
white,A1
figure,B2
dive,B2
close,B1
tread,BEYOND
catch,B2
arm,C1
howl,BEYOND
vaguely,BEYOND
familiar,B1
slip,B2
shouting,BEYOND
crowd,A2
bulwark,BEYOND
rope,B1
throw,A2
stranger,B1
fasten,B1
follow,A1
delay,B2
tooth,A1
chatter,BEYOND
wait,A2
till,B1
board,B1
dash,BEYOND
endeavour,C1
bruise,BEYOND
knee,A2
finally,A2
drip,BEYOND
shiver,BEYOND
heave,BEYOND
miserable,B2
golden,B2
headed,BEYOND
gasp,BEYOND
soon,A1
breath,B1
king,A2
set,B1
throne,BEYOND
immediately,A2
recognize,A2
shake,B1
hand,B1
clap,A1
delight,B2
cheerful,B1
smile,A2
wetting,BEYOND
yell,C1
glimpse,C1
fleck,BEYOND
foam,BEYOND
pale,B1
sky,A2
spread,B1
horizon,C1
hardly,B1
blame,B2
heart,A2
sink,B1
promptly,BEYOND
hey,A1
sailor,B1
bring,A1
spiced,BEYOND
wine,A1
majesty,BEYOND
need,B1
warm,B1
dip,C1
flow,B1
differently,A2
world,A1
hour,A1
leave,B2
thousand,A1
pass,B1
consequently,B2
return,A1
steam,B2
flagon,BEYOND
silver,A2
cup,A1
sip,BEYOND
warmth,BEYOND
toe,B1
splutter,BEYOND
spit,BEYOND
distilled,BEYOND
insist,B2
ashore,BEYOND
station,A1
merry,BEYOND
shipmate,BEYOND
whisper,B2
chuckle,BEYOND
burst,C1
ugh,BEYOND
earth,A2
horrid,BEYOND
excuse,B2
surprised,A2
curious,B2
cabin,B2
poop,BEYOND
slowly,A2
approach,B2
hind,BEYOND
leg,A1
thin,A2
band,A1
gold,A2
ear,A1
stick,B1
crimson,BEYOND
feather,B2
fur,B1
dark,A2
black,A1
effect,A2
bold,B2
striking,C1
paw,BEYOND
rest,A2
hilt,BEYOND
sword,C1
tail,B1
pace,B2
gravely,BEYOND
sway,BEYOND
perfect,A1
