word,level
introduction,A2
dogwood,BEYOND
tree,A1
daffodil,BEYOND
duck,A1
dragonfly,BEYOND
common,A1
say,C1
live,B1
thing,A1
right,A1
call,A1
organism,BEYOND
guess,A1
divide,B1
group,A1
plant,A2
animal,A1
frequently,B1
green,A1
generally,B1
root,B2
ground,A2
store,B1
food,A1
need,B1
survive,B1
eat,A1
course,A1
kind,B1
example,A1
mushroom,BEYOND
yeast,BEYOND
depend,A2
raise,A2
bread,A1
fungus,BEYOND
algae,BEYOND
include,A1
large,A1
variety,A2
appear,A2
stain,BEYOND
damp,BEYOND
rock,C1
trunk,BEYOND
form,A1
fine,C1
scum,BEYOND
quiet,A1
pond,C1
massive,B2
seaweed,BEYOND
float,B2
ocean,A2
matter,A2
belong,A2
cell,B2
small,A1
unit,A2
exist,A2
consist,B1
single,A2
celled,BEYOND
pyogene,BEYOND
bacteria,B2
give,A1
people,A1
strep,BEYOND
throat,B1
lactobacillus,BEYOND
acidophilus,BEYOND
find,A1
yogurt,BEYOND
unlike,B1
multicellular,BEYOND
mean,A1
fact,A1
person,A1
contain,A2
billion,A2
giraffe,A1
browse,BEYOND
type,B1
habitat,B2
land,A2
lake,A2
river,A1
certain,A2
recognizable,BEYOND
part,A1
nucleus,BEYOND
serve,A2
command,B2
center,BEYOND
organelle,BEYOND
organ,B2
like,B1
particular,A2
function,B1
difference,A1
possible,A1
tell,A1
apart,B1
terribly,B2
hard,A1
spot,B1
good,A2
microscope,BEYOND
tiny,B1
able,A2
unusually,BEYOND
big,A1
bare,C1
eye,A1
detail,B2
usually,A1
measure,B1
micron,BEYOND
equal,B1
millionth,BEYOND
meter,BEYOND
inch,B2
highly,B1
complex,B1
number,A2
specialized,C1
suited,BEYOND
job,A1
blood,A2
carry,A1
oxygen,B2
carbon,B2
dioxide,BEYOND
body,A1
wide,A2
allow,A2
specific,A2
contribute,B2
survival,B2
similar,A1
work,A1
tissue,B2
muscle,B1
nerve,B2
bone,A2
vascular,BEYOND
know,A1
xylem,BEYOND
phloem,BEYOND
sustain,C1
chapter,B1
inside,A2
different,A1
significant,B2
way,B2
eukaryotic,BEYOND
membrane,BEYOND
bind,C1
genetic,B2
material,B2
archaea,BEYOND
prokaryotic,BEYOND
lack,B1
freely,B2
surround,B2
outer,B2
skin,A2
filter,C1
protozoan,BEYOND
diagram,B1
clear,B1
airplane,BEYOND
cockpit,BEYOND
pilot,A2
sit,A1
locate,B1
near,A1
middle,A2
information,A1
deoxyribonucleic,BEYOND
acid,C1
wrap,B2
double,B1
pore,BEYOND
hole,A2
let,A1
pass,B1
rest,A2
structure,B2
clearly,A2
visible,B2
see,A1
round,B2
nucleolus,BEYOND
produce,B2
ribonucleic,BEYOND
rna,BEYOND
transport,B1
syrupy,BEYOND
nucleoplasm,BEYOND
threadlike,BEYOND
chromatin,BEYOND
control,A2
generate,B2
role,A2
keep,A1
alive,A2
product,A1
use,A2
deal,B1
waste,B1
building,A1
jellylike,BEYOND
substance,B1
cytoplasm,BEYOND
mesh,BEYOND
network,A2
fiber,BEYOND
cytoskeleton,BEYOND
crisscross,BEYOND
shape,B2
anchor,C1
place,B1
direct,B1
movement,A2
varied,C1
refer,A2
ribosome,BEYOND
particle,BEYOND
synthesize,BEYOND
protein,B2
accord,BEYOND
instruction,A2
send,A1
nucleolu,BEYOND
export,B1
outside,A2
scatter,BEYOND
attach,B1
endoplasmic,BEYOND
reticulum,BEYOND
membranous,BEYOND
tube,B1
sac,BEYOND
twist,C1
portion,B2
rough,B1
area,A1
smooth,B1
predominant,BEYOND
involve,A2
detoxification,BEYOND
synthesis,C1
metabolism,BEYOND
lipid,BEYOND
apparatus,C1
play,A1
important,A1
modification,C1
compose,B2
stack,BEYOND
thin,A2
newly,B2
respectively,C1
