word,level
come,A1
second,A2
journey,A1
sea,A1
end,A1
move,B1
scene,A2
coral,BEYOND
cemetery,C1
leave,B2
deep,B1
impression,B1
mind,A2
midst,C1
great,A1
life,A1
pass,B1
grave,BEYOND
prepare,A1
abyss,BEYOND
ocean,A2
monster,B2
trouble,B2
sleep,A2
crew,B2
friend,A1
rivet,BEYOND
death,A2
man,A1
add,A1
fierce,C1
implacable,BEYOND
defiance,BEYOND
human,A2
society,A2
long,A1
content,C1
theory,B1
satisfy,B2
worthy,C1
fellow,B2
persist,C1
see,A1
unknown,B2
savant,BEYOND
return,A1
mankind,BEYOND
contempt,C1
indifference,BEYOND
misunderstand,BEYOND
genius,B2
tired,A1
earth,A2
deception,BEYOND
take,A1
refuge,C1
inaccessible,BEYOND
medium,B1
follow,A1
instinct,C1
freely,B2
explain,A1
character,A2
mystery,B1
night,A1
chain,B1
prison,A2
precaution,BEYOND
violently,BEYOND
snatch,BEYOND
eye,A1
glass,A1
raise,A2
sweep,B2
horizon,C1
mortal,BEYOND
wound,B2
unaccountable,BEYOND
shock,B2
new,A1
track,B2
satisfied,B2
shun,BEYOND
formidable,BEYOND
apparatus,C1
suit,B1
freedom,B2
design,A1
terrible,A1
retaliation,BEYOND
moment,A1
clear,B1
catch,B2
glimpse,C1
light,A2
amidst,BEYOND
darkness,B2
confine,C1
write,A1
event,A1
shall,A2
dictate,C1
day,A1
noon,C1
officer,A2
altitude,BEYOND
sun,A1
mount,B2
platform,A2
cigar,BEYOND
watch,A1
operation,B1
understand,A1
time,B2
remark,B2
loud,A2
voice,A2
draw,A1
involuntary,BEYOND
sign,A2
attention,A2
remain,B1
undisturbed,BEYOND
dumb,C1
observation,B2
sextant,BEYOND
sailor,B1
strong,A1
accompany,B2
submarine,BEYOND
excursion,BEYOND
clean,A1
lantern,BEYOND
examine,B1
fitting,BEYOND
strength,B1
increase,A2
hundredfold,BEYOND
lenticular,BEYOND
ring,B1
place,B1
similar,A1
lighthouse,BEYOND
project,B2
brilliance,BEYOND
horizontal,BEYOND
plane,A1
electric,A2
lamp,A2
combine,B1
way,B2
powerful,B1
produce,B2
vacuo,BEYOND
insure,BEYOND
steadiness,BEYOND
intensity,C1
vacuum,C1
economise,BEYOND
graphite,BEYOND
point,B1
luminous,BEYOND
arc,BEYOND
develop,A2
important,A1
economy,B1
easily,A2
replace,A2
condition,A2
waste,B1
imperceptible,BEYOND
ready,A1
continue,A2
go,B1
saloon,BEYOND
panel,B2
close,B1
course,A1
mark,A2
direct,B1
west,A1
furrow,BEYOND
water,B1
vast,B2
liquid,B1
plain,B2
surface,B1
acre,C1
transparent,C1
lean,B2
turn,A1
giddy,BEYOND
usually,A1
float,B2
fathom,BEYOND
love,A1
hour,A1
monotonous,BEYOND
daily,B1
walk,A1
steep,B2
revive,C1
air,A1
sight,B1
rich,A1
window,A1
book,A2
library,A1
compiling,BEYOND
memoir,C1
ennui,BEYOND
weariness,BEYOND
number,A2
aquatic,BEYOND
bird,A1
mew,BEYOND
gull,BEYOND
cleverly,BEYOND
kill,A2
certain,A2
acceptable,B2
game,A1
large,A1
winged,BEYOND
carry,A1
distance,A2
land,A2
rest,A2
wave,B1
fatigue,BEYOND
flight,A1
magnificent,B2
albatross,BEYOND
utter,BEYOND
discordant,BEYOND
cry,B2
like,B1
braying,BEYOND
ass,BEYOND
belong,A2
family,A1
wing,B1
fish,A2
provoke,C1
admiration,BEYOND
surprise,A2
secret,A2
open,A1
kind,B1
chance,A2
observe,B2
notice,A2
chiefly,BEYOND
ostracion,BEYOND
peculiar,C1
wash,A2
coast,A2
tropical,B2
tortoise,BEYOND
armadillo,BEYOND
hedgehog,BEYOND
protect,A2
breastplate,BEYOND
chalky,BEYOND
stony,BEYOND
real,A1
bone,A2
form,A1
solid,B1
triangle,BEYOND
quadrangle,BEYOND
triangular,BEYOND
inch,B2
half,A2
length,B1
wholesome,BEYOND
flesh,C1
delicious,A1
flavour,B2
brown,A1
tail,B1
yellow,A1
fin,BEYOND
recommend,A2
introduction,A2
fresh,A2
accustom,BEYOND
mention,B1
quadrangular,BEYOND
have,A2
tubercle,BEYOND
dot,B2
white,A1
spot,B1
low,B2
body,A1
tame,BEYOND
trigon,BEYOND
provide,A2
spike,BEYOND
lengthen,BEYOND
bony,BEYOND
shell,B1
strange,A2
grunting,BEYOND
call,A1
seapig,BEYOND
dromedary,BEYOND
hump,BEYOND
shape,B2
cone,BEYOND
tough,B2
leathery,BEYOND
borrow,A2
note,B1
genus,BEYOND
red,A1
back,B2
chest,B1
distinguish,B2
row,B1
longitudinal,BEYOND
filament,BEYOND
electrical,A2
seven,A1
deck,B2
lively,B2
colour,A1
specimen,C1
ovoide,BEYOND
resemble,C1
egg,A1
dark,A2
marked,BEYOND
band,A1
diodon,BEYOND
porcupine,BEYOND
furnish,BEYOND
capable,B2
swell,BEYOND
look,A2
cushion,BEYOND
bristle,BEYOND
dart,BEYOND
hippocampus,BEYOND
common,A1
pegasi,BEYOND
lengthened,BEYOND
snout,BEYOND
pectoral,BEYOND
elongate,BEYOND
allow,A2
fly,A2
shoot,C1
pigeon,BEYOND
spatulae,BEYOND
cover,B1
macrognathi,BEYOND
jaw,BEYOND
excellent,A2
bright,A2
agreeable,BEYOND
pale,B1
coloured,B1
calliomore,BEYOND
rugged,BEYOND
head,B1
plenty,B1
chaetpdon,BEYOND
tubular,BEYOND
muzzle,BEYOND
insect,A2
gun,A2
single,A2
drop,B1
flycatcher,BEYOND
eighty,A1
ninth,BEYOND
class,A1
characterise,BEYOND
opercule,BEYOND
bronchial,BEYOND
membrane,BEYOND
scorpaena,BEYOND
dorsal,BEYOND
creature,B2
little,A2
accord,BEYOND
sub,BEYOND
give,A1
didactyle,BEYOND
fourteen,A1
ray,C1
fantastic,A1
appearance,A2
singular,BEYOND
appropriately,B2
seafrog,BEYOND
pierce,BEYOND
hole,A2
swollen,BEYOND
protuberance,BEYOND
irregular,BEYOND
hideous,BEYOND
horn,C1
callosity,BEYOND
sting,BEYOND
make,B2
dangerous,A1
repugnant,BEYOND
horrible,B1
rate,B2
league,B2
mile,A1
recognise,BEYOND
different,A1
variety,A2
attract,B1
try,B2
soon,A1
speed,B2
keep,A1
morning,A1
formation,B2
plant,A2
coco,BEYOND
visit,A1
skirt,A1
shore,B2
desert,B2
island,A1
net,C1
bring,A1
numerous,B2
polypus,BEYOND
curious,B2
mollusca,BEYOND
precious,B2
production,B1
species,B2
delphinulae,BEYOND
enrich,C1
treasure,B2
astraea,BEYOND
punctifera,BEYOND
parasite,BEYOND
find,A1
fix,B2
disappear,A2
north,A1
direction,A2
slow,B1
variable,C1
depth,B2
use,A2
inclined,C1
internal,B2
lever,BEYOND
obliquely,BEYOND
waterline,BEYOND
obtain,B2
sounding,BEYOND
thousand,A1
reach,B2
temperature,A2
stratum,BEYOND
thermometer,BEYOND
invariably,BEYOND
indicate,B1
zero,A2
upper,B2
region,A2
cold,A1
high,B2
level,B1
entirely,B2
deserted,BEYOND
beat,B2
screw,C1
rebound,BEYOND
height,A2
circumstance,B2
gigantic,BEYOND
cetacean,BEYOND
part,A1
spend,A1
till,B1
steamer,BEYOND
run,A2
counter,C1
mast,BEYOND
visible,B2
instant,B2
fancy,B1
steamboat,BEYOND
touch,B1
evening,A1
fleeting,BEYOND
twilight,BEYOND
bind,C1
zone,BEYOND
astonish,BEYOND
spectacle,C1
shoal,BEYOND
argonaut,BEYOND
travel,A1
count,B1
hundred,A1
indian,BEYOND
graceful,BEYOND
mollusc,BEYOND
backwards,B1
mean,A1
locomotive,BEYOND
tube,B1
propel,BEYOND
tentacle,BEYOND
stretch,B2
whilst,C1
roll,B1
flat,A2
spread,B1
sail,B1
spiral,BEYOND
shaped,B2
fluted,BEYOND
justly,BEYOND
compare,A1
elegant,B2
skiff,BEYOND
boat,A1
bear,B2
secrete,BEYOND
adhere,C1
nearly,A2
know,A1
sudden,B1
fright,BEYOND
signal,B1
furl,BEYOND
arm,C1
fold,B1
change,A1
centre,B1
gravity,C1
fleet,C1
ship,B2
