word,level
secret,A2
heredity,BEYOND
age,B1
old,A1
mystery,B1
make,B2
way,B2
dark,A2
hair,A1
light,A2
cat,A1
kitten,BEYOND
puppy,BEYOND
century,A1
know,A1
answer,A1
question,A2
take,A1
year,A1
inquiry,BEYOND
research,A2
understand,A1
organism,BEYOND
live,B1
thing,A1
inherit,B2
characteristic,B2
parent,A1
kind,B1
study,A1
different,A1
lead,B1
understanding,A2
involve,A2
breed,C1
plant,A2
animal,A1
notice,A2
pass,B1
color,BEYOND
size,A2
shape,B2
offspring,C1
call,A1
area,A1
look,A2
construct,B2
scientist,A1
learn,A1
tiny,B1
building,A1
block,B1
cell,B2
small,A1
bacteria,B2
large,A1
human,A2
trillion,B2
fact,A1
million,A1
cover,B1
head,B1
pin,B1
sheep,A1
like,B1
produce,B2
young,B1
case,A2
lamb,BEYOND
adult,A2
leg,A1
eat,A1
grass,A2
thick,A2
woolly,BEYOND
coat,A1
photograph,A2
show,A1
grow,A1
laboratory,B1
single,A2
celled,BEYOND
reproduce,C1
divide,B1
quickly,A1
new,A1
original,B1
one,A1
eventually,B1
discover,A2
find,A1
extraordinary,B2
substance,B1
deoxyribonucleic,BEYOND
acid,C1
great,A1
breakthrough,C1
work,A1
science,A1
today,A1
use,A2
dna,BEYOND
naturally,B1
clone,BEYOND
exact,A2
copy,A2
begin,A1
create,A1
life,A1
synthetically,BEYOND
scratch,B2
need,B1
late,A1
believe,A1
appear,A2
spontaneously,BEYOND
example,A1
food,A1
leave,B2
spoil,B2
germ,BEYOND
french,BEYOND
biologist,BEYOND
set,B1
form,A1
come,A1
experiment,B1
boil,A2
beef,A2
broth,BEYOND
kill,A2
exist,A2
keep,A1
flask,BEYOND
special,A1
filter,C1
dust,B1
particle,BEYOND
open,A1
air,A1
soon,A1
confirm,B1
early,A1
prefer,A1
think,A1
prove,B1
practice,A1
farmer,A1
ancient,A2
time,B2
people,A1
influence,B1
start,A2
settle,B2
place,B1
instead,A2
hunt,B1
forage,BEYOND
turn,A1
wild,A2
cereal,BEYOND
crop,B2
wheat,B2
barley,BEYOND
rice,A1
maize,BEYOND
millet,BEYOND
sorghum,BEYOND
process,B2
selective,C1
breeding,BEYOND
collect,A2
seed,B1
good,A2
generation,B1
well,C1
tasty,BEYOND
vegetable,A1
realize,A2
change,A1
trait,B2
want,A1
cattle,C1
meat,A1
dog,A1
easy,A1
train,A2
hunting,B2
herding,BEYOND
possible,A1
picture,B2
date,B2
ago,A1
develop,A2
grain,B1
farm,A2
belief,B1
survive,B1
experience,B1
mother,A1
birth,A2
rabbit,BEYOND
sure,A2
impossible,A2
affect,A2
baby,A1
bear,B2
cleft,BEYOND
palate,BEYOND
condition,A2
lip,B1
harelip,BEYOND
contact,B1
hare,BEYOND
pregnant,B2
similar,A1
superstition,BEYOND
world,A1
english,BEYOND
woman,A1
name,A1
claim,B1
give,A1
manage,A2
convince,B1
doctor,A1
result,B1
dream,A2
crave,BEYOND
wrong,B1
admit,B1
hoax,BEYOND
money,A1
wolf,BEYOND
help,A1
choose,A1
productive,C1
creature,B2
important,A1
step,B2
man,A1
scientific,B1
subject,B2
genius,B2
instrument,A2
microscope,BEYOND
examine,B1
publish,A2
book,A2
see,A1
contain,A2
famous,A1
drawing,A2
enlarged,BEYOND
section,A1
piece,A1
cork,BEYOND
bark,BEYOND
monk,C1
sleep,A2
perforated,BEYOND
porous,BEYOND
honeycomb,BEYOND
pore,BEYOND
microscopical,BEYOND
talk,A2
observation,B2
magnified,BEYOND
draw,A1
person,A1
coin,B1
term,B2
part,A1
fill,A1
salty,BEYOND
cytoplasm,BEYOND
organelle,BEYOND
nucleus,BEYOND
control,A2
order,A1
repair,B1
damage,B1
division,B2
identical,B2
mitosis,BEYOND
inside,A2
include,A1
central,B1
duplicate,BEYOND
gradually,B2
split,B2
wall,A1
fairly,B1
lack,B1
surround,B2
membrane,BEYOND
obvious,B1
german,BEYOND
fellow,B2
theory,B1
go,B1
happen,A1
previously,B1
basic,B1
story,A1
evolution,B2
closely,B2
behave,A2
naturalist,BEYOND
interested,A1
aspect,B2
variety,A2
embark,C1
momentous,BEYOND
journey,A1
discovery,A2
voyage,BEYOND
british,BEYOND
naval,C1
ship,B2
amazing,A1
particularly,B1
island,A1
clue,B1
groundbreaking,BEYOND
evolve,B2
long,A1
period,A1
specie,BEYOND
home,A2
continue,A2
pigeon,BEYOND
breeder,BEYOND
value,B1
conclude,B1
nature,A2
variation,B2
lie,B1
describe,A1
natural,A1
difference,A1
occur,B1
individual,A2
population,A2
group,A1
type,B1
achievement,B1
selection,B2
interesting,A1
father,A1
eager,C1
let,A1
uncle,A1
mind,A2
death,A2
suggest,A2
randomly,BEYOND
environment,A2
chance,A2
mean,A1
plenty,B1
useful,A1
visit,A1
finch,BEYOND
ground,A2
note,B1
beak,BEYOND
later,A2
suit,B1
available,A2
adapt,B2
die,A1
cause,A2
exactly,A2
support,A2
finding,B2
profitable,C1
species,B2
tend,B1
preservation,C1
generally,B1
accept,A2
day,A1
depend,A2
actually,A2
austrian,BEYOND
monastery,BEYOND
garden,A1
observe,B2
nearly,A2
pea,A1
flower,A1
male,A2
female,A2
pollen,BEYOND
pollinate,BEYOND
pod,BEYOND
typical,A2
crossbreed,BEYOND
yellow,A1
green,A1
yellowness,BEYOND
self,B2
fertilize,BEYOND
amazingly,BEYOND
roughly,B2
instruction,A2
hide,A2
albino,BEYOND
white,A1
deer,BEYOND
normal,B1
coloring,BEYOND
recessive,BEYOND
gene,B2
probably,A1
brown,A1
conclusion,B1
carry,A1
factor,A2
dominant,B2
certain,A2
chromosome,BEYOND
sense,B2
swiss,BEYOND
chemist,BEYOND
focus,A2
gruesomely,BEYOND
pus,BEYOND
blood,A2
squeeze,C1
bandage,BEYOND
hospital,A1
salmon,BEYOND
sperm,BEYOND
separate,B1
rest,A2
test,A1
protein,B2
slightly,B1
acidic,BEYOND
nucleic,BEYOND
threadlike,BEYOND
structure,B2
thread,C1
enormously,BEYOND
string,B1
coil,BEYOND
tightly,BEYOND
get,A1
complete,A1
molecule,BEYOND
uncoil,BEYOND
end,A1
foot,A1
deaf,BEYOND
decide,A1
concentrate,B1
number,A2
fruit,A1
fly,A2
length,B1
pair,A1
total,C1
alike,C1
match,A1
sexually,BEYOND
sex,B1
egg,A1
combine,B1
importance,B1
smelly,BEYOND
far,B1
overripe,BEYOND
attract,B1
mutation,BEYOND
rediscover,BEYOND
word,A1
connect,A2
eye,A1
team,A1
red,A1
eyed,BEYOND
mate,B2
magnify,BEYOND
messy,BEYOND
colleague,A2
scrap,BEYOND
paper,A1
squashed,BEYOND
link,A2
unusual,A2
normally,A2
have,A2
proof,B2
mutant,BEYOND
differently,A2
body,A1
sized,BEYOND
wing,B1
inheritance,BEYOND
complicate,BEYOND
reveal,B2
complicated,B2
simple,A2
rule,B1
snapdragon,BEYOND
pink,A1
incomplete,BEYOND
dominance,C1
partly,B2
dominate,B2
bed,A1
mix,B1
finally,A2
mechanism,B2
truth,B1
fast,A1
unfold,B2
play,A1
transform,B2
harmless,BEYOND
pneumonia,BEYOND
mouse,A1
material,B2
harmful,B2
move,B1
extra,B1
outside,A2
mitochondrion,BEYOND
nutrient,BEYOND
energy,A2
mitochondrial,BEYOND
bad,A1
illness,A2
digest,BEYOND
busily,BEYOND
break,A1
healthy,A1
waste,B1
try,B2
destroy,A2
seriously,B1
argue,A2
limit,B1
page,A1
explain,A1
reason,A1
win,B1
image,A2
acne,BEYOND
bacterium,BEYOND
right,A1
genetic,B2
information,A1
descendant,BEYOND
nitrogenous,BEYOND
basis,B1
american,BEYOND
chemical,B1
unit,A2
nitrogen,BEYOND
adenine,BEYOND
usually,A1
shorten,BEYOND
thymine,BEYOND
guanine,BEYOND
cytosine,BEYOND
sugar,A1
phosphate,BEYOND
phosphorous,BEYOND
biochemist,BEYOND
range,B1
similarly,B1
remain,B1
calf,BEYOND
proportion,B2
triple,BEYOND
spiral,BEYOND
little,A2
ray,C1
crystallography,BEYOND
determine,B1
crystal,C1
student,A1
immediately,A2
supervise,C1
college,A1
hold,B2
post,A1
development,B1
carbon,B2
fiber,BEYOND
technology,A2
equal,B1
amount,B2
vital,B2
double,B1
twist,C1
friend,A1
provide,A2
put,A1
evidence,A2
crucial,B2
figure,B2
helix,BEYOND
strand,C1
twisted,BEYOND
ladder,B2
side,A2
stick,B1
regular,A2
interval,B2
meet,A1
join,A1
rung,BEYOND
specific,A2
clear,B1
unzip,BEYOND
chain,B1
stranded,BEYOND
boy,A1
love,A1
bird,A1
watching,BEYOND
zoology,BEYOND
left,A1
model,B2
diagram,B1
announcement,B1
pub,A2
celebrate,A2
award,B1
concern,B2
molecular,BEYOND
significance,B2
transfer,B2
share,B1
prize,A2
solve,A2
pave,BEYOND
huge,A2
medical,A2
advance,B2
messenger,BEYOND
code,A2
message,A1
rna,BEYOND
directly,B1
ribonucleic,BEYOND
allow,A2
safe,A2
mrna,BEYOND
translate,B1
rounded,BEYOND
ribosome,BEYOND
job,A1
thousand,A1
reaction,B1
subunit,BEYOND
amino,BEYOND
role,A2
radar,C1
magnetic,C1
mine,B1
warfare,C1
letter,A1
alphabet,A1
puzzle,B2
suppose,A2
arginine,BEYOND
read,A1
attach,B1
triplet,BEYOND
animo,BEYOND
build,A1
line,B2
retrovirus,BEYOND
reverse,C1
alter,B2
makeup,BEYOND
raise,A2
artificially,BEYOND
mistake,B2
jump,A2
position,B2
occasionally,B2
radiation,B2
virus,A2
switch,B1
active,A2
stage,B2
puberty,BEYOND
child,A1
mature,C1
piglet,BEYOND
accident,A2
nuclear,B1
power,B2
release,B1
region,A2
cancer,B2
deformed,BEYOND
effect,A2
disorder,B2
spend,A1
beneficial,B2
helpful,A2
testing,B2
faulty,BEYOND
cystic,BEYOND
fibrosis,BEYOND
disease,A2
lung,B2
digestion,BEYOND
informed,BEYOND
decision,A2
embryo,BEYOND
professor,A2
language,A1
family,A1
son,A1
hemophilia,BEYOND
clot,BEYOND
cut,B1
bruise,BEYOND
dangerous,A1
spread,B1
russian,BEYOND
royal,B1
granddaughter,BEYOND
marry,A2
mutate,BEYOND
unborn,BEYOND
prospective,C1
modification,C1
onward,BEYOND
completely,A2
medicine,A2
enzyme,BEYOND
segment,C1
key,B1
act,B1
biological,B2
scissor,BEYOND
short,A1
tube,B1
refer,A2
address,B2
deny,B2
technique,B1
copying,BEYOND
cutting,C1
joining,BEYOND
bring,A1
circular,BEYOND
plasmid,BEYOND
main,A1
add,A1
ability,A2
immunity,BEYOND
toad,BEYOND
paste,BEYOND
genetically,BEYOND
modify,B2
culture,A1
colony,B2
treat,B1
weaken,C1
eject,BEYOND
photo,A1
loop,C1
recombinant,BEYOND
recombine,BEYOND
field,A2
modified,BEYOND
resistant,BEYOND
drought,B2
particular,A2
toxin,BEYOND
poison,B1
insect,A2
pest,BEYOND
pesticide,BEYOND
weed,C1
killer,BEYOND
spray,BEYOND
introduce,A1
method,A2
infect,C1
inject,C1
insert,B2
device,A2
gun,A2
fire,B1
gold,A2
metal,A2
opposition,B2
oppose,B2
fear,B1
hard,A1
superweed,BEYOND
threat,B2
wildlife,B2
possibly,B1
ecosystem,BEYOND
worry,B1
unnatural,BEYOND
pose,B2
biodiversity,BEYOND
health,A1
environmental,B1
pressure,B1
infertile,BEYOND
buy,A1
expensive,A1
unpopular,BEYOND
especially,A2
herbicide,BEYOND
regularly,B1
danger,A2
hope,A2
nickname,BEYOND
opposed,B2
drug,A2
escape,B1
contaminate,BEYOND
soil,B1
increase,A2
production,B1
profit,B1
controversial,B2
lot,A1
transgenic,BEYOND
mice,BEYOND
leukemia,BEYOND
likely,A2
advantage,A2
able,A2
monkey,A2
jellyfish,A1
luminous,BEYOND
track,B2
visible,B2
glow,BEYOND
pig,A1
researcher,BEYOND
sea,A1
cucumber,BEYOND
parasite,BEYOND
mosquito,BEYOND
deadly,B2
malaria,BEYOND
save,A2
tropic,BEYOND
prevent,A2
mainly,B1
cloning,BEYOND
twin,A2
artificial,B2
recently,A2
remove,A2
replace,A2
second,A2
banded,BEYOND
armadillo,BEYOND
mammal,BEYOND
implant,BEYOND
stem,C1
nerve,B2
muscle,B1
tissue,B2
ball,A1
embryonic,BEYOND
organ,B2
specially,BEYOND
fuse,BEYOND
fertility,BEYOND
treatment,B1
object,B2
say,C1
mammalian,BEYOND
ultimate,B2
map,B2
mapping,BEYOND
pioneer,C1
twentieth,BEYOND
confine,C1
unmodified,BEYOND
genome,BEYOND
entire,B2
billion,A2
sequence,B2
dye,BEYOND
radioactivity,BEYOND
mark,A2
base,B1
system,A2
project,B2
yeast,BEYOND
worm,B2
painstakingly,BEYOND
slow,B1
improved,BEYOND
powerful,B1
computer,A1
sequencing,BEYOND
university,A1
center,BEYOND
country,A1
largely,B2
pay,A2
government,A2
charitable,BEYOND
organization,A2
hormone,BEYOND
insulin,BEYOND
improve,A1
own,A2
final,A2
private,B1
firm,B2
enter,A2
race,B1
intend,B1
sell,A1
publicly,BEYOND
charitably,BEYOND
fund,B2
argument,A2
democratic,B2
responsibility,B1
commercial,B1
manufacturer,BEYOND
motor,B2
car,A1
fingerprint,BEYOND
profile,A2
percent,BEYOND
everybody,A1
unique,B2
criminal,B1
investigation,B2
big,A1
sample,B1
originally,B1
fingerprinting,BEYOND
profiling,BEYOND
authority,B1
illegal,B1
immigrant,B1
belong,A2
tell,A1
technician,BEYOND
printout,BEYOND
trace,C1
skin,A2
crime,A2
scene,A2
convict,C1
murder,B1
identify,A2
victim,B1
accuse,B2
innocent,B1
pardon,A1
await,C1
penalty,B2
ancestor,B2
morning,A1
police,A1
database,B2
