word,level
map,B2
handy,C1
find,A1
great,A1
wash,A2
shore,B2
lie,B1
strip,C1
country,A1
big,A1
close,B1
ocean,A2
house,B2
palace,A2
build,A1
near,A1
people,A1
live,B1
water,B1
boating,BEYOND
fishing,A2
wealth,B2
gain,B2
trade,B1
coast,A2
island,A1
nearest,BEYOND
day,A1
journey,A1
boat,A1
north,A1
story,A1
begin,A1
tell,A1
end,A1
wide,A2
land,A2
mile,A1
south,A1
scarcely,BEYOND
half,A2
broad,B2
long,A1
call,A1
exceedingly,BEYOND
pretty,A1
gull,BEYOND
approach,B2
sea,A1
resemble,C1
huge,A2
green,A1
wedge,BEYOND
grass,A2
tree,A1
color,BEYOND
emerald,BEYOND
come,A1
edge,B1
slope,B2
beautiful,A1
occupy,B2
central,B1
portion,B2
form,A1
continuous,B1
grove,BEYOND
branch,B1
meet,A1
high,B2
overhead,BEYOND
space,A1
beneath,C1
cosy,BEYOND
inhabitant,B2
scatter,BEYOND
town,A1
city,A1
canopy,BEYOND
leave,B2
shelter,B2
sun,A1
rain,A1
dweller,BEYOND
look,A2
past,A2
straight,A2
trunk,BEYOND
grassy,BEYOND
purple,A1
stand,B2
royal,B1
ruler,A1
entirely,B2
snow,A1
white,A1
marble,BEYOND
cap,B1
dome,BEYOND
burnished,BEYOND
gold,A2
king,A2
wealthy,B2
large,A1
fine,C1
pearl,BEYOND
world,A1
grow,A1
shell,B1
oyster,BEYOND
rake,BEYOND
watery,BEYOND
bed,A1
seek,B2
milky,BEYOND
carry,A1
dutifully,BEYOND
year,A1
majesty,BEYOND
able,A2
send,A1
rower,BEYOND
sack,C1
valuable,B1
rocky,BEYOND
headland,BEYOND
serve,A2
tower,A2
lighthouse,BEYOND
guide,A2
sailor,B1
harbor,BEYOND
purchase,B2
treasurer,BEYOND
go,B1
laden,BEYOND
store,B1
rich,A1
merchandise,BEYOND
supply,B1
food,A1
family,A1
need,B1
visit,A1
know,A1
southwest,BEYOND
use,A2
far,B1
say,C1
twin,A2
name,A1
inhabit,BEYOND
fierce,C1
warlike,BEYOND
boatload,BEYOND
warrior,C1
suddenly,A2
plunder,BEYOND
conquer,C1
custom,B1
strong,A1
foe,BEYOND
defeat,B2
drive,A2
storm,A2
overtake,BEYOND
raider,BEYOND
destroy,A2
single,A2
return,A1
enemy,B1
wonderful,A1
fisher,BEYOND
mild,B1
peaceful,B1
disposition,BEYOND
seldom,C1
quarrel,BEYOND
weapon,B1
fact,A1
remain,B1
boy,A1
remarkable,B2
battle,B1
fight,A2
hair,A1
gray,A1
remember,A1
follow,A1
constant,B2
fear,B1
invasion,B2
numerous,B2
army,A2
conquest,BEYOND
revenge,C1
case,A2
little,A2
hope,A2
successfully,B1
oppose,B2
anxiety,B2
lead,B1
sharp,B1
lookout,BEYOND
strange,A2
man,A1
patrol,C1
beach,A1
constantly,B2
wise,B2
allow,A2
subject,B2
unhappy,A2
good,A2
contentedly,BEYOND
fair,A2
child,A1
increase,A2
happiness,B1
place,B1
outside,A2
contentment,BEYOND
peace,A2
manifest,C1
hide,A2
besom,BEYOND
condition,A2
undisturbed,BEYOND
speak,A1
heir,BEYOND
kingship,BEYOND
surround,B2
luxury,B1
manly,BEYOND
fellow,B2
somewhat,B2
grave,BEYOND
thoughtful,C1
bear,B2
idle,BEYOND
minute,C1
lay,B1
successful,A2
slight,B2
small,A1
drag,B2
proud,B1
father,A1
school,A1
removed,BEYOND
state,B1
civilization,B2
give,A1
modern,A1
advantage,A2
learn,A1
professor,A2
own,A2
manuscript,C1
book,A2
page,A1
sheepskin,BEYOND
intelligence,B1
teach,A1
son,A1
reading,A1
writing,A1
arithmetic,BEYOND
study,A1
lesson,A1
climb,B1
tall,A1
platform,A2
comfortable,A2
seat,B2
rest,A2
disturb,B2
pore,BEYOND
write,A1
queer,BEYOND
character,A2
pingarese,BEYOND
language,A1
soon,A1
feel,B2
respect,B1
judgment,BEYOND
think,A1
worthy,C1
take,A1
confidence,B2
matter,A2
rule,B1
justly,BEYOND
happy,A1
prosperous,BEYOND
forget,A1
terrible,A1
fleet,C1
search,A2
race,B1
ago,A1
number,A2
unable,B1
train,A2
well,C1
surely,B1
cause,A2
injury,A2
suffering,B2
powerful,B1
grandfather,A1
ask,A1
shake,B1
head,B1
thoughtfully,BEYOND
fully,B2
understand,A1
marvelous,BEYOND
confide,BEYOND
secret,A2
possession,A2
guard,B1
utmost,BEYOND
care,A2
keep,A1
knowledge,A2
existence,B2
lest,BEYOND
die,A1
lose,A1
decide,A1
talisman,BEYOND
way,B2
room,A1
banquet,BEYOND
hall,A2
stop,A1
center,BEYOND
stoop,BEYOND
touch,B1
spring,B1
tile,BEYOND
floor,A1
sink,B1
downward,BEYOND
reach,B2
cavity,BEYOND
draw,A1
silken,BEYOND
bag,A1
proceed,B2
open,A1
show,A1
contain,A2
blue,A1
tint,BEYOND
delicate,C1
rose,B2
pure,B2
solemn,BEYOND
impressive,B1
voice,A2
gift,A2
ancestor,B2
fairy,BEYOND
fortune,B2
rescue,B2
gratitude,BEYOND
favor,BEYOND
present,A2
possess,B2
astonishing,B2
power,B2
owner,A2
count,B1
fortunate,B2
have,A2
person,A1
strength,B1
resist,B2
pink,A1
glow,BEYOND
protect,A2
danger,A2
threaten,B2
source,A2
word,A1
helpful,A2
exclaim,BEYOND
prince,B1
amazed,B1
sound,C1
impossible,A2
doubt,B1
ignorance,C1
gravely,BEYOND
listen,A1
truth,B1
hold,B2
ear,A1
hear,A1
distinctly,BEYOND
right,A1
question,A2
fail,A2
fill,A1
wonder,B1
crave,BEYOND
pardon,A1
dear,A2
clearly,A2
wisdom,B2
resume,C1
poor,A1
gem,BEYOND
monarch,BEYOND
believe,A1
reply,A2
awe,BEYOND
answer,A1
dare,B2
safely,BEYOND
recess,BEYOND
chance,A2
watchman,BEYOND
discover,A2
invader,BEYOND
seize,C1
secure,B2
powerless,BEYOND
magic,B1
time,B2
harm,B2
enable,B2
away,A1
suspect,B2
mermaid,BEYOND
proof,B2
manage,A2
win,B1
remark,B2
assist,B1
declare,B2
keeping,BEYOND
rightful,BEYOND
heritage,C1
treasure,B2
shall,A2
hiding,BEYOND
ponder,BEYOND
bright,A2
sunny,BEYOND
morning,A1
breeze,BEYOND
blow,B2
soft,A2
sweet,A2
wave,B1
leaf,B1
lade,BEYOND
duty,B1
run,A2
news,A1
sore,BEYOND
afraid,A1
step,B2
hidden,B2
moment,A1
reflect,B1
injure,B1
curb,BEYOND
stranger,B1
assemble,C1
arrive,A1
gaze,C1
eagerly,BEYOND
oncoming,BEYOND
observe,B2
cover,B1
silk,B2
embroider,BEYOND
row,B1
stern,BEYOND
cushioned,BEYOND
chair,B2
fat,A2
nearly,A2
dress,A1
loose,B2
robe,BEYOND
fall,A2
fold,B1
foot,A1
velvet,BEYOND
curiously,BEYOND
work,A1
golden,B2
thread,C1
circle,A2
diamond,B1
sew,BEYOND
band,A1
opposite,A1
oddly,BEYOND
shape,B2
cage,BEYOND
box,A1
sandalwood,BEYOND
pile,B2
craft,C1
get,A1
bow,C1
direction,A2
greet,A2
flourish,C1
energetic,BEYOND
manner,A2
face,B1
round,B2
apple,A1
rosy,BEYOND
smile,A2
jolly,BEYOND
prow,BEYOND
ground,A2
speed,B2
catch,B2
unawares,BEYOND
topple,BEYOND
headlong,BEYOND
hand,B1
steady,B2
jeweled,BEYOND
cry,B2
merry,BEYOND
perceive,B2
respond,A2
dignity,C1
glance,C1
sober,BEYOND
burst,C1
rollick,BEYOND
laugh,A1
laughter,A2
chuckle,BEYOND
merriment,BEYOND
emit,BEYOND
