word,level
live,B1
midst,C1
great,A1
prairie,BEYOND
farmer,A1
wife,A1
house,B2
small,A1
lumber,BEYOND
build,A1
carry,A1
wagon,BEYOND
mile,A1
wall,A1
floor,A1
roof,A2
room,A1
contain,A2
rusty,BEYOND
look,A2
cookstove,BEYOND
cupboard,A2
dish,A1
table,A1
chair,B2
bed,A1
big,A1
corner,A2
little,A2
garret,BEYOND
cellar,BEYOND
hole,A2
dig,B2
ground,A2
call,A1
cyclone,BEYOND
family,A1
case,A2
whirlwind,BEYOND
arise,B2
mighty,BEYOND
crush,C1
building,A1
path,B1
reach,B2
trap,B2
door,A1
middle,A2
ladder,B2
lead,B1
dark,A2
stand,B2
doorway,BEYOND
gray,A1
tree,A1
break,A1
broad,B2
sweep,B2
flat,A2
country,A1
edge,B1
sky,A2
direction,A2
sun,A1
bake,B1
plowed,BEYOND
land,A2
mass,B2
crack,B2
run,A2
grass,A2
green,A1
burn,B2
top,C1
long,A1
blade,C1
color,BEYOND
see,A1
paint,A1
blister,BEYOND
rain,A1
wash,A2
away,A1
dull,B2
come,A1
young,B1
pretty,A1
wind,B2
change,A1
take,A1
sparkle,BEYOND
eye,A1
leave,B2
sober,BEYOND
red,A1
cheek,B2
lip,B1
thin,A2
gaunt,BEYOND
smile,A2
orphan,BEYOND
startle,BEYOND
child,A1
laughter,A2
scream,B2
press,B1
hand,B1
heart,A2
merry,BEYOND
voice,A2
ear,A1
girl,A1
wonder,B1
find,A1
laugh,A1
work,A1
hard,A1
morning,A1
till,B1
night,A1
know,A1
joy,B2
beard,BEYOND
rough,B1
boot,A1
stern,BEYOND
solemn,BEYOND
rarely,B1
speak,A1
save,A2
grow,A1
surrounding,B2
black,A1
dog,A1
silky,BEYOND
hair,A1
twinkle,BEYOND
merrily,BEYOND
funny,A1
wee,BEYOND
nose,A1
play,A1
day,A1
love,A1
dearly,BEYOND
today,A1
sit,A1
doorstep,BEYOND
anxiously,BEYOND
usual,A2
arm,C1
far,B1
north,A1
hear,A1
low,B2
wail,BEYOND
bow,C1
wave,B1
storm,A2
sharp,B1
whistling,BEYOND
air,A1
south,A1
turn,A1
way,B2
ripple,BEYOND
suddenly,A2
stock,B2
shed,C1
cow,A1
horse,A1
keep,A1
drop,B1
glance,C1
tell,A1
danger,A2
close,B1
quick,A1
jump,A2
hide,A2
start,A2
badly,A2
frighten,B1
throw,A2
open,A1
climb,B1
catch,B2
follow,A1
aunt,A1
halfway,C1
shriek,BEYOND
shake,B1
lose,A1
footing,BEYOND
strange,A2
thing,A1
happen,A1
whirl,BEYOND
time,B2
rise,B1
slowly,A2
feel,B2
go,B1
balloon,B2
meet,A1
exact,A2
center,BEYOND
generally,B1
pressure,B1
raise,A2
higher,BEYOND
remain,B1
easily,A2
feather,B2
howl,BEYOND
horribly,BEYOND
ride,A2
tip,B1
rock,C1
gently,BEYOND
like,B1
baby,A1
cradle,BEYOND
bark,BEYOND
loudly,A2
wait,A2
get,A1
near,A1
fall,A2
think,A1
soon,A1
stick,B1
strong,A1
creep,C1
drag,B2
afterward,BEYOND
accident,A2
hour,A1
pass,B1
fright,BEYOND
lonely,B1
nearly,A2
deaf,BEYOND
dash,BEYOND
piece,A1
terrible,A1
stop,A1
worry,B1
resolve,B2
calmly,BEYOND
future,A2
bring,A1
crawl,C1
sway,BEYOND
lie,B1
spite,B2
swaying,BEYOND
wailing,BEYOND
fast,A1
asleep,A2
awaken,BEYOND
shock,B2
sudden,B1
severe,B2
soft,A2
hurt,B2
jar,BEYOND
breath,B1
cold,A1
face,B1
whine,BEYOND
dismally,BEYOND
notice,A2
move,B1
bright,A2
sunshine,BEYOND
window,A1
flood,B1
spring,B1
heel,B2
give,A1
cry,B2
amazement,BEYOND
wonderful,A1
sight,B1
set,B1
marvelous,BEYOND
beauty,B1
lovely,A2
patch,C1
greensward,BEYOND
stately,BEYOND
bear,B2
rich,A1
luscious,BEYOND
fruit,A1
bank,B1
gorgeous,B2
flower,A1
bird,A1
rare,B1
brilliant,A2
plumage,BEYOND
sing,A1
flutter,BEYOND
bush,B2
brook,BEYOND
rush,B2
murmur,BEYOND
grateful,B1
dry,A2
eagerly,BEYOND
beautiful,A1
group,A1
queer,BEYOND
people,A1
grown,BEYOND
folk,B1
fact,A1
tall,A1
age,B1
year,A1
old,A1
man,A1
woman,A1
oddly,BEYOND
dress,A1
wear,A1
round,B2
