word,level
modern,A1
history,A1
refer,A2
process,B2
change,A1
agrarian,BEYOND
handicraft,BEYOND
economy,B1
dominate,B2
industry,A2
machine,A1
manufacture,B2
begin,A1
century,A1
spread,B1
part,A1
world,A1
early,A1
french,BEYOND
writer,A1
term,B2
popularize,BEYOND
english,BEYOND
economic,B1
historian,B2
describe,A1
development,B1
time,B2
broadly,B2
apply,A2
impossible,A2
imagine,A1
like,B1
effect,A2
sweep,B2
away,A1
electric,A2
light,A2
automobile,BEYOND
airplane,BEYOND
vanish,C1
telephone,A1
radio,A1
television,A1
disappear,A2
abundant,BEYOND
stock,B2
shelf,B1
department,A2
store,B1
go,B1
child,A1
poor,A1
little,A2
schooling,BEYOND
work,A1
dawn,C1
dark,A2
farm,A2
home,A2
invent,A2
adult,A2
need,B1
order,A1
provide,A2
food,A1
clothing,A2
shelter,B2
main,A1
feature,B1
involve,A2
technological,B2
socioeconomic,BEYOND
cultural,B1
include,A1
follow,A1
use,A2
new,A1
basic,B1
material,B2
chiefly,BEYOND
iron,B1
steel,B2
energy,A2
source,A2
fuel,B1
motive,C1
power,B2
coal,B1
steam,B2
engine,A2
electricity,A2
petroleum,BEYOND
internal,B2
combustion,BEYOND
invention,A2
spin,C1
jenny,BEYOND
loom,C1
permit,B2
increase,A2
production,B1
small,A1
expenditure,C1
human,A2
organization,A2
know,A1
factory,A2
system,A2
entail,BEYOND
division,B2
labour,B2
specialization,BEYOND
function,B1
important,A1
transportation,B2
communication,B1
locomotive,BEYOND
steamship,BEYOND
telegraph,BEYOND
application,B1
science,A1
possible,A1
tremendously,BEYOND
natural,A1
resource,B1
mass,B2
good,A2
completed,BEYOND
ford,BEYOND
model,B2
come,A1
assembly,C1
line,B2
nonindustrial,BEYOND
sphere,C1
agricultural,C1
improvement,B1
provision,C1
large,A1
nonagricultural,BEYOND
population,A2
result,B1
wide,A2
distribution,B2
wealth,B2
decline,B2
land,A2
face,B1
rise,B1
industrial,B2
international,A2
trade,B1
political,B1
reflect,B1
shift,B1
state,B1
policy,B1
correspond,C1
industrialized,BEYOND
society,A2
sweeping,BEYOND
social,A2
growth,B1
city,A1
class,A1
movement,A2
emergence,C1
pattern,A2
authority,B1
transformation,C1
broad,B2
worker,A1
acquire,B2
distinctive,C1
skill,A1
relation,B1
task,A2
instead,A2
craftsman,BEYOND
hand,B1
tool,A2
operator,B2
subject,B2
discipline,B2
finally,A2
psychological,B2
man,A1
confidence,B2
ability,A2
master,B2
nature,A2
heighten,C1
period,A1
largely,B2
confine,C1
aware,B1
head,B1
start,A2
forbid,B2
export,B1
machinery,C1
skilled,B2
manufacturing,B2
technique,B1
british,BEYOND
monopoly,C1
forever,B1
especially,A2
see,A1
profitable,C1
opportunity,A2
abroad,A2
continental,BEYOND
european,BEYOND
businessman,A2
seek,B2
lure,BEYOND
country,A1
bring,A1
develop,A2
shop,A1
transform,B2
economically,BEYOND
progenitor,BEYOND
belgian,BEYOND
centre,B1
textile,BEYOND
slowly,A2
thoroughly,B2
establish,B2
leadership,B2
immerse,BEYOND
uncertain,BEYOND
situation,A1
discourage,B2
investment,B2
innovation,B2
despite,B1
great,A1
remain,B1
lag,BEYOND
far,B1
bourgeoisie,BEYOND
lack,B1
counterpart,C1
condition,A2
nation,B1
hinder,BEYOND
expansion,B2
example,A1
vast,B2
national,B2
unity,B2
achieve,A2
grow,A1
rapidly,B2
turn,A1
outproduce,BEYOND
leader,A2
chemical,B1
outstrip,BEYOND
effort,B1
join,A1
strike,B2
success,A1
eastern,B1
year,A1
plan,A1
major,A2
telescope,BEYOND
decade,B1
industrialization,BEYOND
take,A1
half,A2
witness,B2
hitherto,BEYOND
nonindustrialized,BEYOND
area,A1
considerable,B2
overlapping,BEYOND
old,A1
mount,B2
evidence,A2
late,A1
exploit,B2
synthetic,BEYOND
utilize,C1
metal,A2
alloy,BEYOND
product,A1
plastic,A2
combine,B1
computer,A1
give,A1
automatic,B2
segment,C1
completely,A2
mechanized,BEYOND
operation,B1
distinct,B2
significance,B2
second,A2
ownership,B2
mean,A1
undergo,B2
oligarchical,BEYOND
characterize,C1
way,B2
purchase,B2
common,A1
individual,A2
institution,B2
insurance,B2
company,A1
socialize,BEYOND
sector,B2
theory,B1
laissez,BEYOND
faire,BEYOND
idea,A1
thought,A2
classical,A2
government,A2
generally,B1
move,B1
realm,C1
meet,A1
complex,B1
lay,B1
revolutionary,C1
share,B1
employ,A2
agriculture,B2
fall,A2
percent,BEYOND
nearly,A2
surge,C1
million,A1
output,B2
place,B1
serve,A2
effective,B1
prototype,BEYOND
choose,A1
industrialize,BEYOND
risk,B1
backwardness,BEYOND
dependence,C1
imitate,BEYOND
consciously,BEYOND
pioneer,C1
simply,B1
fix,B2
later,A2
clear,B1
method,A2
exclusively,C1
valid,B2
universally,BEYOND
applicable,C1
general,A2
form,A1
emerge,B2
course,A1
widely,B2
regard,B2
typical,A2
certain,A2
episode,B1
tendency,B2
case,A2
point,B1
massing,BEYOND
town,A1
distinction,C1
family,A1
life,A1
leisure,B1
notion,B2
meaningful,C1
person,A1
compound,B2
powerful,B1
image,A2
industrialism,BEYOND
wholly,C1
progress,B2
consider,A2
positive,B2
responsible,B1
introduce,A1
negative,B2
consequence,B1
health,A1
planet,A2
rapid,B2
lead,B1
crowded,A2
unsanitary,BEYOND
working,A2
living,B1
number,A2
accident,A2
death,A2
cause,A2
exposure,B2
toxic,C1
surgeon,B2
link,A2
frequent,B2
occurrence,C1
scrotal,BEYOND
cancer,B2
chimney,BEYOND
soot,BEYOND
ingrain,BEYOND
skin,A2
prolonged,BEYOND
flue,BEYOND
dust,B1
physician,C1
advance,B2
study,A1
occupational,BEYOND
medicine,A2
lung,B2
disease,A2
commonly,B2
afflict,BEYOND
miner,B2
grinder,BEYOND
statutory,BEYOND
notification,BEYOND
require,B1
medical,A2
personnel,C1
report,A2
chief,B2
inspector,B2
legal,B1
continue,A2
institute,B2
addition,B1
steady,B2
greenhouse,B2
gas,A2
severe,B2
climate,A2
release,B1
absolute,B2
cumulative,BEYOND
beginning,A1
today,A1
preindustrial,BEYOND
globalization,B2
live,B1
uneducated,BEYOND
knowledge,A2
going,BEYOND
rest,A2
volume,B2
examine,B1
reach,B2
chapter,B1
attempt,B2
approach,B2
historical,B1
sociological,BEYOND
view,B1
compelling,C1
detail,B2
final,A2
delve,BEYOND
put,A1
context,A2
contribution,B2
advancement,BEYOND
technology,A2
fully,B2
grasp,C1
impact,B1
understand,A1
occur,B1
seventeenth,BEYOND
entirely,B2
different,A1
inhabitant,B2
high,B2
aim,B1
survive,B1
hazardous,BEYOND
contain,A2
inelastic,BEYOND
frame,B1
inability,C1
produce,B2
relatively,B2
simple,A2
play,A1
determine,B1
demand,B2
available,A2
field,A2
mill,C1
workshop,B2
consumer,B1
quality,A2
present,A2
ready,A1
advantage,A2
feeble,BEYOND
defense,BEYOND
operate,B2
benefit,B1
write,A1
chronic,C1
morbidity,BEYOND
entire,B2
vaccination,BEYOND
scientific,B1
long,A1
pause,B2
research,A2
regular,A2
practice,A1
train,A2
book,A2
account,B1
organic,B2
envisage,BEYOND
illness,A2
foreign,A2
element,B1
lodge,BEYOND
sick,A1
body,A1
tend,B1
identify,A2
sin,C1
doctor,A1
prescribe,C1
dose,C1
bleed,C1
lean,B2
pedantic,BEYOND
scholarship,B2
blend,C1
primitive,BEYOND
psychology,B2
therapy,B2
concern,B2
mainly,B1
moderate,C1
symptom,B1
peer,B2
imagination,B2
hovel,BEYOND
walk,A1
street,A1
open,A1
drain,C1
house,B2
decay,BEYOND
tenement,BEYOND
mortality,BEYOND
rate,B2
room,A1
roof,A2
animal,A1
sleep,A2
straw,BEYOND
eat,A1
finger,A2
knife,A2
spoon,A2
wash,A2
infrequently,BEYOND
tolerate,C1
lice,BEYOND
flea,BEYOND
outside,A2
dung,BEYOND
refuse,A2
attract,B1
fly,A2
rodent,BEYOND
lucky,A2
people,A1
particularly,B1
north,A1
glass,A1
window,A1
warmth,BEYOND
airless,BEYOND
thick,A2
odour,BEYOND
dampness,BEYOND
defecation,BEYOND
smoke,A2
unwashed,BEYOND
rheumatic,BEYOND
bronchial,BEYOND
ailment,BEYOND
trouble,B2
deficient,BEYOND
diet,A1
childhood,B1
rickety,BEYOND
leg,A1
crude,C1
delivery,B2
permanent,B2
damage,B1
mother,A1
attention,A2
local,B1
midwife,BEYOND
baby,A1
die,A1
launch,B2
journey,A1
artwork,B2
depict,C1
receive,A2
smallpox,BEYOND
control,A2
measles,BEYOND
virulent,BEYOND
typhus,BEYOND
louse,BEYOND
typhoid,BEYOND
waterborne,BEYOND
kill,A2
syphilis,BEYOND
menace,BEYOND
introduction,A2
rife,BEYOND
prostitute,BEYOND
patron,C1
blindness,BEYOND
woman,A1
hapless,BEYOND
victim,B1
male,A2
morality,C1
frequently,B1
deny,B2
chance,A2
mercury,BEYOND
treatment,B1
stigma,BEYOND
attach,B1
scrofula,BEYOND
gangrenous,BEYOND
tubercular,BEYOND
lymph,BEYOND
gland,BEYOND
king,A2
evil,B2
think,A1
curable,BEYOND
touch,B1
ceremony,B1
conscientiously,BEYOND
endemic,BEYOND
swampy,BEYOND
drainage,BEYOND
scheme,B2
enlightened,BEYOND
sovereign,BEYOND
prevention,C1
await,C1
inexpensive,BEYOND
quinine,BEYOND
let,A1
vaccine,BEYOND
plague,BEYOND
urban,B2
deadly,B2
summer,A1
dread,BEYOND
sentence,B2
combat,C1
measure,B1
quarantine,BEYOND
poverty,B1
constant,B2
sufficient,B2
wage,B2
allow,A2
replacement,C1
hold,B2
quarter,A1
philosopher,C1
possess,B2
chattel,BEYOND
destine,BEYOND
misery,C1
injury,A2
breadwinner,BEYOND
failure,B2
crop,B2
cow,A1
fire,B1
flood,B1
bankruptcy,BEYOND
employer,A2
taxis,BEYOND
rent,B1
due,B1
decisive,C1
factor,A2
slide,B2
sufficiency,BEYOND
destitution,BEYOND
pose,B2
big,A1
threat,B2
alarming,BEYOND
force,B1
price,B2
market,B1
depress,BEYOND
relationship,A2
mutual,C1
support,A2
hill,A2
young,B1
son,A1
fringe,BEYOND
bread,A1
army,A2
usually,A1
leave,B2
look,A2
harvest,C1
seasonal,BEYOND
migration,C1
domestic,B2
service,A2
draw,A1
girl,A1
bourgeois,BEYOND
occupation,B2
notably,C1
lacemaking,BEYOND
traditionally,BEYOND
reserve,B2
miserably,BEYOND
pay,A2
frenchwoman,BEYOND
eyesight,BEYOND
fine,C1
earn,A2
dowry,BEYOND
marriage,B1
contraception,BEYOND
abstinence,BEYOND
irregular,BEYOND
liaison,BEYOND
frown,BEYOND
marry,A2
indication,B2
western,B1
prevalence,C1
abortion,C1
infanticide,BEYOND
painfully,BEYOND
significant,B2
clearly,A2
unmarried,BEYOND
couple,A2
abandon,B2
annually,B2
charitable,BEYOND
outcast,BEYOND
beggar,BEYOND
derelict,BEYOND
help,A1
create,A1
amoral,BEYOND
ambience,BEYOND
criminal,B1
expect,A2
tolerance,C1
bar,B2
magistrate,C1
gang,B2
terrorize,BEYOND
district,B2
pursue,B2
sorry,A1
tale,B2
keen,B1
trainee,BEYOND
school,A1
crime,A2
pick,B2
pocket,A2
cut,B1
horsetail,BEYOND
solicit,BEYOND
sister,A1
abet,BEYOND
smuggling,BEYOND
enlargement,BEYOND
role,A2
tariff,BEYOND
weapon,B1
protectionist,BEYOND
strategy,A2
encourage,B1
evasion,BEYOND
rigid,BEYOND
right,A1
citizen,B2
bear,B2
feudalism,BEYOND
set,B1
arrangement,A2
dead,A2
aspect,B2
feudal,BEYOND
countryside,B1
personal,A1
owe,B2
peasant,C1
landowner,BEYOND
court,B1
assumption,B2
office,A1
dealing,BEYOND
lie,B1
reader,A1
dismiss,B2
current,B1
accrue,BEYOND
virtue,C1
belong,A2
prince,B1
equivalent,B2
free,B2
bishop,C1
ecclesiastical,BEYOND
principality,BEYOND
member,A1
community,A2
corporation,B2
depend,A2
rank,B2
craft,C1
profession,B1
lifeblood,BEYOND
association,B2
purpose,A2
identity,B1
rarely,B1
crowd,A2
impersonal,BEYOND
intimacy,BEYOND
anesthetize,BEYOND
pain,A2
hunger,B2
soften,BEYOND
familiar,B1
visitor,A1
vulnerable,C1
enjoy,A1
special,A1
status,B2
value,B1
extra,B1
pair,A1
deplore,BEYOND
mouth,A1
feed,B2
privileged,BEYOND
protection,B2
responsibility,B1
extend,B2
numerous,B2
nearby,B2
isolated,B2
inbreeding,BEYOND
add,A1
genetic,B2
hazard,C1
struggle,B2
painting,A1
show,A1
serf,BEYOND
lord,B2
father,A1
strengthen,B2
law,A2
property,B1
inheritance,BEYOND
curtain,B1
narrow,B2
glimpse,C1
affect,A2
business,A1
customarily,BEYOND
weight,A2
feeling,A1
bride,B1
groom,BEYOND
save,A2
display,B2
sustain,C1
call,A1
obligation,B2
base,B1
rule,B1
duke,BEYOND
count,B1
noble,C1
feud,BEYOND
peculiar,C1
landholding,BEYOND
fortify,BEYOND
castle,A2
knight,BEYOND
armor,BEYOND
chivalry,BEYOND
gradually,B2
complete,A1
find,A1
flourish,C1
end,A1
survival,B2
usage,B2
persistent,C1
prevail,C1
aristocratic,BEYOND
spirit,B1
connection,B1
strong,A1
appeal,B2
pursuit,B2
precociously,BEYOND
exceptionally,BEYOND
landed,BEYOND
gentleman,B1
producer,B1
represent,B1
range,B1
rigorous,BEYOND
serfdom,BEYOND
acceptance,C1
quo,BEYOND
possession,A2
characteristic,B2
mark,A2
aspiration,C1
elite,C1
judge,B1
hope,A2
favour,B1
pension,B2
vital,B2
exemption,BEYOND
billet,BEYOND
soldier,A2
valuable,B1
taxation,BEYOND
favourable,C1
privilege,C1
university,A1
preferment,BEYOND
church,A2
commission,B2
assume,B2
encroach,BEYOND
estate,B2
bureaucracy,C1
recruit,B2
commoner,BEYOND
west,A1
nobility,BEYOND
retreat,C1
preeminence,BEYOND
maintain,B2
tighten,C1
commanding,BEYOND
height,A2
increasingly,B2
signify,BEYOND
circumstance,B2
civilizing,BEYOND
immeasurably,BEYOND
music,A1
literature,B1
architecture,A2
age,B1
aristocracy,BEYOND
taste,A2
extent,B2
splendour,BEYOND
restrain,BEYOND
formal,A2
love,A1
beauty,B1
uninhibited,BEYOND
utilitarian,BEYOND
consideration,B2
trait,B2
discern,BEYOND
level,B1
desire,B2
emancipation,BEYOND
past,A2
precept,BEYOND
readiness,BEYOND
sense,B2
superior,C1
sobriety,BEYOND
discretion,C1
style,A1
universal,B2
phenomenon,B2
capital,A1
usual,A2
momentum,C1
irrespective,BEYOND
client,B1
servant,B1
kind,B1
artisan,BEYOND
shopkeeper,BEYOND
provider,BEYOND
swell,BEYOND
specialize,B2
limit,B1
horse,A1
mule,BEYOND
remarkable,B2
modest,B2
atlantic,BEYOND
port,B1
thrive,C1
colonial,C1
experience,B1
stability,C1
burgher,BEYOND
feel,B2
descendant,BEYOND
generation,B1
deadness,BEYOND
raison,BEYOND
host,B1
clergy,BEYOND
quiet,A1
expand,B1
middle,A2
will,B1
spend,A1
drink,A1
extreme,B2
middling,BEYOND
size,A2
supervise,C1
mayor,B2
dignify,BEYOND
probably,A1
ward,C1
parish,C1
guildhall,BEYOND
crust,BEYOND
cleric,BEYOND
lawyer,A2
official,B1
merchant,C1
cater,C1
fabric,B2
hat,A1
wig,BEYOND
glove,B1
eyeglass,BEYOND
engraving,BEYOND
china,BEYOND
silver,A2
glassware,BEYOND
lock,A2
clock,A1
apart,B1
contrast,B1
emphasize,B2
wall,A1
gate,A2
close,B1
night,A1
cobble,BEYOND
sett,BEYOND
road,A1
speech,A2
intonation,BEYOND
suggest,A2
ordered,BEYOND
popular,A1
monopolize,BEYOND
group,A1
wealthy,B2
compose,B2
regime,C1
discontent,BEYOND
breed,C1
radicalism,BEYOND
guild,BEYOND
restrictive,BEYOND
competition,A2
drive,A2
suit,B1
disperse,BEYOND
compensate,C1
pressure,B1
unskilled,BEYOND
journeyman,BEYOND
improve,A1
building,A1
notorious,C1
secret,A2
plight,BEYOND
affluence,BEYOND
fellow,B2
conflict,B2
interpret,B2
active,A2
mundane,BEYOND
soil,B1
water,B1
supply,B1
site,A2
river,A1
sea,A1
frontier,BEYOND
strategic,C1
route,A2
virtually,BEYOND
self,B2
environment,A2
sow,BEYOND
gather,B1
bound,B2
beast,C1
wood,A2
wasteland,BEYOND
stone,A2
easy,A1
cob,BEYOND
clay,BEYOND
intend,B1
refinement,BEYOND
barn,BEYOND
amenity,BEYOND
occupant,BEYOND
hearth,BEYOND
table,A1
bench,C1
mat,A1
rush,B2
strew,BEYOND
floor,A1
beat,B2
earth,A2
rough,B1
single,A2
story,A1
raise,A2
space,A1
bed,A1
attic,BEYOND
grain,B1
security,B1
cooking,A1
pot,B1
utensil,BEYOND
name,A1
inventory,BEYOND
meal,A1
earthenware,BEYOND
normally,A2
scarce,BEYOND
intensively,BEYOND
cultivate,C1
northern,B1
reclaim,BEYOND
marsh,BEYOND
peat,BEYOND
dry,A2
corn,BEYOND
grind,C1
village,A1
potential,B2
necessary,A2
expertise,B2
poorly,BEYOND
bargain,B2
wove,BEYOND
itinerant,BEYOND
wool,B1
household,B2
breech,BEYOND
shirt,A1
tunic,BEYOND
smock,BEYOND
gown,BEYOND
clothe,BEYOND
elemental,BEYOND
damp,BEYOND
cold,A1
loose,B2
fit,C1
ease,C1
shoe,A1
likely,A2
wooden,A2
clog,BEYOND
leather,B1
harness,BEYOND
implement,B2
plow,BEYOND
cart,BEYOND
harrow,BEYOND
season,A2
split,B2
hew,BEYOND
saw,BEYOND
unknown,B2
true,A1
smith,BEYOND
carpenter,BEYOND
satisfy,B2
intricate,BEYOND
travel,A1
tinker,BEYOND
villager,C1
hear,A1
fare,B2
well,C1
news,A1
indirectly,BEYOND
student,A1
pilgrim,BEYOND
reputably,BEYOND
gypsy,BEYOND
deserter,BEYOND
buy,A1
broadsheet,BEYOND
almanac,BEYOND
romance,B2
enterprising,BEYOND
printer,A2
hawk,BEYOND
read,A1
keep,A1
alive,A2
fairy,BEYOND
magic,B1
astrology,BEYOND
reluctant,C1
believe,A1
inn,BEYOND
setting,B1
gossip,BEYOND
rumour,C1
requirement,B2
post,A1
affair,B2
conduct,B2
innkeeper,BEYOND
cash,A2
wayfarer,BEYOND
rely,B2
rural,B2
consist,B1
innumerable,BEYOND
unit,A2
incapable,BEYOND
generate,B2
adequate,B2
scale,B2
cluster,C1
proud,B1
suspicious,C1
outsider,C1
foster,C1
liberty,C1
pitifully,BEYOND
inadequate,C1
original,B1
solution,A2
problem,A1
verse,C1
empirical,C1
wisdom,B2
fear,B1
terror,B2
custom,B1
attitude,B1
brink,BEYOND
seed,B1
fast,A1
widespread,B2
interest,A1
experiment,B1
demonstration,B2
separation,C1
intellectual,C1
advanced,B1
difficult,A1
transmission,C1
culture,A1
inquiry,BEYOND
enterprise,C1
belief,B1
piecemeal,BEYOND
have,A2
missing,A2
educational,B1
ground,A2
wed,BEYOND
traditional,A2
inventor,BEYOND
untutored,BEYOND
delay,B2
breakthrough,C1
description,A1
misleading,C1
woolen,BEYOND
cotton,B1
massive,B2
war,A2
shut,A2
continent,A2
stimulate,B2
unique,B2
expose,B2
accumulation,C1
assist,B1
acquisition,C1
colony,B2
chartered,BEYOND
orient,BEYOND
exist,A2
financial,B1
successful,A2
found,B2
consistently,B2
low,B2
rival,B2
financing,BEYOND
canal,B2
private,B1
profit,B1
realize,A2
plentiful,BEYOND
ore,BEYOND
swift,BEYOND
flow,B1
stream,B2
hilly,BEYOND
northwest,BEYOND
moist,BEYOND
spinning,BEYOND
supplement,C1
irish,BEYOND
immigrant,B1
cherish,BEYOND
ancien,BEYOND
régime,BEYOND
exhibit,B2
tolerant,BEYOND
fortune,B2
birth,A2
comparison,B1
successive,C1
debt,B2
fund,B2
difficulty,B1
eightfold,BEYOND
considerably,B2
strength,B1
trading,B2
entrepreneurial,BEYOND
statesman,BEYOND
back,B2
design,A1
promote,B1
question,A2
physical,A2
collective,C1
distort,C1
picture,B2
obscure,BEYOND
manufacturer,BEYOND
trader,BEYOND
respond,A2
mercantilist,BEYOND
grandfather,A1
mobility,C1
spending,B1
folk,B1
luxuriously,BEYOND
treat,B1
disorder,B2
concerned,B2
lest,BEYOND
strip,C1
treasure,B2
proper,B1
undermine,C1
moral,B2
mercantilism,BEYOND
ethical,B2
teaching,A2
anchor,C1
medieval,C1
doctrine,C1
usury,BEYOND
sinful,BEYOND
weaken,C1
recovery,B2
needy,BEYOND
borrow,A2
prejudice,C1
bank,B1
linger,C1
reinforce,B2
periodic,BEYOND
fallibility,BEYOND
productive,C1
activity,A1
necessarily,B1
thing,A1
dynamic,C1
capitalism,C1
developed,BEYOND
phase,B2
adoption,C1
criterion,B2
management,B1
stern,BEYOND
respect,B1
hour,A1
reduction,B2
holiday,A1
saint,C1
day,A1
protestant,BEYOND
prepare,A1
psychologically,BEYOND
handsome,BEYOND
square,A2
prosperity,C1
reorientation,BEYOND
mutually,BEYOND
beneficial,B2
shipbuilding,BEYOND
demanding,BEYOND
raw,B2
network,A2
supplier,BEYOND
forest,A2
forge,C1
timber,C1
canvas,C1
rope,B1
chandlering,BEYOND
brokerage,BEYOND
credit,B2
facilitate,C1
amassing,BEYOND
fair,A2
counteract,BEYOND
isolation,C1
regional,B2
exchange,B1
sale,A2
list,A1
auction,B2
commodity,C1
governmental,BEYOND
regulation,B2
augment,BEYOND
expense,B2
absolutism,BEYOND
publicist,BEYOND
currency,B1
scottish,BEYOND
economist,B2
interlock,BEYOND
principle,B2
precious,B2
gold,A2
deem,C1
indispensable,BEYOND
mine,B1
access,B1
obtain,B2
balance,B1
excess,C1
import,B1
commerce,C1
accord,BEYOND
want,A1
minimize,C1
luxury,B1
sumptuary,BEYOND
drug,A2
pass,B1
sure,A2
thrift,BEYOND
saving,B2
parsimony,BEYOND
promise,A2
severely,B2
criticize,B2
advocate,C1
argue,A2
difference,A1
public,A2
money,A1
automatically,B2
adjust,B2
rich,A1
reality,B1
challenge,B1
retailing,BEYOND
afford,B1
coffee,A1
tobacco,C1
unlike,B1
offer,A2
carry,A1
premise,C1
dissemination,BEYOND
strand,C1
newspaper,A1
exceed,B2
seven,A1
emphasis,B2
opinion,A1
seaman,BEYOND
dredging,BEYOND
harbour,B2
dock,BEYOND
accurate,B2
navigational,BEYOND
instrument,A2
chart,B2
mention,B1
marked,BEYOND
lighthouse,BEYOND
