word,level
introduction,A2
virtually,BEYOND
galaxy,BEYOND
appear,A2
form,A1
soon,A1
universe,B2
begin,A1
approximately,B1
billion,A2
year,A1
ago,A1
measurement,B2
tend,B1
suggest,A2
nearly,A2
age,B1
consist,B1
star,A2
interstellar,BEYOND
matter,A2
cloud,A2
gas,A2
particle,BEYOND
dust,B1
space,A1
small,A1
contain,A2
million,A1
large,A1
trillion,B2
find,A1
sky,A2
depth,B2
farth,BEYOND
reach,B2
penetrate,BEYOND
powerful,B1
modern,A1
telescope,BEYOND
solar,B2
system,A2
include,A1
spiral,BEYOND
take,A1
irregular,BEYOND
luminous,BEYOND
band,A1
stretch,B2
see,A1
belong,A2
example,A1
shape,B2
like,B1
pinwheel,BEYOND
immense,C1
arm,C1
locate,B1
inner,B2
edge,B1
light,A2
nucleus,BEYOND
centre,B1
disk,BEYOND
diameter,BEYOND
roughly,B2
orbit,BEYOND
caption,BEYOND
image,A2
result,B1
day,A1
observation,B2
show,A1
different,A1
stage,B2
evolution,B2
vary,B2
greatly,B2
size,A2
grow,A1
collide,BEYOND
merge,C1
extreme,B2
dwarf,BEYOND
near,A1
typically,B1
hand,B1
giant,B1
radio,A1
strong,A1
source,A2
wave,B1
extend,B2
cluster,C1
group,A1
enormous,A2
complex,B1
isolated,B2
rare,B1
evidence,A2
lie,B1
supermassive,BEYOND
black,A1
hole,A2
region,A2
intense,B2
gravity,C1
escape,B1
additionally,B2
generate,B2
energy,A2
massive,B2
name,A1
mass,B2
time,B2
late,A1
century,A1
surprising,A2
finding,B2
visible,B2
account,B1
mean,A1
dark,A2
nature,A2
know,A1
text,A2
study,A1
type,B1
scientist,A1
understand,A1
complexity,C1
celestial,BEYOND
network,A2
home,A2
astronomer,BEYOND
complete,A1
understanding,A2
external,B2
thick,A2
layer,B1
obscure,BEYOND
scrutiny,C1
optical,C1
determine,B1
scale,B2
structure,B2
aid,B2
infrared,BEYOND
detect,B2
radiation,B2
artist,A1
rendition,BEYOND
exist,A2
single,A2
double,B1
conspicuous,BEYOND
ten,A1
thousand,A1
member,A1
object,B2
subdivide,BEYOND
globular,BEYOND
open,A1
stellar,BEYOND
association,B2
differ,B2
primarily,B2
number,A2
call,A1
spherical,BEYOND
appearance,A2
exact,A2
uncertain,BEYOND
obscuration,BEYOND
probably,A1
prevent,A2
arrange,A2
halo,BEYOND
relatively,B2
galactic,BEYOND
plane,A1
heavy,A2
concentration,B2
radial,BEYOND
distribution,B2
plot,B1
function,B1
distance,A2
fit,C1
mathematical,C1
expression,A2
identical,B2
describe,A1
elliptical,BEYOND
extremely,A2
luminosity,BEYOND
equivalent,B2
bright,A2
masse,BEYOND
measure,B1
dispersion,BEYOND
velocity,BEYOND
individual,A2
range,B1
highly,B1
concentrated,BEYOND
have,A2
resemble,C1
isothermal,BEYOND
sphere,C1
cutoff,BEYOND
correspond,C1
tidal,BEYOND
effect,A2
precise,B2
model,B2
derive,B2
dynamic,C1
kind,B1
encounter,B2
exterior,BEYOND
influence,B1
american,BEYOND
instance,B2
dynamical,BEYOND
observe,B2
closely,B2
term,B2
core,B2
radius,BEYOND
degree,A2
density,C1
key,B1
distinguish,B2
feature,B1
uniformly,BEYOND
old,A1
compare,A1
population,A2
evolutionary,C1
far,B1
case,A2
indicate,B1
fact,A1
amount,B2
element,B1
compose,B2
high,B2
latitude,BEYOND
assemblage,BEYOND
apparently,B2
material,B2
flatten,BEYOND
present,A2
thin,A2
component,B2
evolve,B2
give,A1
enrich,C1
helium,BEYOND
produce,B2
later,A2
continually,C1
change,A1
hydrogen,C1
major,A2
constituent,BEYOND
gradually,B2
importance,B1
level,B1
percent,BEYOND
little,A2
intermix,BEYOND
majority,B2
generally,B1
loose,B2
typical,A2
distribute,B2
similarly,B1
young,B1
slowly,A2
decrease,B2
outward,BEYOND
learn,A1
directly,B1
existence,B2
analogy,C1
similar,A1
surmise,BEYOND
follow,A1
general,A2
integrate,B2
few,A1
central,B1
area,A1
densely,BEYOND
neighbourhood,B1
discern,BEYOND
considerably,B2
faint,BEYOND
peak,C1
absolute,B2
percentage,B1
brightness,BEYOND
order,A1
total,C1
look,A2
important,A1
structural,C1
difference,A1
relative,B1
looseness,BEYOND
comparatively,BEYOND
disastrous,C1
consequence,B1
ultimate,B2
fate,C1
concern,B2
sufficiently,B2
gravitationally,BEYOND
bind,C1
