word,level
day,A1
start,A2
early,A1
hasten,BEYOND
forward,B2
march,C1
cross,A2
road,A1
speak,A1
suffering,B2
endure,C1
return,A1
uncle,A1
bear,B2
angry,A1
impatience,BEYOND
man,A1
oblige,C1
weakness,B2
resignation,C1
passive,C1
nature,A2
confes,BEYOND
complaint,B1
expression,A2
despair,BEYOND
spirit,B1
oppose,B2
ill,A2
fortune,B2
foretell,BEYOND
water,B1
fail,A2
entirely,B2
end,A1
retrograde,BEYOND
fluid,C1
aliment,BEYOND
gin,BEYOND
infernal,BEYOND
burn,B2
throat,B1
sight,B1
find,A1
temperature,A2
air,A1
stifling,BEYOND
fatigue,BEYOND
paralyse,BEYOND
limb,C1
drop,B1
motionless,BEYOND
halt,C1
good,A2
restore,B2
see,A1
struggle,B2
painfully,BEYOND
excessive,B2
torture,C1
thirst,BEYOND
arrive,A1
hand,B1
knee,A2
half,A2
dead,A2
junction,C1
like,B1
lifeless,BEYOND
lump,BEYOND
extend,B2
lava,BEYOND
soil,B1
morning,A1
cling,C1
wall,A1
try,B2
nibble,BEYOND
bit,A2
biscuit,A2
long,A1
moan,BEYOND
escape,B1
swollen,BEYOND
lip,B1
time,B2
approach,B2
raise,A2
arm,C1
poor,A1
boy,A1
say,C1
genuine,B2
tone,B2
compassion,C1
touch,B1
word,A1
accustom,BEYOND
excitable,BEYOND
softened,BEYOND
mood,B1
grasp,C1
tremble,BEYOND
let,A1
hold,B2
look,A2
eye,A1
moistened,BEYOND
flask,BEYOND
hang,B1
amazement,BEYOND
place,B1
drink,A1
hear,A1
stare,B2
stupidly,BEYOND
feel,B2
understand,A1
empty,B1
infinite,BEYOND
pleasure,B1
slender,BEYOND
sip,BEYOND
come,A1
moisten,BEYOND
mouth,A1
recall,B2
ebb,BEYOND
life,A1
thank,A1
clasped,BEYOND
yes,A1
draught,BEYOND
keep,A1
precious,B2
treasure,B2
nay,BEYOND
fight,A2
frightful,BEYOND
impulse,BEYOND
dear,A2
whilst,C1
hot,A1
tear,B2
trickle,BEYOND
face,B1
know,A1
soon,A1
reanimate,BEYOND
partially,C1
quench,BEYOND
strength,B1
muscle,B1
contract,B2
relax,A1
inflammation,BEYOND
abate,BEYOND
somewhat,B2
able,A2
thing,A1
avoid,A2
head,B1
exclaim,BEYOND
vehemently,BEYOND
way,B2
climb,B1
crater,BEYOND
answer,A1
loss,B1
minute,C1
silence,B2
follow,A1
reply,A2
ironically,C1
courage,B2
energy,A2
feeble,BEYOND
minded,BEYOND
express,A2
sort,B1
scheme,B2
revolve,BEYOND
fearless,BEYOND
mind,A2
renounce,BEYOND
expedition,B1
fair,A2
chance,A2
success,A1
resign,B2
destruction,B2
leave,B2
tell,A1
undertake,B2
carry,A1
high,B2
state,B1
excitement,B1
voice,A2
moment,A1
tender,C1
gentle,B1
hard,A1
threatening,BEYOND
gloomy,BEYOND
resolution,B2
impossibility,BEYOND
bottomless,BEYOND
abyss,BEYOND
instinct,C1
self,B2
preservation,C1
prompt,B2
fly,A2
guide,A2
watch,A1
scene,A2
usual,A2
phlegmatic,BEYOND
unconcern,BEYOND
perfectly,B1
go,B1
companion,C1
gesture,B2
sufficient,B2
bent,B2
take,A1
different,A1
question,A2
depend,A2
ready,A1
give,A1
signal,B1
stay,A2
master,B2
will,B1
wish,A2
sorrow,BEYOND
influence,B1
frigid,BEYOND
danger,A2
demonstrate,B2
prove,B1
rule,B1
obstinate,BEYOND
professor,A2
need,B1
compel,C1
regain,C1
height,A2
draw,A1
near,A1
movement,A2
parted,BEYOND
sufficiently,B2
reveal,B2
icelander,BEYOND
slowly,A2
move,B1
calmly,BEYOND
point,B1
shout,A2
madman,BEYOND
drag,B2
seize,C1
rise,B1
strive,C1
interpose,BEYOND
calm,B1
immovable,BEYOND
servant,B1
listen,A1
proposal,B2
confront,C1
boldly,BEYOND
want,A1
obstacle,B2
eastern,B1
gallery,A2
schist,BEYOND
coal,B1
meet,A1
single,A2
particle,BEYOND
moisture,BEYOND
shall,A2
fortunate,B2
western,B1
tunnel,B2
shake,B1
incredulously,BEYOND
firm,B2
lie,B1
examine,B1
conformation,BEYOND
penetrate,BEYOND
directly,B1
downward,BEYOND
hour,A1
bring,A1
granite,BEYOND
rock,C1
abundant,BEYOND
spring,B1
assure,B2
agree,A1
logic,C1
support,A2
conviction,C1
ask,A1
ship,B2
crew,B2
discover,A2
new,A1
world,A1
disheartened,BEYOND
sick,A1
recognise,BEYOND
justice,B2
claim,B1
nether,BEYOND
swear,B2
surface,B1
earth,A2
spite,B2
irritation,BEYOND
violence,B2
make,B2
hazardous,BEYOND
reward,B2
superhuman,BEYOND
tempt,C1
descent,C1
commence,C1
walk,A1
custom,B1
yard,B1
lantern,BEYOND
cry,B2
primitive,BEYOND
right,A1
stage,B2
cool,B1
contraction,BEYOND
crust,BEYOND
disruption,C1
distortion,BEYOND
fissure,BEYOND
chasm,BEYOND
passage,B2
pour,B1
molten,BEYOND
thousand,A1
winding,BEYOND
form,A1
inextricable,BEYOND
labyrinth,BEYOND
primeval,BEYOND
mass,B2
fast,A1
descend,C1
succession,C1
bed,A1
foundation,B2
increase,A2
distinctness,BEYOND
geologist,BEYOND
consider,A2
matter,A2
base,B1
mineral,B2
ascertain,BEYOND
compose,B2
formation,B2
gneiss,BEYOND
mica,BEYOND
rest,A2
unchangeable,BEYOND
mineralogist,BEYOND
marvellous,BEYOND
situation,A1
study,A1
situ,BEYOND
bore,BEYOND
machine,A1
insensible,BEYOND
inert,BEYOND
instrument,A2
unable,B1
inner,B2
structure,B2
globe,B2
peruse,BEYOND
handle,B2
colour,A1
delicate,C1
shade,B2
green,A1
run,A2
wind,B2
course,A1
thread,C1
copper,C1
manganese,BEYOND
trace,C1
platinum,BEYOND
gold,A2
think,A1
rich,A1
bury,B1
unapproachable,BEYOND
depth,B2
hide,A2
covetous,BEYOND
human,A2
race,B1
profound,C1
convulsion,BEYOND
molest,BEYOND
pickaxe,BEYOND
spade,BEYOND
succeed,A2
stratify,BEYOND
remarkable,B2
parallelism,BEYOND
regularity,BEYOND
lamina,BEYOND
lay,B1
large,A1
plate,A2
flake,BEYOND
lamellated,BEYOND
sparkle,BEYOND
white,A1
shine,B1
light,A2
apparatus,C1
reflect,B1
small,A1
facet,BEYOND
quartz,BEYOND
shoot,C1
ray,C1
angle,B2
diamond,B1
quickly,A1
dart,BEYOND
break,A1
flash,B2
coruscation,BEYOND
brilliant,A2
fete,BEYOND
illumination,BEYOND
undergo,B2
sensible,B1
abatement,BEYOND
splendour,BEYOND
cease,C1
assume,B2
crystallised,BEYOND
sombre,BEYOND
appearance,A2
closely,B2
mingle,BEYOND
feldspar,BEYOND
proper,B1
rocky,BEYOND
crush,C1
weight,A2
terrestrial,BEYOND
system,A2
immure,BEYOND
prison,A2
evening,A1
sign,A2
appear,A2
suffer,B1
horribly,BEYOND
stride,BEYOND
refuse,A2
stop,A1
anxiously,BEYOND
murmur,BEYOND
distant,B2
beneath,C1
resist,B2
pain,A2
drive,A2
utterly,C1
utter,BEYOND
fall,A2
die,A1
retrace,BEYOND
step,B2
gaze,C1
mutter,BEYOND
pass,B1
fearful,BEYOND
rage,C1
close,B1
reopen,BEYOND
roll,B1
covering,BEYOND
asleep,A2
sleep,A2
keenly,BEYOND
embitter,BEYOND
thought,A2
remedy,C1
echo,C1
ear,A1
debility,BEYOND
madness,BEYOND
reach,B2
upper,B2
league,B2
shoulder,A2
weigh,B1
exhaust,BEYOND
imaginary,B1
violent,B1
exertion,BEYOND
turn,A1
round,B2
couch,BEYOND
away,A1
deep,B1
reign,C1
grave,BEYOND
sound,C1
thin,A2
mile,A1
thick,A2
midst,C1
stupefaction,BEYOND
aware,B1
noise,A2
dark,A2
vanish,C1
lamp,A2
forsake,BEYOND
parched,BEYOND
darkness,B2
far,B1
distance,A2
abandon,B2
terror,B2
ashamed,B2
suspect,B2
extraordinary,B2
faithfulness,BEYOND
instead,A2
ascend,BEYOND
evil,B2
design,A1
reflection,C1
calmness,BEYOND
weighty,BEYOND
motive,C1
induce,C1
quiet,A1
forfeit,BEYOND
journey,A1
discovery,A2
night,A1
catch,B2
murmuring,BEYOND
affect,A2
hearing,B2
work,A1
delirious,BEYOND
brain,A2
reason,A1
seemingly,C1
tranquil,BEYOND
huntsman,BEYOND
absurd,C1
notion,B2
confusion,B2
footstep,BEYOND
flicker,BEYOND
begin,A1
glimmer,BEYOND
darksome,BEYOND
gently,BEYOND
wake,A1
watten,BEYOND
doubt,B1
inspiration,C1
intense,B2
everybody,A1
endow,BEYOND
gift,A2
diver,BEYOND
tongue,B1
instinctively,BEYOND
clap,A1
gesticulate,BEYOND
repeat,B1
hunter,BEYOND
press,B1
