word,level
million,A1
lucky,A2
people,A1
opportunity,A2
witness,B2
unusual,A2
celestial,BEYOND
event,A1
special,A1
dark,A2
glass,A1
pinhole,BEYOND
camera,A1
device,A2
blind,B2
see,A1
rare,B1
annular,BEYOND
solar,B2
eclipse,BEYOND
kind,B1
take,A1
place,B1
close,B1
farthest,BEYOND
away,A1
completely,A2
cover,B1
mean,A1
peak,C1
phase,B2
rim,BEYOND
visible,B2
disk,BEYOND
last,A2
minute,C1
second,A2
duration,B2
exceed,B2
year,A1
subject,B2
fascinating,B1
topic,A1
learn,A1
volume,B2
early,A1
eye,A1
study,A1
annual,B2
pattern,A2
sky,A2
carefully,A2
accurate,B2
calendar,BEYOND
century,A1
egyptian,BEYOND
astronomer,BEYOND
formulate,C1
geocentric,BEYOND
earth,A2
center,BEYOND
model,B2
universe,B2
know,A1
ptolemaic,BEYOND
system,A2
polish,BEYOND
determine,B1
notion,B2
revolve,BEYOND
invalid,BEYOND
instead,A2
conclude,B1
planet,A2
actually,A2
orbit,BEYOND
caption,BEYOND
observer,B2
watch,A1
central,B1
stadium,B1
way,B2
prove,B1
idea,A1
invention,A2
telescope,BEYOND
revolutionary,C1
new,A1
piece,A1
technology,A2
allow,A2
italian,BEYOND
record,A2
movement,A2
different,A1
heavenly,BEYOND
body,A1
include,A1
moon,A2
observe,B2
finding,B2
pave,BEYOND
confirmation,C1
theory,B1
time,B2
get,A1
large,A1
powerful,B1
space,A1
recently,A2
reveal,B2
rocky,BEYOND
name,A1
believe,A1
small,A1
discover,A2
outside,A2
scientist,A1
deepen,BEYOND
understanding,A2
astronomy,BEYOND
cosmology,BEYOND
law,A2
use,A2
mathematic,BEYOND
physics,A2
discovery,A2
revolutionize,BEYOND
relativity,BEYOND
state,B1
part,A1
deep,B1
structure,B2
mass,B2
energy,A2
thing,A1
later,A2
develop,A2
big,A1
bang,BEYOND
accord,BEYOND
start,A2
billion,A2
ago,A1
sudden,B1
expansion,B2
matter,A2
antimatter,BEYOND
scientific,B1
test,A1
confirm,B1
validity,C1
book,A2
important,A1
advance,B2
science,A1
amateur,C1
play,A1
significant,B2
role,A2
need,B1
contribution,B2
proper,B1
tool,A2
knowledge,A2
sharp,B1
work,A1
independently,BEYOND
spot,B1
comet,BEYOND
come,A1
reach,B2
perihelion,BEYOND
distance,A2
spectacularly,BEYOND
naked,B2
widely,B2
beginning,A1
humankind,BEYOND
gaze,C1
heaven,B2
dawn,C1
history,A1
notice,A2
certain,A2
move,B1
orderly,BEYOND
predictable,B2
path,B1
ancient,A2
bear,B2
field,A2
atmosphere,B1
simple,A2
observation,B2
motion,B2
star,A2
pass,B1
advanced,B1
exotic,B2
collapse,B2
span,C1
age,B1
concentrate,B1
rise,B1
east,A1
set,B1
west,A1
night,A1
tiny,B1
point,B1
light,A2
stay,A2
relation,B1
fasten,B1
huge,A2
black,A1
globe,B2
surround,B2
travel,A1
go,B1
group,A1
stationary,BEYOND
wanderer,BEYOND
form,A1
hot,A1
gas,A2
dust,B1
nebula,BEYOND
major,A2
stellar,BEYOND
nursery,C1
sun,A1
probably,A1
similar,A1
environment,A2
separate,B1
image,A2
combine,B1
create,A1
mosaic,BEYOND
think,A1
position,B2
happen,A1
war,A2
birth,A2
death,A2
good,A2
fortune,B2
bad,A1
belief,B1
call,A1
astrology,BEYOND
long,A1
find,A1
astrologer,BEYOND
today,A1
look,A2
modern,A1
instrument,A2
basically,B2
clear,B1
day,A1
faint,BEYOND
usually,A1
circle,A2
sunlight,BEYOND
bounce,C1
far,B1
like,B1
bright,A2
shine,B1
broad,B2
strip,C1
dim,BEYOND
clustering,BEYOND
galaxy,BEYOND
enormous,A2
cluster,C1
member,A1
exist,A2
apparent,B2
westward,BEYOND
real,A1
cause,A2
rotate,C1
eastward,BEYOND
complete,A1
rotation,C1
hard,A1
vibration,BEYOND
car,A1
train,A2
freely,B2
rub,B2
vibrate,BEYOND
gentle,B1
uninhibited,BEYOND
friction,BEYOND
make,B2
appear,A2
horizon,C1
unprecedented,C1
view,B1
capture,B2
astronaut,BEYOND
carry,A1
circular,BEYOND
wavy,BEYOND
accompany,B2
diameter,BEYOND
revolution,B2
tilt,BEYOND
axis,BEYOND
relative,B1
account,B1
change,A1
season,A2
northern,B1
half,A2
tip,B1
experience,B1
summer,A1
winter,A1
month,A1
reverse,C1
round,B2
thin,A2
curved,B2
sliver,BEYOND
occur,B1
surface,B1
face,B1
entire,B2
halfway,C1
location,B1
quarter,A1
terrify,B2
disappear,A2
normally,A2
understand,A1
eventually,B1
reason,A1
lunar,BEYOND
previously,B1
partly,B2
result,B1
cast,B2
shadow,B2
similarly,B1
totally,B1
daytime,BEYOND
block,B1
temporarily,B2
irregularly,BEYOND
plane,A1
slightly,B1
intersect,BEYOND
angle,B2
degree,A2
line,B2
throw,A2
lie,B1
directly,B1
darken,BEYOND
gradually,B2
hour,A1
remain,B1
dimly,BEYOND
refract,BEYOND
bend,B1
leave,B2
interestingly,BEYOND
partial,C1
easily,A2
indicate,B1
approximately,B1
spherical,BEYOND
successive,C1
right,A1
left,A1
copyright,C1
rendering,BEYOND
edition,B2
fall,A2
dramatic,B2
spectacle,C1
consist,B1
umbra,BEYOND
