word,level
way,B2
plant,A2
like,B1
live,B1
organism,BEYOND
bear,B2
grow,A1
develop,A2
reproduce,C1
animal,A1
human,A2
play,A1
vital,B2
role,A2
sustain,C1
environment,A2
number,A2
life,A1
process,B2
set,B1
apart,B1
thing,A1
book,A2
detail,B2
habit,A2
survival,B2
method,A2
range,B1
simply,B1
curious,B2
truly,B2
remarkable,B2
consider,A2
create,A1
joining,BEYOND
parent,A1
male,A2
sex,B1
cell,B2
female,A2
reproduction,C1
depend,A2
matter,A2
leave,B2
stem,C1
break,A1
cut,B1
purpose,A2
naturally,B1
underground,A2
case,A2
tuber,BEYOND
bulb,BEYOND
capable,B2
sprout,BEYOND
root,B2
give,A1
birth,A2
new,A1
independent,A2
water,B1
especially,A2
true,A1
lot,A1
blood,A2
carry,A1
nutrient,BEYOND
molecule,BEYOND
alive,A2
organ,B2
heart,A2
system,A2
instead,A2
rely,B2
transpiration,BEYOND
diffusion,BEYOND
allow,A2
reach,B2
constantly,B2
lose,A1
sweat,BEYOND
tiny,B1
opening,B2
cause,A2
low,B2
concentration,B2
leaf,B1
respond,A2
draw,A1
soil,B1
interior,C1
high,B2
level,B1
salt,A1
sugar,A1
plentiful,BEYOND
outside,A2
membrane,BEYOND
short,A1
supply,B1
inside,A2
discussion,A2
complete,A1
mention,B1
photosynthesis,BEYOND
use,A2
sunlight,BEYOND
carbon,B2
dioxide,BEYOND
mineral,B2
food,A1
benefit,B1
creature,B2
include,A1
eat,A1
absorb,B2
extend,B2
eater,BEYOND
know,A1
chain,B1
result,B1
release,B1
oxygen,B2
atmosphere,B1
need,B1
lavender,BEYOND
bloom,BEYOND
foot,A1
tree,A1
important,A1
ecosystem,BEYOND
natural,A1
dead,A2
make,B2
rich,A1
robust,C1
typically,B1
care,A2
vegetation,BEYOND
source,A2
likewise,B2
people,A1
overlook,C1
flower,A1
young,B1
day,A1
truth,B1
valuable,B1
wondrous,BEYOND
worthy,C1
careful,A2
consideration,B2
continue,A2
produce,B2
call,A1
sexual,B1
asexual,BEYOND
involve,A2
union,B1
different,A1
occur,B1
type,B1
moss,BEYOND
liverwort,BEYOND
example,A1
contain,A2
fragment,B2
gemmae,BEYOND
cuplike,BEYOND
structure,B2
gemma,BEYOND
loose,B2
germinate,BEYOND
establish,B2
genetically,BEYOND
identical,B2
vascular,BEYOND
specialized,C1
tissue,B2
form,A1
vegetative,BEYOND
proper,B1
condition,A2
piece,A1
individual,A2
runner,A2
stolon,BEYOND
vegetatively,BEYOND
run,A2
ground,A2
erect,C1
curve,B2
touch,B1
tip,B1
strawberry,BEYOND
disturb,B2
offshoot,BEYOND
garden,A1
efficiently,B2
seed,B1
advantage,A2
large,A1
rapidly,B2
potato,A1
small,A1
weak,A2
actually,A2
fleshy,BEYOND
reserve,B2
starch,BEYOND
strong,A1
fast,A1
enable,B2
spread,B1
quickly,A1
area,A1
surround,B2
weed,C1
difficult,A1
control,A2
addition,B1
bud,BEYOND
corm,BEYOND
vertical,B2
rhizome,BEYOND
