word,level
year,A1
king,A2
people,A1
fight,A2
night,A1
magician,BEYOND
dream,A2
morning,A1
wonderful,A1
find,A1
make,B2
magic,B1
stone,A2
put,A1
sword,C1
true,A1
pull,B1
shall,A2
try,B2
boy,A1
son,A1
let,A1
good,A2
laugh,A1
hard,A1
new,A1
know,A1
suddenly,A2
afraid,A1
help,A1
day,A1
important,A1
come,A1
young,B1
half,A2
sister,A1
future,A2
teach,A1
strong,A1
soldier,A2
visit,A1
lord,B2
fast,A1
man,A1
arrive,A1
long,A1
battle,B1
hour,A1
later,A2
dead,A2
win,B1
castle,A2
eat,A1
drink,A1
food,A1
everybody,A1
daughter,A1
nice,A1
meet,A1
talk,A2
evening,A1
want,A1
marry,A2
dark,A2
choose,A1
build,A1
speak,A1
matter,A2
leave,B2
lose,A1
look,A2
water,B1
need,B1
thank,A1
careful,A2
break,A1
goodbye,A1
week,A1
luck,A2
stand,B2
unhappy,A2
give,A1
large,A1
round,B2
table,A1
knight,BEYOND
sit,A1
country,A1
competition,A2
today,A1
different,A1
beat,B2
face,B1
watch,A1
yes,A1
dear,A2
soon,A1
happy,A1
friend,A1
village,A1
lot,A1
fighting,B1
ride,A2
beautiful,A1
flower,A1
hello,A1
like,B1
stay,A2
friendly,A1
mother,A1
die,A1
brother,A1
bad,A1
tell,A1
worry,B1
story,A1
listen,A1
excitedly,BEYOND
course,A1
say,C1
love,A1
wife,A1
kill,A2
understand,A1
away,A1
quickly,A1
town,A1
begin,A1
bye,A1
ready,A1
time,B2
think,A1
queen,A2
prison,A2
forget,A1
sleep,A2
tomorrow,A1
wait,A2
old,A1
crown,C1
traitor,BEYOND
see,A1
snake,A1
quick,A1
start,A2
happen,A1
throw,A2
hand,B1
