word,level
introduction,A2
like,B1
field,A2
academic,B1
study,A1
science,A1
evolve,B2
time,B2
practitioner,C1
new,A1
discovery,A2
build,A1
predecessor,C1
practice,A1
produce,B2
long,A1
convoluted,BEYOND
history,A1
scientific,B1
advance,B2
century,A1
fill,A1
countless,C1
start,A2
stop,A1
fact,A1
old,A1
write,A1
early,A1
human,A2
participate,B1
nascent,BEYOND
endeavour,C1
track,B2
movement,A2
note,B1
affect,A2
life,A1
phenomenon,B2
fluctuation,BEYOND
day,A1
light,A2
season,A2
recognition,B2
cosmic,BEYOND
regularity,BEYOND
truly,B2
enterprise,C1
require,B1
investigation,B2
cause,A2
observe,B2
natural,A1
sapiens,BEYOND
content,C1
simply,B1
chalk,BEYOND
agency,B2
whim,BEYOND
god,A2
record,A2
activity,A1
importance,B1
european,BEYOND
megalithic,BEYOND
structure,B2
erect,C1
bce,BEYOND
massive,B2
rock,C1
formation,B2
appear,A2
serve,A2
religious,B1
astronomical,BEYOND
purpose,A2
religion,B1
astronomy,BEYOND
practically,BEYOND
interchangeable,BEYOND
civilization,B2
include,A1
heavenly,BEYOND
object,B2
understandably,BEYOND
assume,B2
direct,B1
work,A1
deity,BEYOND
pre,BEYOND
technological,B2
fusion,BEYOND
lead,B1
follow,A1
year,A1
ritual,C1
dimension,C1
base,B1
help,A1
stimulate,B2
rise,B1
mathematic,BEYOND
astronomer,BEYOND
develop,A2
plot,B1
later,A2
predict,A2
regular,A2
star,A2
planet,A2
ancient,A2
derive,B2
math,BEYOND
create,A1
accurate,B2
calendar,BEYOND
thoroughly,B2
integrate,B2
complex,B1
chinese,BEYOND
bureaucracy,C1
millennium,BEYOND
need,B1
detailed,B2
give,A1
precise,B2
observation,B2
lay,B1
groundwork,BEYOND
emphasis,B2
practicality,BEYOND
landmark,C1
development,B1
medicine,A2
geology,BEYOND
geography,A1
alchemy,BEYOND
locale,BEYOND
notable,C1
practical,B1
aspect,B2
live,B1
region,A2
dependent,B2
harness,BEYOND
river,A1
avoid,A2
storm,A2
flood,B1
invader,BEYOND
plague,BEYOND
area,A1
stable,B2
society,A2
unpredictable,BEYOND
environment,A2
feed,B2
advancement,BEYOND
inhabitant,B2
necessity,B2
mother,A1
invention,A2
great,A1
stride,BEYOND
noteworthy,BEYOND
algebra,BEYOND
elaborately,BEYOND
describe,A1
mesopotamian,BEYOND
theretofore,BEYOND
unrecorded,BEYOND
description,A1
nature,A2
lack,B1
reason,A1
proper,B1
instead,A2
see,A1
function,B1
magic,B1
attempt,B2
find,A1
explanation,A2
outside,A2
arbitrary,C1
key,B1
different,A1
approach,B2
relationship,A2
greek,BEYOND
contain,A2
oft,BEYOND
childish,BEYOND
know,A1
well,C1
interact,B2
interaction,B2
collect,A2
essentially,B2
folk,B1
tale,B2
primarily,B2
literary,B2
intend,B1
answer,A1
people,A1
question,A2
place,B1
world,A1
easy,A1
theological,BEYOND
underpin,BEYOND
thinker,BEYOND
rely,B2
reasoning,C1
contemplate,C1
result,B1
advent,BEYOND
philosophy,B2
precursor,BEYOND
modern,A1
traditionally,BEYOND
consider,A2
philosopher,C1
theorize,BEYOND
state,B1
water,B1
theory,B1
especially,A2
propose,B2
rationality,BEYOND
supernatural,BEYOND
govern,B2
fundamental,B2
characteristic,B2
universe,B2
order,A1
part,A1
grand,B2
scheme,B2
thing,A1
notion,B2
