word,level
wake,A1
morning,A1
probably,A1
flick,BEYOND
light,A2
maybe,A1
pop,C1
toast,BEYOND
toaster,BEYOND
check,A2
mail,A2
computer,A1
late,A1
news,A1
smartphone,A2
discover,A2
volume,B2
science,A1
physics,A2
make,B2
part,A1
ritual,C1
possible,A1
natural,A1
overlap,BEYOND
fundamental,B2
knowledge,A2
base,B1
challenge,B1
precisely,B2
distinguish,B2
field,A2
essentially,B2
concern,B2
nature,A2
matter,A2
basic,B1
component,B2
energy,A2
universe,B2
interact,B2
relate,B1
scientific,B1
major,A2
subdivision,BEYOND
mechanic,B2
motion,B2
object,B2
act,B1
force,B1
static,BEYOND
study,A1
rest,A2
division,B2
include,A1
optic,BEYOND
acoustic,BEYOND
thermodynamic,BEYOND
electricity,A2
try,B2
understand,A1
physical,A2
world,A1
physicist,BEYOND
attempt,B2
determine,B1
invariable,BEYOND
law,A2
excellent,A2
example,A1
gravitation,BEYOND
state,B1
particle,BEYOND
attract,B1
masse,BEYOND
distance,A2
essential,B1
topic,A1
unify,C1
branch,B1
establish,B2
unit,A2
measure,B1
apply,A2
interaction,B2
significant,B2
work,A1
come,A1
scientist,A1
experiment,B1
fall,A2
pioneer,C1
variety,A2
area,A1
result,B1
discovery,A2
newtonian,BEYOND
cover,B1
great,A1
deal,B1
ground,A2
puzzle,B2
new,A1
question,A2
find,A1
travel,A1
like,B1
wave,B1
support,A2
propose,B2
revolutionary,C1
theory,B1
relativity,BEYOND
help,A1
illuminate,BEYOND
flaw,C1
provide,A2
explanation,A2
behavior,BEYOND
show,A1
certain,A2
concept,B2
space,A1
time,B2
gravity,C1
radically,BEYOND
redefine,BEYOND
important,A1
heat,A2
early,A1
century,A1
begin,A1
substance,B1
previously,B1
believe,A1
instead,A2
kinetic,BEYOND
molecular,BEYOND
explain,A1
generate,B2
molecule,BEYOND
compose,B2
accord,BEYOND
transmit,B2
absorb,B2
quantity,A2
radiant,BEYOND
actually,A2
transfer,B2
precise,B2
small,A1
divide,B1
know,A1
quantum,BEYOND
slow,B1
develop,A2
evidence,A2
widespread,B2
ancient,A2
people,A1
familiar,B1
aspect,B2
magnetic,C1
stone,A2
lightning,BEYOND
eventually,B1
electrical,A2
activity,A1
source,A2
intimately,BEYOND
magnetism,BEYOND
electromagnetism,BEYOND
controversy,B2
argument,A2
view,B1
ray,C1
stream,B2
idea,A1
postulate,BEYOND
easy,A1
task,A2
reach,B2
conclusion,B1
argue,A2
issue,B1
year,A1
atomic,BEYOND
subatomic,BEYOND
level,B1
demonstrate,B2
characteristic,B2
dominate,B2
modern,A1
crucial,B2
comprehension,BEYOND
single,A2
encompass,C1
phenomenon,B2
astounding,BEYOND
breakthrough,C1
principle,B2
evident,B2
action,A1
kick,B1
ball,A1
instance,B2
exemplify,BEYOND
second,A2
way,B2
live,B1
exist,A2
have,A2
brilliant,A2
steady,B2
electric,A2
read,A1
candle,B2
oil,A2
lamp,A2
well,C1
flicker,BEYOND
gaslight,BEYOND
building,A1
story,A1
high,B2
hope,A2
erect,C1
possibly,B1
bridge,A2
build,A1
jet,B2
plane,A1
use,A2
cell,B2
phone,A1
watch,A1
television,A1
personal,A1
unimaginable,BEYOND
exact,A2
distinction,C1
general,A2
pertain,BEYOND
class,A1
underlie,BEYOND
figure,B2
prominently,BEYOND
design,A1
construction,B2
structure,B2
depend,A2
foundation,B2
atom,BEYOND
reveal,B2
join,A1
large,A1
chemist,BEYOND
guide,A2
chemical,B1
compound,B2
one,A1
biologist,BEYOND
medical,A2
researcher,BEYOND
turn,A1
chemistry,A2
tissue,B2
drug,A2
treatment,B1
furthermore,B2
equipment,A2
microscope,BEYOND
radioactivity,BEYOND
originally,B1
solid,B1
liquid,B1
gas,A2
achievement,B1
call,A1
dynamic,C1
balancing,BEYOND
resistance,C1
problem,A1
different,A1
kind,B1
sound,C1
thermodynamics,BEYOND
relationship,A2
temperature,A2
clue,B1
construct,B2
react,A2
basis,B1
electronic,A2
nuclear,B1
physic,BEYOND
ordinary,A2
shaft,BEYOND
illustrate,B2
numerous,B2
dedicate,BEYOND
british,BEYOND
transistor,BEYOND
revolution,B2
instrumental,C1
get,A1
think,A1
method,A2
real,A1
beginning,A1
ago,A1
impressive,B1
triumph,C1
application,B1
astronomy,BEYOND
planet,A2
star,A2
illustration,B2
reflect,B1
telescope,BEYOND
contribution,B2
govern,B2
swinging,BEYOND
pendulum,BEYOND
weight,A2
suspend,B2
wire,B2
swing,C1
forth,C1
influence,B1
shortly,B2
finally,A2
invariably,BEYOND
grain,B1
sand,B1
vast,B2
range,B1
inspire,B2
worker,A1
trust,B2
understanding,A2
greatly,B2
aid,B2
advance,B2
technology,A2
instrument,A2
clock,A1
barometer,BEYOND
pressure,B1
atmosphere,B1
invent,A2
improve,A1
development,B1
give,A1
powerful,B1
spacecraft,BEYOND
telephone,A1
owe,B2
existence,B2
condense,BEYOND
internal,B2
property,B1
electronics,B2
nucleus,BEYOND
dense,C1
core,B2
special,A1
radiation,B2
unstable,BEYOND
reaction,B1
release,B1
power,B2
plant,A2
weapon,B1
closely,B2
describe,A1
prominent,C1
express,A2
mathematical,C1
form,A1
serve,A2
later,A2
measurement,B2
calculation,C1
gravitational,BEYOND
attraction,B1
separate,B1
mass,B2
multiply,B2
pull,B1
diminish,C1
square,A2
double,B1
fourth,A1
short,A1
formula,C1
universal,B2
constant,B2
plan,A1
path,B1
shuttle,BEYOND
answer,A1
host,B1
galaxy,BEYOND
today,A1
correction,C1
courtesy,C1
culture,A1
curiosity,C1
patient,B2
observation,B2
pattern,A2
prediction,B1
notice,A2
rise,B1
soon,A1
flood,B1
practical,B1
importance,B1
flooding,BEYOND
agriculture,B2
tool,A2
difficulty,B1
content,C1
obtain,B2
generally,B1
discontented,BEYOND
simple,A2
gain,B2
experience,B1
seek,B2
deep,B1
rational,C1
place,B1
secret,A2
accessible,C1
human,A2
intellect,BEYOND
belief,B1
lack,B1
good,A2
experimental,C1
lead,B1
reason,A1
test,A1
variable,C1
involve,A2
control,A2
accurately,B2
american,BEYOND
charge,B1
carry,A1
electron,BEYOND
negatively,BEYOND
thousand,A1
microscopic,BEYOND
droplet,BEYOND
keep,A1
dance,A1
vacuum,C1
oppositely,BEYOND
metal,A2
plate,A2
conduct,B2
formulate,C1
play,A1
role,A2
advancement,BEYOND
compare,A1
outcome,B2
predict,A2
reliably,BEYOND
say,C1
embody,C1
need,B1
change,A1
limit,B1
replace,A2
necessary,A2
naturally,B1
thinker,BEYOND
arrive,A1
opinion,A1
passionately,BEYOND
beauty,B1
symmetry,BEYOND
simplicity,BEYOND
useful,A1
objective,B2
right,A1
proposition,C1
elementary,B2
basically,B2
correct,A1
overthrow,BEYOND
center,BEYOND
abandon,B2
simply,B1
sufficient,B2
detail,B2
meaningful,C1
progress,B2
attack,A2
specific,A2
define,B1
let,A1
formulation,BEYOND
wait,A2
warrant,C1
bust,BEYOND
subject,B2
tremendous,C1
win,B1
considerable,B2
type,B1
separately,BEYOND
pass,B1
anybody,A2
gather,B1
survey,B2
proceed,B2
consider,A2
enter,A2
consistent,B2
practice,A1
hold,B2
body,A1
primitive,BEYOND
maintain,B2
learn,A1
bow,C1
arrow,B2
mechanical,B2
device,A2
stick,B1
lever,BEYOND
wheel,A2
machine,A1
bce,BEYOND
side,A2
nearly,A2
length,B1
corner,A2
angle,B2
require,B1
measuring,BEYOND
skill,A1
formalize,BEYOND
able,A2
pyramid,BEYOND
precision,C1
grasp,C1
greek,BEYOND
philosopher,C1
write,A1
treatise,BEYOND
dominant,B2
authority,B1
contain,A2
prove,B1
valid,B2
wrong,B1
famous,A1
statement,A1
heavy,A2
incorrect,B2
buoyancy,BEYOND
float,B2
sink,B1
fluid,C1
pulley,BEYOND
number,A2
italian,BEYOND
open,A1
door,A1
entirely,B2
age,B1
pulse,C1
chandelier,BEYOND
cathedral,BEYOND
take,A1
size,A2
improvement,B1
water,B1
contradiction,C1
claim,B1
exactly,A2
speed,B2
air,A1
friction,BEYOND
discount,B1
movement,A2
rub,B2
accelerate,C1
roll,B1
incline,BEYOND
lay,B1
insist,B2
careful,A2
mere,C1
appearance,A2
english,BEYOND
friar,BEYOND
nonetheless,C1
father,A1
devise,C1
critical,B2
conviction,C1
contradict,BEYOND
gradient,BEYOND
die,A1
bear,B2
mirror,A2
focus,A2
solar,B2
system,A2
celebrated,BEYOND
conclude,B1
invisible,C1
comparatively,BEYOND
expression,A2
discuss,A1
chapter,B1
operate,B2
vary,B2
impact,B1
mathematic,BEYOND
treat,B1
discoverer,BEYOND
calculus,BEYOND
firm,B2
remain,B1
motionless,BEYOND
uniform,A2
straight,A2
line,B2
happen,A1
produce,B2
publish,A2
relation,B1
push,B1
move,B1
likewise,B2
cause,A2
direction,A2
perfect,A1
french,BEYOND
hit,A2
tennis,A1
racket,BEYOND
exert,C1
equal,B1
magnitude,C1
opposite,A1
success,A1
reasoning,C1
classical,A2
remarkably,B2
successful,A2
account,B1
fact,A1
adequately,B2
effect,A2
integrate,B2
mature,C1
member,A1
family,A1
complex,B1
combination,B2
dimension,C1
velocity,BEYOND
fast,A1
acceleration,BEYOND
rate,B2
strength,B1
proportional,BEYOND
person,A1
strong,A1
massive,B2
word,A1
sudden,B1
backward,BEYOND
player,A1
feel,B2
shock,B2
complete,A1
speculation,B2
premature,BEYOND
scottish,BEYOND
remarkable,B2
finding,B2
raise,A2
ocean,A2
consist,B1
vibration,BEYOND
tiny,B1
vibrate,BEYOND
point,B1
ether,BEYOND
supposedly,C1
spread,B1
interfere,C1
drift,C1
extremely,A2
detect,B2
sign,A2
surprising,A2
mean,A1
thing,A1
expect,A2
slightly,B1
value,B1
add,A1
subtract,BEYOND
similar,A1
situation,A1
passenger,A2
train,A2
mile,A1
hour,A1
shoot,C1
observer,B2
stand,B2
track,B2
sum,B2
behave,A2
kilometer,BEYOND
evidently,BEYOND
plus,B1
recast,BEYOND
stationary,BEYOND
location,B1
target,B2
case,A2
respectively,C1
commonsense,BEYOND
addition,B1
laser,C1
beam,C1
struggle,B2
solution,A2
realm,C1
equation,C1
true,A1
absolute,B2
assume,B2
identical,B2
relative,B1
entity,C1
material,B2
approach,B2
draw,A1
startling,BEYOND
contrary,C1
everyday,A2
run,A2
slowly,A2
life,A1
difference,A1
unnoticeable,BEYOND
low,B2
match,A1
beautifully,BEYOND
suppose,A2
twin,A2
fly,A2
distant,B2
return,A1
young,B1
leave,B2
strange,A2
derive,B2
long,A1
elegant,B2
overturn,C1
missile,C1
choice,A2
equivalent,B2
enormous,A2
bomb,B1
split,B2
afterward,BEYOND
total,C1
miss,BEYOND
convert,B2
huge,A2
circumstance,B2
depart,B2
significantly,B2
especially,A2
arise,B2
shape,B2
bend,B1
difficult,A1
visualize,BEYOND
analogy,C1
insight,B2
rubber,B2
sheet,A2
flat,A2
imagine,A1
bowling,BEYOND
represent,B1
curve,B2
create,A1
cuplike,BEYOND
depression,B2
marble,BEYOND
near,A1
slope,B2
sideways,BEYOND
orbit,BEYOND
close,B1
far,B1
relativistic,BEYOND
particularly,B1
helpful,A2
model,B2
entire,B2
regard,B2
largely,B2
mistaken,BEYOND
element,B1
analyze,BEYOND
flow,B1
endure,C1
sort,B1
caloric,BEYOND
constantly,B2
disprove,BEYOND
weigh,B1
hot,A1
cold,A1
correspond,C1
group,A1
transform,B2
bullet,B2
strike,B2
piece,A1
wood,A2
confirm,B1
satisfactory,BEYOND
emit,BEYOND
stimulate,B2
poker,BEYOND
plunge,C1
cool,B1
warm,B1
random,B2
individual,A2
average,B1
bring,A1
continue,A2
stop,A1
bowl,A2
soup,A1
counter,C1
gradually,B2
cease,C1
surround,B2
infinitely,BEYOND
amount,B2
german,BEYOND
send,A1
reradiate,BEYOND
wavelength,BEYOND
infrared,BEYOND
visible,B2
ultraviolet,BEYOND
particular,A2
distribution,B2
observe,B2
divisible,BEYOND
unquestionably,BEYOND
accurate,B2
accept,A2
indivisible,BEYOND
rank,B2
cornerstone,BEYOND
quanta,BEYOND
association,B2
optical,C1
shadow,B2
rainbow,BEYOND
fire,B1
reflection,C1
refraction,BEYOND
bending,BEYOND
go,B1
lense,BEYOND
dutch,BEYOND
optician,BEYOND
name,A1
moon,A2
sunspot,BEYOND
rotation,C1
stride,BEYOND
biological,B2
eel,BEYOND
amber,BEYOND
fur,B1
bit,A2
straw,BEYOND
occurrence,C1
sight,B1
hearing,B2
interested,A1
date,B2
love,A1
music,A1
musical,B1
pitch,B2
mathematician,BEYOND
founder,B2
investigate,B1
stringed,BEYOND
roman,BEYOND
architectural,C1
engineer,A2
series,A2
circular,BEYOND
throw,A2
widen,C1
sphere,C1
compression,BEYOND
region,A2
crowd,A2
apart,B1
usual,A2
guitar,A1
string,B1
pluck,BEYOND
elastic,BEYOND
neglect,C1
receive,A2
attention,A2
electrify,BEYOND
silk,B2
indicate,B1
repel,BEYOND
excess,C1
deficiency,C1
positive,B2
negative,B2
tend,B1
occur,B1
discharge,C1
thunderstorm,BEYOND
period,A1
experimenter,BEYOND
hamper,BEYOND
unite,B2
instantly,B2
announce,B1
battery,B1
direct,B1
current,B1
invention,A2
research,A2
unprecedented,C1
degree,A2
break,A1
dissolve,C1
process,B2
electrolysis,BEYOND
vice,C1
versa,BEYOND
highly,B1
unified,BEYOND
framework,B2
theorize,BEYOND
electromagnetic,BEYOND
pioneering,BEYOND
image,A2
deliberately,B2
radio,A1
fit,C1
microwave,BEYOND
gamma,BEYOND
spectrum,C1
perform,A2
downward,BEYOND
rage,C1
supporter,B1
bright,A2
cancel,B2
darkness,B2
interference,C1
convince,B1
phase,B2
revive,C1
drive,A2
unable,B1
photoelectric,BEYOND
solve,A2
surface,B1
photon,BEYOND
directly,B1
frequency,B2
wavelike,BEYOND
sense,B2
knock,B1
block,B1
clear,B1
free,B2
conductor,BEYOND
connect,A2
electrically,BEYOND
neutral,B2
realize,A2
danish,BEYOND
positively,BEYOND
coexist,BEYOND
orbital,BEYOND
allow,A2
stable,B2
suddenly,A2
definite,B1
suggest,A2
accomplish,B2
outgrowth,BEYOND
scale,B2
impossible,A2
simultaneously,C1
position,B2
associate,B2
likely,A2
undulation,BEYOND
intense,B2
term,B2
randomness,BEYOND
probability,B2
forefront,BEYOND
bond,B2
stabilize,C1
collapse,B2
product,A1
enable,B2
differently,A2
unusual,A2
downright,BEYOND
bizarre,C1
conflict,B2
common,A1
notion,B2
course,A1
famously,BEYOND
fail,A2
indeterminacy,BEYOND
uncertainty,B2
indisputable,BEYOND
extraordinarily,BEYOND
ultimate,B2
aim,B1
set,B1
completely,A2
achieve,A2
ambitious,B1
goal,A2
notable,C1
extent,B2
appear,A2
start,A2
nonmicroscopic,BEYOND
modify,B2
proton,BEYOND
neutron,BEYOND
grapple,BEYOND
unknown,B2
rely,B2
