word,level
topic,A1
european,BEYOND
history,A1
focus,A2
great,A1
kingdom,C1
republic,C1
modern,A1
war,A2
consume,B1
theme,B1
important,A1
prominent,C1
year,A1
long,A1
period,A1
prehistoric,BEYOND
ancient,A2
medieval,C1
development,B1
neatly,BEYOND
divide,B1
country,A1
individual,A2
culture,A1
fact,A1
relative,B1
cultural,B1
homogeneity,BEYOND
time,B2
evolve,B2
diversity,B2
thousand,A1
book,A2
examine,B1
early,A1
lead,B1
emergence,C1
continent,A2
powerful,B1
nation,B1
state,B1
exert,C1
influence,B1
globe,B2
archaeological,BEYOND
evidence,A2
discover,A2
century,A1
show,A1
anatomically,BEYOND
human,A2
live,B1
call,A1
prior,B2
appearance,A2
archaic,BEYOND
colloquially,BEYOND
know,A1
caveman,BEYOND
roam,BEYOND
survive,B1
mainly,B1
hunt,B1
scavenge,BEYOND
meat,A1
dead,A2
animal,A1
simple,A2
stone,A2
tool,A2
chop,B2
cut,B1
contrast,B1
sophisticated,B2
notably,C1
flint,BEYOND
bone,A2
antler,BEYOND
migrate,BEYOND
south,A1
build,A1
permanent,B2
home,A2
small,A1
game,A1
bury,B1
produce,B2
art,A1
form,A1
jewelry,BEYOND
representational,BEYOND
figure,B2
similar,A1
piece,A1
find,A1
suggest,A2
social,A2
grouping,BEYOND
alliance,C1
group,A1
undoubtedly,C1
aid,B2
survival,B2
people,A1
begin,A1
invent,A2
trapping,BEYOND
net,C1
hook,C1
warm,B1
climate,A2
allow,A2
benefit,B1
increase,A2
available,A2
plant,A2
life,A1
consumption,B2
follow,A1
millennium,BEYOND
depend,A2
location,B1
adopt,B2
agriculture,B2
farmer,A1
cultivate,C1
flax,BEYOND
wheat,B2
barley,BEYOND
area,A1
introduction,A2
late,A1
agricultural,C1
innovation,B2
include,A1
keep,A1
herd,BEYOND
provide,A2
milk,A1
wool,B1
labour,B2
implementation,C1
irrigation,BEYOND
system,A2
socially,BEYOND
burial,C1
indicate,B1
prestige,BEYOND
accord,BEYOND
male,A2
material,B2
wealth,B2
common,A1
language,A1
belong,A2
indo,BEYOND
stretch,B2
possible,A1
explanation,A2
relate,B1
invasion,B2
migration,C1
draw,A1
close,B1
society,A2
metal,A2
independent,A2
advance,B2
copper,C1
iron,B1
bring,A1
significant,B2
change,A1
physical,A2
record,A2
object,B2
leave,B2
status,B2
symbol,A2
chief,B2
use,A2
appear,A2
adornment,BEYOND
millaran,BEYOND
southeastern,BEYOND
useful,A1
making,B2
bronze,BEYOND
alloy,BEYOND
tin,B1
practical,B1
regard,B2
uniform,A2
necessarily,B1
advanced,B1
item,A2
dagger,BEYOND
lur,BEYOND
hollow,B2
musical,B1
