word,level
hard,A1
imagine,A1
life,A1
antibiotic,BEYOND
yearly,BEYOND
visit,A1
doctor,A1
time,B2
rare,B1
event,A1
undertake,B2
dire,BEYOND
emergency,B1
evolve,B2
effort,B1
thinker,BEYOND
physician,C1
scientist,A1
course,A1
human,A2
history,A1
medical,A2
industry,A2
rely,B2
today,A1
modern,A1
knowledge,A2
deep,B1
root,B2
originate,C1
early,A1
civilization,B2
medicine,A2
advance,B2
understanding,A2
science,A1
grow,A1
ancient,A2
use,A2
herb,B2
plant,A2
base,B1
substance,B1
treat,B1
illness,A2
medieval,C1
christian,BEYOND
monk,C1
study,A1
medicinal,BEYOND
tend,B1
monastery,BEYOND
garden,A1
invention,A2
compound,B2
microscope,BEYOND
sixteenth,BEYOND
century,A1
allow,A2
actually,A2
small,A1
part,A1
body,A1
bring,A1
new,A1
working,A2
microorganism,BEYOND
cause,A2
unseen,BEYOND
world,A1
benefit,B1
develop,A2
increasingly,B2
sophisticated,B2
heal,B2
eradicate,BEYOND
certain,A2
disease,A2
similar,A1
story,A1
apply,A2
field,A2
surgery,B2
general,A2
practice,A1
pathology,BEYOND
rest,A2
foundation,B2
stretch,B2
art,A1
prevent,A2
alleviate,BEYOND
cure,B2
old,A1
professional,B2
calling,BEYOND
healer,BEYOND
vary,B2
degree,A2
skill,A1
seek,B2
restore,B2
health,A1
relieve,B2
distress,C1
sick,A1
injure,B1
mean,A1
little,A2
offer,A2
sympathy,B2
patient,B2
nature,A2
take,A1
practitioner,C1
millennium,BEYOND
care,A2
tribal,C1
shaman,BEYOND
philosopher,C1
try,B2
understand,A1
church,A2
role,A2
healing,BEYOND
ascribe,BEYOND
spiritual,B2
component,B2
process,B2
veer,BEYOND
away,A1
religious,B1
structure,B2
turn,A1
rational,C1
inquiry,BEYOND
school,A1
establish,B2
dissection,BEYOND
experimentation,BEYOND
central,B1
twentieth,BEYOND
technology,A2
expand,B1
begin,A1
form,A1
deductive,BEYOND
reasoning,C1
come,A1
call,A1
scientific,B1
method,A2
datum,BEYOND
result,B1
accurate,B2
identification,C1
promising,B2
theory,B1
thank,A1
long,A1
discovery,A2
innovation,B2
hospital,A1
center,BEYOND
large,A1
equip,B2
key,B1
provider,BEYOND
country,A1
order,A1
meet,A1
rigorous,BEYOND
educational,B1
ethical,B2
standard,B1
license,C1
undergo,B2
intensive,C1
schooling,BEYOND
case,A2
postgraduate,BEYOND
training,A2
devise,C1
combat,C1
injury,A2
rife,BEYOND
challenge,B1
victory,B2
vast,B2
support,A2
continue,A2
improve,A1
humankind,BEYOND
desire,B2
know,A1
evidence,A2
attempt,B2
predate,BEYOND
write,A1
record,A2
skull,B2
find,A1
date,B2
far,B1
bce,BEYOND
show,A1
trepan,BEYOND
removal,C1
portion,B2
bone,A2
uncommon,BEYOND
operation,B1
perform,A2
people,A1
include,A1
probably,A1
release,B1
evil,B2
spirit,B1
think,A1
source,A2
prove,B1
medically,BEYOND
correct,A1
thing,A1
open,A1
pressure,B1
pain,A2
brain,A2
tumor,BEYOND
head,B1
misunderstand,BEYOND
attribute,C1
angry,A1
god,A2
imbalance,BEYOND
wrongdoing,BEYOND
person,A1
involve,A2
magic,B1
incantation,BEYOND
ward,C1
demon,C1
ritual,C1
leader,A2
late,A1
egyptian,BEYOND
dynasty,BEYOND
emerge,B2
profession,B1
apart,B1
religion,B1
fifth,A1
greek,BEYOND
note,B1
contribute,B2
society,A2
observe,B2
advanced,B1
hygiene,BEYOND
cleanliness,BEYOND
wash,A2
daily,B1
wear,A1
clean,A1
clothe,BEYOND
scrub,BEYOND
drinking,BEYOND
cup,A1
shave,BEYOND
infestation,BEYOND
lice,BEYOND
link,A2
