word,level
stop,A1
short,A1
threshold,C1
sitting,BEYOND
room,A1
take,A1
secretary,A2
arm,C1
anxious,B2
voice,A2
whisper,B2
surely,B1
sir,A2
protest,B1
open,A1
hall,A2
door,A1
key,B1
leave,B2
pocket,A2
lunch,A1
restaurant,A1
repeat,B1
point,B1
travel,A1
bag,A1
mantelpiece,BEYOND
look,A2
prove,B1
shut,A2
sure,A2
contain,A2
odd,B1
end,A1
value,B1
article,A1
dress,A1
book,A2
go,B1
way,B2
precaution,BEYOND
tell,A1
telephone,A1
wall,A1
receiver,B2
hallo,BEYOND
suite,C1
right,A1
detective,A2
department,A2
know,A1
number,A2
second,A2
hold,B2
line,B2
moment,A1
later,A2
continue,A2
like,B1
word,A1
chief,B2
service,A2
hullo,BEYOND
yes,A1
give,A1
ring,B1
speak,A1
sergeant,BEYOND
yesterday,A1
call,A1
thing,A1
occur,B1
day,A1
enter,A2
occupy,B2
come,A1
able,A2
discover,A2
clue,B1
hour,A1
thank,A1
ask,A1
nickname,BEYOND
alternatively,BEYOND
diamond,B1
possess,B2
fortune,B2
estimate,B2
nearly,A2
million,A1
sterling,BEYOND
past,A2
week,A1
fourth,A1
floor,A1
consist,B1
large,A1
principal,C1
bedroom,A1
face,B1
avenue,BEYOND
left,A1
sleep,A2
rue,BEYOND
adjoin,BEYOND
reserve,B2
present,A2
stay,A2
join,A1
husband,A1
hear,A1
walk,A1
minute,C1
thoughtful,C1
air,A1
tall,A1
man,A1
ruddy,BEYOND
complexion,BEYOND
young,B1
dreamy,BEYOND
eye,A1
show,A1
pale,B1
blue,A1
gold,A2
rimmed,BEYOND
spectacle,C1
expression,A2
gentleness,BEYOND
shyness,BEYOND
contrast,B1
curiously,BEYOND
strength,B1
square,A2
forehead,BEYOND
powerfully,BEYOND
develop,A2
jaw,BEYOND
window,A1
fasten,B1
private,B1
balcony,BEYOND
run,A2
round,B2
flat,A2
break,A1
separate,B1
stone,A2
channel,B1
communication,B1
neighbor,BEYOND
lead,B1
lock,A2
bolt,BEYOND
understand,A1
time,B2
notice,A2
funny,A1
admit,B1
stick,B1
move,B1
paper,A1
certainly,A2
touch,B1
possible,A1
cry,B2
honest,B1
placid,BEYOND
feature,B1
display,B2
anxiety,B2
imagine,A1
proof,B2
impression,B1
entrance,B1
lobby,C1
special,A1
arrival,B1
duplicate,BEYOND
trust,B2
course,A1
year,A1
mistake,B2
future,A2
slight,B2
shrug,C1
shoulder,A2
doubt,B1
trifle,BEYOND
eccentric,BEYOND
incomprehensible,BEYOND
fear,B1
risk,B1
hotel,A1
especially,A2
carry,A1
valuable,B1
important,A1
sum,B2
money,A1
expect,A2
visitor,A1
meantime,C1
remain,B1
work,A1
last,A2
correspondence,C1
read,A1
letter,A1
instruction,A2
answer,A1
suddenly,A2
wait,A2
pen,A1
poise,BEYOND
see,A1
think,A1
different,A1
finger,A2
attentively,BEYOND
examine,B1
pin,B1
black,A1
bend,B1
fish,A2
hook,C1
say,C1
find,A1
table,A1
bent,B2
obviously,B1
mean,A1
material,B2
piece,A1
evidence,A2
pretend,B1
reply,A2
tie,A2
collar,BEYOND
night,A1
twist,C1
mechanically,BEYOND
rise,B1
chair,B2
great,A1
vexation,BEYOND
step,B2
laugh,A1
feel,B2
deny,B2
journey,A1
new,A1
factor,A2
life,A1
tremendous,C1
plan,A1
huge,A2
haze,BEYOND
shape,B2
colossal,BEYOND
care,A2
fig,BEYOND
deal,B1
power,B2
authority,B1
reality,B1
expectation,B2
shall,A2
lord,B2
realm,C1
son,A1
ironmonger,BEYOND
par,BEYOND
people,A1
till,B1
precedence,BEYOND
mark,A2
interrupt,B2
regret,B2
have,A2
away,A1
excitement,B1
conclude,B1
reason,A1
brain,A2
idea,A1
worth,B1
suspect,B2
spy,C1
convince,B1
bell,B1
sound,C1
mutter,BEYOND
chance,A2
instrument,A2
colonel,BEYOND
good,A2
news,A1
disturb,B2
necessary,A2
order,A1
positive,B2
allow,A2
lose,A1
hang,B1
gentleman,B1
harm,B2
meeting,A1
send,A1
office,A1
home,A2
friend,A1
name,A1
return,A1
hand,B1
envelope,B2
little,A2
case,A2
morocco,BEYOND
leather,B1
apparently,B2
hesitate,B2
lay,B1
throw,A2
let,A1
finish,A2
mail,A2
recognize,A2
handwriting,BEYOND
attempt,B2
conceal,C1
emotion,B1
contemplate,C1
wife,A1
add,A1
atom,BEYOND
scent,BEYOND
suggestion,A2
secret,A2
thought,A2
inhale,BEYOND
perfume,BEYOND
unseal,BEYOND
slowly,A2
undertone,BEYOND
fragment,B2
reach,B2
ear,A1
tired,A1
bored,A1
long,A1
wire,B2
telegraph,BEYOND
morning,A1
morrow,BEYOND
gay,B2
weight,A2
business,A1
relieve,B2
free,B2
rub,B2
heave,BEYOND
deep,B1
breath,B1
strong,A1
certain,A2
success,A1
lucky,A2
happiness,B1
big,A1
