word,level
late,A1
leave,B2
cafe,A1
old,A1
man,A1
sit,A1
shadow,B2
tree,A1
electric,A2
light,A2
day,A1
time,B2
street,A1
dusty,BEYOND
night,A1
dew,BEYOND
settle,B2
dust,B1
like,B1
deaf,BEYOND
quiet,A1
feel,B2
difference,A1
waiter,A1
inside,A2
know,A1
little,A2
drunk,B1
good,A2
client,B1
pay,A2
keep,A1
watch,A1
week,A1
try,B2
commit,B1
suicide,C1
say,C1
despair,BEYOND
plenty,B1
money,A1
table,A1
close,B1
wall,A1
near,A1
door,A1
look,A2
terrace,BEYOND
move,B1
slightly,B1
wind,B2
girl,A1
soldier,A2
go,B1
shine,B1
brass,BEYOND
number,A2
collar,BEYOND
wear,A1
head,B1
covering,BEYOND
hurry,B1
guard,B1
pick,B2
matter,A2
get,A1
well,C1
minute,C1
ago,A1
rap,BEYOND
saucer,BEYOND
glass,A1
young,B1
want,A1
brandy,BEYOND
away,A1
stay,A2
colleague,A2
sleepy,BEYOND
bed,A1
kill,A2
take,A1
bottle,A1
counter,C1
march,C1
pour,B1
motion,B2
finger,A2
slop,BEYOND
run,A2
stem,C1
pile,B2
thank,A1
hang,B1
rope,B1
cut,B1
niece,BEYOND
fear,B1
soul,B2
eighty,A1
year,A1
wish,A2
home,A2
kind,B1
hour,A1
lonely,B1
wife,A1
wait,A2
tell,A1
nasty,B2
thing,A1
clean,A1
drink,A1
spill,B2
regard,B2
work,A1
square,A2
point,B1
come,A1
finished,BEYOND
speak,A1
omission,BEYOND
syntax,BEYOND
stupid,A2
people,A1
employ,A2
talk,A2
drunken,BEYOND
foreigner,C1
tonight,A1
finish,A2
wipe,C1
edge,B1
towel,A2
shake,B1
stand,B2
slowly,A2
count,B1
leather,B1
coin,B1
purse,BEYOND
pocket,A2
half,A2
peseta,BEYOND
tip,B1
walk,A1
unsteadily,BEYOND
dignity,C1
let,A1
unhurried,BEYOND
ask,A1
put,A1
shutter,BEYOND
past,A2
buy,A1
agree,A1
unjust,BEYOND
usual,A2
insult,C1
hombre,BEYOND
joke,A2
rise,B1
pull,B1
metal,A2
confidence,B2
youth,B1
job,A1
lack,B1
stop,A1
nonsense,C1
lock,A2
need,B1
different,A1
dress,A1
question,A2
beautiful,A1
reluctant,C1
bodega,BEYOND
open,A1
long,A1
understand,A1
pleasant,B1
turn,A1
continue,A2
conversation,A1
course,A1
necessary,A2
place,B1
music,A1
certainly,A2
bar,B2
provide,A2
dread,BEYOND
certain,A2
cleanness,BEYOND
order,A1
live,B1
nada,BEYOND
pues,BEYOND
art,A1
thy,BEYOND
kingdom,C1
daily,B1
wenada,BEYOND
deliver,B1
hail,C1
thee,BEYOND
smile,A2
steam,B2
pressure,B1
coffee,A1
machine,A1
barman,BEYOND
otro,BEYOND
loco,BEYOND
mas,BEYOND
cup,A1
bright,A2
unpolished,BEYOND
answer,A1
copita,BEYOND
dislike,B1
lighted,BEYOND
think,A1
room,A1
lie,B1
finally,A2
daylight,BEYOND
sleep,A2
probably,A1
insomnia,BEYOND
hill,A2
valley,A2
white,A1
shade,B2
station,A1
line,B2
rail,B2
sun,A1
warm,B1
building,A1
curtain,B1
string,B1
bamboo,BEYOND
bead,BEYOND
fly,A2
outside,A2
hot,A1
express,A2
junction,C1
hat,A1
pretty,A1
beer,A1
dos,BEYOND
cervezas,BEYOND
big,A1
one,A1
woman,A1
doorway,BEYOND
yes,A1
bring,A1
felt,BEYOND
pad,C1
country,A1
brown,A1
dry,A2
elephant,A1
see,A1
prove,B1
paint,A1
call,A1
listen,A1
reales,BEYOND
water,B1
right,A1
taste,A2
licorice,BEYOND
way,B2
especially,A2
absinthe,BEYOND
start,A2
amuse,BEYOND
have,A2
fine,C1
mountain,A1
new,A1
guess,A1
lovely,A2
mean,A1
coloring,BEYOND
skin,A2
blow,B2
nice,A1
cool,B1
awfully,BEYOND
simple,A2
operation,B1
ground,A2
leg,A1
rest,A2
mind,A2
air,A1
perfectly,B1
natural,A1
afterward,BEYOND
make,B2
bother,B1
unhappy,A2
hand,B1
hold,B2
happy,A1
afraid,A1
lot,A1
love,A1
worry,B1
care,A2
end,A1
field,A2
grain,B1
bank,B1
far,B1
river,A1
cloud,A2
impossible,A2
world,A1
realize,A2
maybe,A1
willing,B2
anybody,A2
bag,A1
label,B1
hotel,A1
spend,A1
scream,B2
damp,BEYOND
train,A2
brightly,BEYOND
heavy,A2
carry,A1
track,B2
barroom,BEYOND
reasonably,B2
wrong,B1
lunch,A1
eat,A1
dark,A2
window,A1
read,A1
menu,A1
roast,BEYOND
pork,BEYOND
tenderloin,BEYOND
apple,A1
sauce,A2
mash,BEYOND
potato,A1
ready,A1
hell,B2
card,A1
dinner,A1
explain,A1
clock,A1
second,A2
fast,A1
sandwich,A1
ham,BEYOND
egg,A1
bacon,BEYOND
liver,C1
steak,BEYOND
chicken,A1
croquette,BEYOND
green,A1
pea,A1
cream,B1
derby,BEYOND
black,A1
overcoat,BEYOND
button,A2
chest,B1
face,B1
small,A1
tight,B1
lip,B1
silk,B2
muffler,BEYOND
glove,B1
size,A2
twin,A2
lean,B2
forward,B2
elbow,B2
silver,A2
bevo,BEYOND
ginger,BEYOND
ale,BEYOND
town,A1
summit,C1
hear,A1
friend,A1
sure,A2
boy,A1
dumb,C1
platter,BEYOND
set,B1
dish,A1
